M/W,Season,Match_No,League,開催日,開催地,会場,入場者数,開始時刻,終了時刻,試合時間,JURY,1stﾚﾌｪﾘｰ,2ndﾚﾌｪﾘｰ,判定員,Team1,Team2,セット:得,セット:失,セット1:得点,セット1:失点,セット1:時間,セット2:得点,セット2:失点,セット2:時間,セット3:得点,セット3:失点,セット3:時間,セット4:得点,セット4:失点,セット4:時間,セット5:得点,セット5:失点,セット5:時間,Team,N,L,Name,出場セット,出場セット1,出場セット2,出場セット3,出場セット4,出場セット5,アタック_打数,アタック_得点,アタック_失点,アタック_決定率,アタック_セット平均,アタック(内バックアタック)_打数,アタック(内バックアタック)_得点,アタック(内バックアタック)_失点,アタック(内バックアタック)_決定率,ブロック_得点,ブロック_セット平均,サーブ_打数,サーブ_得点,サーブ_失点,サーブ_効果,サーブ_効果率,サーブレシーブ_受数,サーブレシーブ_成功・優,サーブレシーブ_成功・良,サーブレシーブ_成功率
Women,2022_2023,291,2022-23 V.LEAGUE DIVISION1 WOMEN   V・レギュラーラウンド,10/29/2022,茨城県,ひたちなか市総合運動公園総合体育館,983,0.541666667,0.632638889,0.090972222,利根川　忠史,津嶋　由香,饗庭　和恵,酒寄　和記,日立Astemoリヴァーレ,ＫＵＲＯＢＥアクアフェアリーズ,3,2,16,25,0.014583333,25,20,0.020138889,22,25,0.016666667,25,18,0.015277778,15,8,0.011111111,日立Astemoリヴァーレ,1,-,上坂 瑠子,4,■,■,■,-,□,24,6,1,25,1.5,3,1,0,33.3,0,-,12,1,2,2,8.3,15,6,1,43.3
Women,2022_2023,291,2022-23 V.LEAGUE DIVISION1 WOMEN   V・レギュラーラウンド,10/29/2022,茨城県,ひたちなか市総合運動公園総合体育館,983,0.541666667,0.632638889,0.090972222,利根川　忠史,津嶋　由香,饗庭　和恵,酒寄　和記,日立Astemoリヴァーレ,ＫＵＲＯＢＥアクアフェアリーズ,3,2,16,25,0.014583333,25,20,0.020138889,22,25,0.016666667,25,18,0.015277778,15,8,0.011111111,日立Astemoリヴァーレ,2,-,雑賀 恵斗,5,■,■,■,■,■,2,2,0,100,0.4,0,0,0,-,0,-,17,1,2,4,8.8,0,0,0,-
Women,2022_2023,291,2022-23 V.LEAGUE DIVISION1 WOMEN   V・レギュラーラウンド,10/29/2022,茨城県,ひたちなか市総合運動公園総合体育館,983,0.541666667,0.632638889,0.090972222,利根川　忠史,津嶋　由香,饗庭　和恵,酒寄　和記,日立Astemoリヴァーレ,ＫＵＲＯＢＥアクアフェアリーズ,3,2,16,25,0.014583333,25,20,0.020138889,22,25,0.016666667,25,18,0.015277778,15,8,0.011111111,日立Astemoリヴァーレ,3,-,長内 美和子,5,■,■,■,■,■,33,14,5,42.4,2.8,4,2,1,50,2,0.4,13,0,2,4,3.8,41,20,7,57.3
Women,2022_2023,291,2022-23 V.LEAGUE DIVISION1 WOMEN   V・レギュラーラウンド,10/29/2022,茨城県,ひたちなか市総合運動公園総合体育館,983,0.541666667,0.632638889,0.090972222,利根川　忠史,津嶋　由香,饗庭　和恵,酒寄　和記,日立Astemoリヴァーレ,ＫＵＲＯＢＥアクアフェアリーズ,3,2,16,25,0.014583333,25,20,0.020138889,22,25,0.016666667,25,18,0.015277778,15,8,0.011111111,日立Astemoリヴァーレ,5,-,ハンナ・タップ,5,■,■,■,■,■,19,11,1,57.9,2.2,0,0,0,-,4,0.8,7,0,1,1,0,0,0,0,-
Women,2022_2023,291,2022-23 V.LEAGUE DIVISION1 WOMEN   V・レギュラーラウンド,10/29/2022,茨城県,ひたちなか市総合運動公園総合体育館,983,0.541666667,0.632638889,0.090972222,利根川　忠史,津嶋　由香,饗庭　和恵,酒寄　和記,日立Astemoリヴァーレ,ＫＵＲＯＢＥアクアフェアリーズ,3,2,16,25,0.014583333,25,20,0.020138889,22,25,0.016666667,25,18,0.015277778,15,8,0.011111111,日立Astemoリヴァーレ,6,-,小池 杏菜,0,-,-,-,-,-,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
Women,2022_2023,291,2022-23 V.LEAGUE DIVISION1 WOMEN   V・レギュラーラウンド,10/29/2022,茨城県,ひたちなか市総合運動公園総合体育館,983,0.541666667,0.632638889,0.090972222,利根川　忠史,津嶋　由香,饗庭　和恵,酒寄　和記,日立Astemoリヴァーレ,ＫＵＲＯＢＥアクアフェアリーズ,3,2,16,25,0.014583333,25,20,0.020138889,22,25,0.016666667,25,18,0.015277778,15,8,0.011111111,日立Astemoリヴァーレ,7,L,齋藤 加奈子,5,●,●,●,●,●,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,22,9,4,50
Women,2022_2023,291,2022-23 V.LEAGUE DIVISION1 WOMEN   V・レギュラーラウンド,10/29/2022,茨城県,ひたちなか市総合運動公園総合体育館,983,0.541666667,0.632638889,0.090972222,利根川　忠史,津嶋　由香,饗庭　和恵,酒寄　和記,日立Astemoリヴァーレ,ＫＵＲＯＢＥアクアフェアリーズ,3,2,16,25,0.014583333,25,20,0.020138889,22,25,0.016666667,25,18,0.015277778,15,8,0.011111111,日立Astemoリヴァーレ,9,-,渡邊 彩,0,-,-,-,-,-,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
Women,2022_2023,291,2022-23 V.LEAGUE DIVISION1 WOMEN   V・レギュラーラウンド,10/29/2022,茨城県,ひたちなか市総合運動公園総合体育館,983,0.541666667,0.632638889,0.090972222,利根川　忠史,津嶋　由香,饗庭　和恵,酒寄　和記,日立Astemoリヴァーレ,ＫＵＲＯＢＥアクアフェアリーズ,3,2,16,25,0.014583333,25,20,0.020138889,22,25,0.016666667,25,18,0.015277778,15,8,0.011111111,日立Astemoリヴァーレ,10,-,境 紗里奈,2,□,-,-,□,-,0,0,0,-,-,0,0,0,-,0,-,3,0,0,1,8.3,0,0,0,-
Women,2022_2023,291,2022-23 V.LEAGUE DIVISION1 WOMEN   V・レギュラーラウンド,10/29/2022,茨城県,ひたちなか市総合運動公園総合体育館,983,0.541666667,0.632638889,0.090972222,利根川　忠史,津嶋　由香,饗庭　和恵,酒寄　和記,日立Astemoリヴァーレ,ＫＵＲＯＢＥアクアフェアリーズ,3,2,16,25,0.014583333,25,20,0.020138889,22,25,0.016666667,25,18,0.015277778,15,8,0.011111111,日立Astemoリヴァーレ,13,-,野中 瑠衣,2,□,-,□,-,-,7,3,0,42.9,1.5,1,0,0,0,0,-,2,0,0,2,25,0,0,0,-
Women,2022_2023,291,2022-23 V.LEAGUE DIVISION1 WOMEN   V・レギュラーラウンド,10/29/2022,茨城県,ひたちなか市総合運動公園総合体育館,983,0.541666667,0.632638889,0.090972222,利根川　忠史,津嶋　由香,饗庭　和恵,酒寄　和記,日立Astemoリヴァーレ,ＫＵＲＯＢＥアクアフェアリーズ,3,2,16,25,0.014583333,25,20,0.020138889,22,25,0.016666667,25,18,0.015277778,15,8,0.011111111,日立Astemoリヴァーレ,14,-,入澤 まい,5,■,■,■,■,■,17,7,0,41.2,1.4,0,0,0,-,2,0.4,19,0,3,8,6.6,0,0,0,-
