M/W,Season,Match_No,League,開催日,開催地,会場,入場者数,開始時刻,終了時刻,試合時間,JURY,1stﾚﾌｪﾘｰ,2ndﾚﾌｪﾘｰ,判定員,Team1,Team2,セット:得,セット:失,セット1:得点,セット1:失点,セット1:時間,セット2:得点,セット2:失点,セット2:時間,セット3:得点,セット3:失点,セット3:時間,セット4:得点,セット4:失点,セット4:時間,セット5:得点,セット5:失点,セット5:時間,Team,アタック_打数,アタック_得点,アタック_失点,アタック_決定率,アタック_セット平均,アタック(内バックアタック)_打数,アタック(内バックアタック)_得点,アタック(内バックアタック)_失点,アタック(内バックアタック)_決定率,ブロック_得点,ブロック_セット平均,サーブ_打数,サーブ_得点,サーブ_失点,サーブ_効果,サーブ_効果率,サーブレシーブ_受数,サーブレシーブ_成功・優,サーブレシーブ_成功・良,サーブレシーブ_成功率
Women,2022_2023,291,2022-23 V.LEAGUE DIVISION1 WOMEN   V・レギュラーラウンド,10/29/2022,茨城県,ひたちなか市総合運動公園総合体育館,983,0.541666667,0.632638889,0.090972222,利根川　忠史,津嶋　由香,饗庭　和恵,酒寄　和記,日立Astemoリヴァーレ,ＫＵＲＯＢＥアクアフェアリーズ,3,2,16,25,0.014583333,25,20,0.020138889,22,25,0.016666667,25,18,0.015277778,15,8,0.011111111,日立Astemoリヴァーレ,168,66,10,39.3,13.2,18,7,2,38.9,12,2.4,102,4,10,33,9.6,89,39,14,51.7
Women,2022_2023,291,2022-23 V.LEAGUE DIVISION1 WOMEN   V・レギュラーラウンド,10/29/2022,茨城県,ひたちなか市総合運動公園総合体育館,983,0.541666667,0.632638889,0.090972222,利根川　忠史,津嶋　由香,饗庭　和恵,酒寄　和記,日立Astemoリヴァーレ,ＫＵＲＯＢＥアクアフェアリーズ,2,3,25,16,0.014583333,20,25,0.020138889,25,22,0.016666667,18,25,0.015277778,8,15,0.011111111,ＫＵＲＯＢＥアクアフェアリーズ,163,60,11,36.8,12,15,2,2,13.3,11,2.2,97,3,7,34,10.1,89,47,8,57.3
Women,2022_2023,292,2022-23 V.LEAGUE DIVISION1 WOMEN   V・レギュラーラウンド,10/29/2022,神奈川県,とどろきアリーナ,3000,0.625,0.685416667,0.060416667,勝又　正,渡部　菜保子,上總　向貴,青山　真奈美,NECレッドロケッツ,埼玉上尾メディックス,0,3,21,25,0.017361111,19,25,0.017361111,13,25,0.016666667,-,-,-,-,-,-,NECレッドロケッツ,130,39,14,30,13,12,2,2,16.7,2,0.67,54,1,9,18,6,69,22,18,44.9
Women,2022_2023,292,2022-23 V.LEAGUE DIVISION1 WOMEN   V・レギュラーラウンド,10/29/2022,神奈川県,とどろきアリーナ,3000,0.625,0.685416667,0.060416667,勝又　正,渡部　菜保子,上總　向貴,青山　真奈美,NECレッドロケッツ,埼玉上尾メディックス,3,0,25,21,0.017361111,25,19,0.017361111,25,13,0.016666667,-,-,-,-,-,-,埼玉上尾メディックス,94,41,4,43.6,13.67,7,3,0,42.9,5,1.67,74,3,4,27,11.8,44,19,7,51.1
Women,2022_2023,293,2022-23 V.LEAGUE DIVISION1 WOMEN   V・レギュラーラウンド,10/29/2022,石川県,一本松総合運動公園体育館サン・アリーナ,710,0.583333333,0.677777778,0.094444444,三見　洋子,佐々木　伸子,品川　美帆,桐山　比呂子,PFUブルーキャッツ石川かほく,東レアローズ,2,3,25,23,0.01875,25,21,0.020833333,16,25,0.01875,17,25,0.015972222,13,15,0.011805556,PFUブルーキャッツ石川かほく,175,64,13,36.6,12.8,12,2,3,16.7,11,2.2,96,2,17,28,4.9,94,42,21,55.9
Women,2022_2023,293,2022-23 V.LEAGUE DIVISION1 WOMEN   V・レギュラーラウンド,10/29/2022,石川県,一本松総合運動公園体育館サン・アリーナ,710,0.583333333,0.677777778,0.094444444,三見　洋子,佐々木　伸子,品川　美帆,桐山　比呂子,PFUブルーキャッツ石川かほく,東レアローズ,3,2,23,25,0.01875,21,25,0.020833333,25,16,0.01875,25,17,0.015972222,15,13,0.011805556,東レアローズ,162,63,7,38.9,12.6,15,2,2,13.3,4,0.8,109,9,11,26,11.7,78,42,7,58.3
Women,2022_2023,294,2022-23 V.LEAGUE DIVISION1 WOMEN   V・レギュラーラウンド,10/29/2022,大阪府,住吉スポーツセンター,958,0.541666667,0.638888889,0.097222222,塚本　健,明井　寿枝,長崎　有紗,和佐田　信行,JTマーヴェラス,デンソーエアリービーズ,3,2,23,25,0.01875,25,17,0.017361111,21,25,0.019444444,25,22,0.021527778,15,8,0.010416667,JTマーヴェラス,186,71,10,38.2,14.2,23,5,0,21.7,10,2,108,0,5,30,5.8,85,35,23,54.7
Women,2022_2023,294,2022-23 V.LEAGUE DIVISION1 WOMEN   V・レギュラーラウンド,10/29/2022,大阪府,住吉スポーツセンター,958,0.541666667,0.638888889,0.097222222,塚本　健,明井　寿枝,長崎　有紗,和佐田　信行,JTマーヴェラス,デンソーエアリービーズ,2,3,25,23,0.01875,17,25,0.017361111,25,21,0.019444444,22,25,0.021527778,8,15,0.010416667,デンソーエアリービーズ,202,68,17,33.7,13.6,54,14,6,25.9,4,0.8,98,5,9,26,9.4,103,45,28,57.3
Women,2022_2023,295,2022-23 V.LEAGUE DIVISION1 WOMEN   V・レギュラーラウンド,10/29/2022,岡山県,ジップアリーナ岡山,1200,0.545138889,0.625,0.079861111,芦田　光巨,山本　晋五,黒岩　健,真鍋　美也子,岡山シーガルズ,ヴィクトリーナ姫路,1,3,23,25,0.020833333,10,25,0.013888889,25,23,0.020138889,21,25,0.01875,-,-,-,岡山シーガルズ,138,47,7,34.1,11.75,7,3,2,42.9,4,1,80,4,2,21,10.9,85,28,17,42.9
Women,2022_2023,295,2022-23 V.LEAGUE DIVISION1 WOMEN   V・レギュラーラウンド,10/29/2022,岡山県,ジップアリーナ岡山,1200,0.545138889,0.625,0.079861111,芦田　光巨,山本　晋五,黒岩　健,真鍋　美也子,岡山シーガルズ,ヴィクトリーナ姫路,3,1,25,23,0.020833333,25,10,0.013888889,23,25,0.020138889,25,21,0.01875,-,-,-,ヴィクトリーナ姫路,160,71,10,44.4,17.75,7,4,0,57.1,7,1.75,97,8,11,33,13.9,77,30,23,53.9
Women,2022_2023,296,2022-23 V.LEAGUE DIVISION1 WOMEN   V・レギュラーラウンド,10/29/2022,佐賀県,佐賀県総合体育館,1418,0.586805556,0.677083333,0.090277778,石井　洋壮,千代延　靖夫,木内　誠ニ,久保　温子,久光スプリングス,トヨタ車体クインシーズ,1,3,20,25,0.020833333,25,15,0.015972222,27,29,0.024305556,16,25,0.014583333,-,-,-,久光スプリングス,138,62,9,44.9,15.5,13,4,1,30.8,6,1.5,89,2,11,32,8.1,85,34,18,50.6
Women,2022_2023,296,2022-23 V.LEAGUE DIVISION1 WOMEN   V・レギュラーラウンド,10/29/2022,佐賀県,佐賀県総合体育館,1418,0.586805556,0.677083333,0.090277778,石井　洋壮,千代延　靖夫,木内　誠ニ,久保　温子,久光スプリングス,トヨタ車体クインシーズ,3,1,25,20,0.020833333,15,25,0.015972222,29,27,0.024305556,25,16,0.014583333,-,-,-,トヨタ車体クインシーズ,135,59,9,43.7,14.75,19,3,3,15.8,8,2,93,6,7,28,12.1,78,39,5,53.2
Women,2022_2023,297,2022-23 V.LEAGUE DIVISION1 WOMEN   V・レギュラーラウンド,10/30/2022,茨城県,ひたちなか市総合運動公園総合体育館,799,0.541666667,0.598611111,0.056944444,利根川　忠史,饗庭　和恵,津嶋　由香,宮本　和詮,日立Astemoリヴァーレ,ＫＵＲＯＢＥアクアフェアリーズ,3,0,25,13,0.0125,25,21,0.01875,25,20,0.016666667,-,-,-,-,-,-,日立Astemoリヴァーレ,103,45,8,43.7,15,12,6,0,50,8,2.67,74,6,5,23,14.2,50,26,9,61
