M/W,Season,Match_No,League,開催日,開催地,会場,入場者数,開始時刻,終了時刻,試合時間,JURY,1stﾚﾌｪﾘｰ,2ndﾚﾌｪﾘｰ,判定員,Team1,Team2,セット:得,セット:失,セット1:得点,セット1:失点,セット1:時間,セット2:得点,セット2:失点,セット2:時間,セット3:得点,セット3:失点,セット3:時間,セット4:得点,セット4:失点,セット4:時間,セット5:得点,セット5:失点,セット5:時間,Team,N,L,Name,出場セット,出場セット1,出場セット2,出場セット3,出場セット4,出場セット5,アタック_打数,アタック_得点,アタック_失点,アタック_決定率,アタック_セット平均,アタック(内バックアタック)_打数,アタック(内バックアタック)_得点,アタック(内バックアタック)_失点,アタック(内バックアタック)_決定率,ブロック_得点,ブロック_セット平均,サーブ_打数,サーブ_得点,サーブ_失点,サーブ_効果,サーブ_効果率,サーブレシーブ_受数,サーブレシーブ_成功・優,サーブレシーブ_成功・良,サーブレシーブ_成功率
Women,2013_2014,851,Ｖ・チャレンジリーグ女子 2013/14   レギュラーラウンド,12/7/2013,-,柏市沼南体育館,360,0.541666667,0.599305556,0.057638889,-,渡部　菜保子,山内　大右,緑川　靖,GSS東京サンビームズ,仙台ベルフィーユ,0,3,17,25,0.015972222,28,30,0.023611111,12,25,0.013888889,-,-,-,-,-,-,GSS東京サンビームズ,1,-,重松 史乃,3,■,■,■,-,-,6,3,0,50,1,0,0,0,-,0,-,11,2,0,5,27.7,0,0,0,-
Women,2013_2014,851,Ｖ・チャレンジリーグ女子 2013/14   レギュラーラウンド,12/7/2013,-,柏市沼南体育館,360,0.541666667,0.599305556,0.057638889,-,渡部　菜保子,山内　大右,緑川　靖,GSS東京サンビームズ,仙台ベルフィーユ,0,3,17,25,0.015972222,28,30,0.023611111,12,25,0.013888889,-,-,-,-,-,-,GSS東京サンビームズ,2,-,小川 晴菜,3,■,■,■,-,-,13,5,2,38.5,1.67,2,1,1,50,0,-,11,2,3,1,16.8,28,17,0,60.7
Women,2013_2014,851,Ｖ・チャレンジリーグ女子 2013/14   レギュラーラウンド,12/7/2013,-,柏市沼南体育館,360,0.541666667,0.599305556,0.057638889,-,渡部　菜保子,山内　大右,緑川　靖,GSS東京サンビームズ,仙台ベルフィーユ,0,3,17,25,0.015972222,28,30,0.023611111,12,25,0.013888889,-,-,-,-,-,-,GSS東京サンビームズ,3,-,豊田 みづき,1,-,-,□,-,-,0,0,0,-,-,0,0,0,-,0,-,1,0,0,0,0,0,0,0,-
Women,2013_2014,851,Ｖ・チャレンジリーグ女子 2013/14   レギュラーラウンド,12/7/2013,-,柏市沼南体育館,360,0.541666667,0.599305556,0.057638889,-,渡部　菜保子,山内　大右,緑川　靖,GSS東京サンビームズ,仙台ベルフィーユ,0,3,17,25,0.015972222,28,30,0.023611111,12,25,0.013888889,-,-,-,-,-,-,GSS東京サンビームズ,4,L,平岩 沙紀,3,●,●,●,-,-,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,8,7,0,87.5
Women,2013_2014,851,Ｖ・チャレンジリーグ女子 2013/14   レギュラーラウンド,12/7/2013,-,柏市沼南体育館,360,0.541666667,0.599305556,0.057638889,-,渡部　菜保子,山内　大右,緑川　靖,GSS東京サンビームズ,仙台ベルフィーユ,0,3,17,25,0.015972222,28,30,0.023611111,12,25,0.013888889,-,-,-,-,-,-,GSS東京サンビームズ,5,-,篠木 梨奈,1,□,-,-,-,-,0,0,0,-,-,0,0,0,-,0,-,2,0,1,0,0,0,0,0,-
Women,2013_2014,851,Ｖ・チャレンジリーグ女子 2013/14   レギュラーラウンド,12/7/2013,-,柏市沼南体育館,360,0.541666667,0.599305556,0.057638889,-,渡部　菜保子,山内　大右,緑川　靖,GSS東京サンビームズ,仙台ベルフィーユ,0,3,17,25,0.015972222,28,30,0.023611111,12,25,0.013888889,-,-,-,-,-,-,GSS東京サンビームズ,6,-,長岡 藍(C),3,■,■,■,-,-,42,14,2,33.3,4.67,7,1,0,14.3,1,0.33,4,0,1,1,6.2,1,1,0,100
Women,2013_2014,851,Ｖ・チャレンジリーグ女子 2013/14   レギュラーラウンド,12/7/2013,-,柏市沼南体育館,360,0.541666667,0.599305556,0.057638889,-,渡部　菜保子,山内　大右,緑川　靖,GSS東京サンビームズ,仙台ベルフィーユ,0,3,17,25,0.015972222,28,30,0.023611111,12,25,0.013888889,-,-,-,-,-,-,GSS東京サンビームズ,7,-,小寺 まどか,3,□,□,□,-,-,0,0,0,-,-,0,0,0,-,0,-,3,0,1,1,8.3,6,4,0,66.7
Women,2013_2014,851,Ｖ・チャレンジリーグ女子 2013/14   レギュラーラウンド,12/7/2013,-,柏市沼南体育館,360,0.541666667,0.599305556,0.057638889,-,渡部　菜保子,山内　大右,緑川　靖,GSS東京サンビームズ,仙台ベルフィーユ,0,3,17,25,0.015972222,28,30,0.023611111,12,25,0.013888889,-,-,-,-,-,-,GSS東京サンビームズ,8,-,三浦 あゆみ,3,■,■,■,-,-,26,5,7,19.2,1.67,1,0,1,0,0,-,9,1,0,4,20,30,25,0,83.3
Women,2013_2014,851,Ｖ・チャレンジリーグ女子 2013/14   レギュラーラウンド,12/7/2013,-,柏市沼南体育館,360,0.541666667,0.599305556,0.057638889,-,渡部　菜保子,山内　大右,緑川　靖,GSS東京サンビームズ,仙台ベルフィーユ,0,3,17,25,0.015972222,28,30,0.023611111,12,25,0.013888889,-,-,-,-,-,-,GSS東京サンビームズ,10,-,山口 弥緒,2,-,□,□,-,-,7,1,0,14.3,0.5,0,0,0,-,0,-,2,0,0,1,12.5,0,0,0,-
Women,2013_2014,851,Ｖ・チャレンジリーグ女子 2013/14   レギュラーラウンド,12/7/2013,-,柏市沼南体育館,360,0.541666667,0.599305556,0.057638889,-,渡部　菜保子,山内　大右,緑川　靖,GSS東京サンビームズ,仙台ベルフィーユ,0,3,17,25,0.015972222,28,30,0.023611111,12,25,0.013888889,-,-,-,-,-,-,GSS東京サンビームズ,14,-,見崎 真琴,2,■,■,-,-,-,8,2,1,25,1,0,0,0,-,0,-,2,0,0,1,12.5,0,0,0,-
Women,2013_2014,851,Ｖ・チャレンジリーグ女子 2013/14   レギュラーラウンド,12/7/2013,-,柏市沼南体育館,360,0.541666667,0.599305556,0.057638889,-,渡部　菜保子,山内　大右,緑川　靖,GSS東京サンビームズ,仙台ベルフィーユ,0,3,17,25,0.015972222,28,30,0.023611111,12,25,0.013888889,-,-,-,-,-,-,GSS東京サンビームズ,15,-,鈴木 亜矢子,1,-,-,■,-,-,11,1,1,9.1,1,0,0,0,-,0,-,1,0,0,0,0,0,0,0,-
Women,2013_2014,851,Ｖ・チャレンジリーグ女子 2013/14   レギュラーラウンド,12/7/2013,-,柏市沼南体育館,360,0.541666667,0.599305556,0.057638889,-,渡部　菜保子,山内　大右,緑川　靖,GSS東京サンビームズ,仙台ベルフィーユ,0,3,17,25,0.015972222,28,30,0.023611111,12,25,0.013888889,-,-,-,-,-,-,GSS東京サンビームズ,16,-,菊地 めぐみ,3,■,■,■,-,-,15,6,2,40,2,0,0,0,-,0,-,12,2,1,0,15,0,0,0,-
Women,2013_2014,851,Ｖ・チャレンジリーグ女子 2013/14   レギュラーラウンド,12/7/2013,-,柏市沼南体育館,360,0.541666667,0.599305556,0.057638889,-,渡部　菜保子,山内　大右,緑川　靖,GSS東京サンビームズ,仙台ベルフィーユ,3,0,25,17,0.015972222,30,28,0.023611111,25,12,0.013888889,-,-,-,-,-,-,仙台ベルフィーユ,2,-,雨堤 みなみ(C),3,■,■,■,-,-,17,4,2,23.5,1.33,3,0,0,0,0,-,15,1,2,7,17,8,2,0,25
Women,2013_2014,851,Ｖ・チャレンジリーグ女子 2013/14   レギュラーラウンド,12/7/2013,-,柏市沼南体育館,360,0.541666667,0.599305556,0.057638889,-,渡部　菜保子,山内　大右,緑川　靖,GSS東京サンビームズ,仙台ベルフィーユ,3,0,25,17,0.015972222,30,28,0.023611111,25,12,0.013888889,-,-,-,-,-,-,仙台ベルフィーユ,3,-,芳賀 小梨絵,3,□,□,□,-,-,0,0,0,-,-,0,0,0,-,0,-,3,0,0,0,0,3,2,0,66.7
Women,2013_2014,851,Ｖ・チャレンジリーグ女子 2013/14   レギュラーラウンド,12/7/2013,-,柏市沼南体育館,360,0.541666667,0.599305556,0.057638889,-,渡部　菜保子,山内　大右,緑川　靖,GSS東京サンビームズ,仙台ベルフィーユ,3,0,25,17,0.015972222,30,28,0.023611111,25,12,0.013888889,-,-,-,-,-,-,仙台ベルフィーユ,4,-,櫻井 樹里,2,□,-,□,-,-,6,1,1,16.7,0.5,0,0,0,-,0,-,3,0,0,0,0,1,1,0,100
Women,2013_2014,851,Ｖ・チャレンジリーグ女子 2013/14   レギュラーラウンド,12/7/2013,-,柏市沼南体育館,360,0.541666667,0.599305556,0.057638889,-,渡部　菜保子,山内　大右,緑川　靖,GSS東京サンビームズ,仙台ベルフィーユ,3,0,25,17,0.015972222,30,28,0.023611111,25,12,0.013888889,-,-,-,-,-,-,仙台ベルフィーユ,6,-,王 亜辰,3,■,■,■,-,-,14,7,0,50,2.33,0,0,0,-,7,2.33,9,0,1,0,0,0,0,0,-
Women,2013_2014,851,Ｖ・チャレンジリーグ女子 2013/14   レギュラーラウンド,12/7/2013,-,柏市沼南体育館,360,0.541666667,0.599305556,0.057638889,-,渡部　菜保子,山内　大右,緑川　靖,GSS東京サンビームズ,仙台ベルフィーユ,3,0,25,17,0.015972222,30,28,0.023611111,25,12,0.013888889,-,-,-,-,-,-,仙台ベルフィーユ,8,-,中野 清香,3,■,■,■,-,-,23,9,2,39.1,3,0,0,0,-,2,0.67,15,1,1,2,8.7,9,4,0,44.4
Women,2013_2014,851,Ｖ・チャレンジリーグ女子 2013/14   レギュラーラウンド,12/7/2013,-,柏市沼南体育館,360,0.541666667,0.599305556,0.057638889,-,渡部　菜保子,山内　大右,緑川　靖,GSS東京サンビームズ,仙台ベルフィーユ,3,0,25,17,0.015972222,30,28,0.023611111,25,12,0.013888889,-,-,-,-,-,-,仙台ベルフィーユ,11,-,渡邊 彩,3,■,■,■,-,-,19,10,0,52.6,3.33,1,0,0,0,3,1,11,0,0,3,6.8,0,0,0,-
Women,2013_2014,851,Ｖ・チャレンジリーグ女子 2013/14   レギュラーラウンド,12/7/2013,-,柏市沼南体育館,360,0.541666667,0.599305556,0.057638889,-,渡部　菜保子,山内　大右,緑川　靖,GSS東京サンビームズ,仙台ベルフィーユ,3,0,25,17,0.015972222,30,28,0.023611111,25,12,0.013888889,-,-,-,-,-,-,仙台ベルフィーユ,13,L,大内 世莉香,3,●,●,●,-,-,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,21,17,0,81
Women,2013_2014,851,Ｖ・チャレンジリーグ女子 2013/14   レギュラーラウンド,12/7/2013,-,柏市沼南体育館,360,0.541666667,0.599305556,0.057638889,-,渡部　菜保子,山内　大右,緑川　靖,GSS東京サンビームズ,仙台ベルフィーユ,3,0,25,17,0.015972222,30,28,0.023611111,25,12,0.013888889,-,-,-,-,-,-,仙台ベルフィーユ,14,-,渡邉 愛以,3,■,■,■,-,-,14,6,1,42.9,2,0,0,0,-,1,0.33,5,0,1,0,0,7,4,0,57.1
Women,2013_2014,851,Ｖ・チャレンジリーグ女子 2013/14   レギュラーラウンド,12/7/2013,-,柏市沼南体育館,360,0.541666667,0.599305556,0.057638889,-,渡部　菜保子,山内　大右,緑川　靖,GSS東京サンビームズ,仙台ベルフィーユ,3,0,25,17,0.015972222,30,28,0.023611111,25,12,0.013888889,-,-,-,-,-,-,仙台ベルフィーユ,15,-,佐々木 香織,3,■,■,■,-,-,0,0,0,-,-,0,0,0,-,3,1,18,0,1,5,6.9,0,0,0,-
Women,2013_2014,852,Ｖ・チャレンジリーグ女子 2013/14   レギュラーラウンド,12/7/2013,-,柏市沼南体育館,400,0.625,0.675694444,0.050694444,-,服部　篤史,関　秀彰,池畑　羊一,柏エンゼルクロス,デンソーエアリービーズ,0,3,13,25,0.015972222,9,25,0.014583333,15,25,0.015972222,-,-,-,-,-,-,柏エンゼルクロス,1,-,田村 真希,3,■,■,■,-,-,1,0,0,0,-,0,0,0,-,0,-,3,0,0,0,0,0,0,0,-
Women,2013_2014,852,Ｖ・チャレンジリーグ女子 2013/14   レギュラーラウンド,12/7/2013,-,柏市沼南体育館,400,0.625,0.675694444,0.050694444,-,服部　篤史,関　秀彰,池畑　羊一,柏エンゼルクロス,デンソーエアリービーズ,0,3,13,25,0.015972222,9,25,0.014583333,15,25,0.015972222,-,-,-,-,-,-,柏エンゼルクロス,2,-,竹本 由美,1,-,-,□,-,-,3,1,0,33.3,1,1,0,0,0,1,1,3,0,0,0,0,0,0,0,-
Women,2013_2014,852,Ｖ・チャレンジリーグ女子 2013/14   レギュラーラウンド,12/7/2013,-,柏市沼南体育館,400,0.625,0.675694444,0.050694444,-,服部　篤史,関　秀彰,池畑　羊一,柏エンゼルクロス,デンソーエアリービーズ,0,3,13,25,0.015972222,9,25,0.014583333,15,25,0.015972222,-,-,-,-,-,-,柏エンゼルクロス,3,-,座安 好香,1,-,-,□,-,-,0,0,0,-,-,0,0,0,-,0,-,2,1,0,1,52.5,1,1,0,100
Women,2013_2014,852,Ｖ・チャレンジリーグ女子 2013/14   レギュラーラウンド,12/7/2013,-,柏市沼南体育館,400,0.625,0.675694444,0.050694444,-,服部　篤史,関　秀彰,池畑　羊一,柏エンゼルクロス,デンソーエアリービーズ,0,3,13,25,0.015972222,9,25,0.014583333,15,25,0.015972222,-,-,-,-,-,-,柏エンゼルクロス,5,-,渡邊 美菜,3,■,■,■,-,-,11,3,0,27.3,1,0,0,0,-,0,-,3,0,0,0,0,0,0,0,-
Women,2013_2014,852,Ｖ・チャレンジリーグ女子 2013/14   レギュラーラウンド,12/7/2013,-,柏市沼南体育館,400,0.625,0.675694444,0.050694444,-,服部　篤史,関　秀彰,池畑　羊一,柏エンゼルクロス,デンソーエアリービーズ,0,3,13,25,0.015972222,9,25,0.014583333,15,25,0.015972222,-,-,-,-,-,-,柏エンゼルクロス,6,-,伊藤 綾子,3,■,■,■,-,-,9,2,0,22.2,0.67,0,0,0,-,2,0.67,9,0,0,0,0,0,0,0,-
Women,2013_2014,852,Ｖ・チャレンジリーグ女子 2013/14   レギュラーラウンド,12/7/2013,-,柏市沼南体育館,400,0.625,0.675694444,0.050694444,-,服部　篤史,関　秀彰,池畑　羊一,柏エンゼルクロス,デンソーエアリービーズ,0,3,13,25,0.015972222,9,25,0.014583333,15,25,0.015972222,-,-,-,-,-,-,柏エンゼルクロス,7,-,江森 圭美(C),3,■,■,■,-,-,10,1,1,10,0.33,0,0,0,-,0,-,8,0,0,3,9.4,33,26,0,78.8
Women,2013_2014,852,Ｖ・チャレンジリーグ女子 2013/14   レギュラーラウンド,12/7/2013,-,柏市沼南体育館,400,0.625,0.675694444,0.050694444,-,服部　篤史,関　秀彰,池畑　羊一,柏エンゼルクロス,デンソーエアリービーズ,0,3,13,25,0.015972222,9,25,0.014583333,15,25,0.015972222,-,-,-,-,-,-,柏エンゼルクロス,8,-,河野 舞,3,■,■,■,-,-,37,7,2,18.9,2.33,3,0,1,0,1,0.33,5,0,1,0,0,3,2,0,66.7
Women,2013_2014,852,Ｖ・チャレンジリーグ女子 2013/14   レギュラーラウンド,12/7/2013,-,柏市沼南体育館,400,0.625,0.675694444,0.050694444,-,服部　篤史,関　秀彰,池畑　羊一,柏エンゼルクロス,デンソーエアリービーズ,0,3,13,25,0.015972222,9,25,0.014583333,15,25,0.015972222,-,-,-,-,-,-,柏エンゼルクロス,10,L,定別當 彩,3,●,●,●,-,-,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,15,7,0,46.7
Women,2013_2014,852,Ｖ・チャレンジリーグ女子 2013/14   レギュラーラウンド,12/7/2013,-,柏市沼南体育館,400,0.625,0.675694444,0.050694444,-,服部　篤史,関　秀彰,池畑　羊一,柏エンゼルクロス,デンソーエアリービーズ,0,3,13,25,0.015972222,9,25,0.014583333,15,25,0.015972222,-,-,-,-,-,-,柏エンゼルクロス,11,-,丸山 祐希,0,-,-,-,-,-,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
Women,2013_2014,852,Ｖ・チャレンジリーグ女子 2013/14   レギュラーラウンド,12/7/2013,-,柏市沼南体育館,400,0.625,0.675694444,0.050694444,-,服部　篤史,関　秀彰,池畑　羊一,柏エンゼルクロス,デンソーエアリービーズ,0,3,13,25,0.015972222,9,25,0.014583333,15,25,0.015972222,-,-,-,-,-,-,柏エンゼルクロス,12,-,佐藤 舞,1,-,□,-,-,-,0,0,0,-,-,0,0,0,-,0,-,1,0,0,0,0,0,0,0,-
Women,2013_2014,852,Ｖ・チャレンジリーグ女子 2013/14   レギュラーラウンド,12/7/2013,-,柏市沼南体育館,400,0.625,0.675694444,0.050694444,-,服部　篤史,関　秀彰,池畑　羊一,柏エンゼルクロス,デンソーエアリービーズ,0,3,13,25,0.015972222,9,25,0.014583333,15,25,0.015972222,-,-,-,-,-,-,柏エンゼルクロス,16,-,鈴木 悠佳子,3,■,■,■,-,-,20,4,1,20,1.33,0,0,0,-,4,1.33,5,0,0,1,5,12,6,0,50
Women,2013_2014,852,Ｖ・チャレンジリーグ女子 2013/14   レギュラーラウンド,12/7/2013,-,柏市沼南体育館,400,0.625,0.675694444,0.050694444,-,服部　篤史,関　秀彰,池畑　羊一,柏エンゼルクロス,デンソーエアリービーズ,3,0,25,13,0.015972222,25,9,0.014583333,25,15,0.015972222,-,-,-,-,-,-,デンソーエアリービーズ,1,-,インドレ・ソロカイテ,3,■,■,■,-,-,22,11,0,50,3.67,4,1,0,25,2,0.67,14,4,4,3,29.6,2,1,0,50
Women,2013_2014,852,Ｖ・チャレンジリーグ女子 2013/14   レギュラーラウンド,12/7/2013,-,柏市沼南体育館,400,0.625,0.675694444,0.050694444,-,服部　篤史,関　秀彰,池畑　羊一,柏エンゼルクロス,デンソーエアリービーズ,3,0,25,13,0.015972222,25,9,0.014583333,25,15,0.015972222,-,-,-,-,-,-,デンソーエアリービーズ,3,-,大竹 里歩,2,-,□,□,-,-,3,2,0,66.7,1,0,0,0,-,0,-,6,0,0,2,8.3,0,0,0,-
Women,2013_2014,852,Ｖ・チャレンジリーグ女子 2013/14   レギュラーラウンド,12/7/2013,-,柏市沼南体育館,400,0.625,0.675694444,0.050694444,-,服部　篤史,関　秀彰,池畑　羊一,柏エンゼルクロス,デンソーエアリービーズ,3,0,25,13,0.015972222,25,9,0.014583333,25,15,0.015972222,-,-,-,-,-,-,デンソーエアリービーズ,6,-,鈴木 裕子,2,□,-,□,-,-,0,0,0,-,-,0,0,0,-,0,-,2,0,0,2,25,0,0,0,-
Women,2013_2014,852,Ｖ・チャレンジリーグ女子 2013/14   レギュラーラウンド,12/7/2013,-,柏市沼南体育館,400,0.625,0.675694444,0.050694444,-,服部　篤史,関　秀彰,池畑　羊一,柏エンゼルクロス,デンソーエアリービーズ,3,0,25,13,0.015972222,25,9,0.014583333,25,15,0.015972222,-,-,-,-,-,-,デンソーエアリービーズ,7,-,鍋谷 友理枝,3,■,■,■,-,-,18,10,0,55.6,3.33,4,4,0,100,2,0.67,15,2,0,4,18.7,8,8,0,100
Women,2013_2014,852,Ｖ・チャレンジリーグ女子 2013/14   レギュラーラウンド,12/7/2013,-,柏市沼南体育館,400,0.625,0.675694444,0.050694444,-,服部　篤史,関　秀彰,池畑　羊一,柏エンゼルクロス,デンソーエアリービーズ,3,0,25,13,0.015972222,25,9,0.014583333,25,15,0.015972222,-,-,-,-,-,-,デンソーエアリービーズ,8,-,井上 香織(C),3,■,■,■,-,-,6,3,0,50,1,0,0,0,-,3,1,1,0,0,0,0,0,0,0,-
Women,2013_2014,852,Ｖ・チャレンジリーグ女子 2013/14   レギュラーラウンド,12/7/2013,-,柏市沼南体育館,400,0.625,0.675694444,0.050694444,-,服部　篤史,関　秀彰,池畑　羊一,柏エンゼルクロス,デンソーエアリービーズ,3,0,25,13,0.015972222,25,9,0.014583333,25,15,0.015972222,-,-,-,-,-,-,デンソーエアリービーズ,10,-,山田 美花,1,□,-,-,-,-,0,0,0,-,-,0,0,0,-,0,-,3,0,0,1,8.3,1,1,0,100
Women,2013_2014,852,Ｖ・チャレンジリーグ女子 2013/14   レギュラーラウンド,12/7/2013,-,柏市沼南体育館,400,0.625,0.675694444,0.050694444,-,服部　篤史,関　秀彰,池畑　羊一,柏エンゼルクロス,デンソーエアリービーズ,3,0,25,13,0.015972222,25,9,0.014583333,25,15,0.015972222,-,-,-,-,-,-,デンソーエアリービーズ,11,-,井上 奈々朱,1,-,-,□,-,-,4,4,0,100,4,0,0,0,-,2,2,1,0,0,1,25,0,0,0,-
Women,2013_2014,852,Ｖ・チャレンジリーグ女子 2013/14   レギュラーラウンド,12/7/2013,-,柏市沼南体育館,400,0.625,0.675694444,0.050694444,-,服部　篤史,関　秀彰,池畑　羊一,柏エンゼルクロス,デンソーエアリービーズ,3,0,25,13,0.015972222,25,9,0.014583333,25,15,0.015972222,-,-,-,-,-,-,デンソーエアリービーズ,12,-,泉岡 未来,2,-,□,□,-,-,5,3,0,60,1.5,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
Women,2013_2014,852,Ｖ・チャレンジリーグ女子 2013/14   レギュラーラウンド,12/7/2013,-,柏市沼南体育館,400,0.625,0.675694444,0.050694444,-,服部　篤史,関　秀彰,池畑　羊一,柏エンゼルクロス,デンソーエアリービーズ,3,0,25,13,0.015972222,25,9,0.014583333,25,15,0.015972222,-,-,-,-,-,-,デンソーエアリービーズ,16,-,石井 里沙,3,■,■,■,-,-,12,4,1,33.3,1.33,0,0,0,-,0,-,9,0,1,1,2.8,12,9,0,75
Women,2013_2014,852,Ｖ・チャレンジリーグ女子 2013/14   レギュラーラウンド,12/7/2013,-,柏市沼南体育館,400,0.625,0.675694444,0.050694444,-,服部　篤史,関　秀彰,池畑　羊一,柏エンゼルクロス,デンソーエアリービーズ,3,0,25,13,0.015972222,25,9,0.014583333,25,15,0.015972222,-,-,-,-,-,-,デンソーエアリービーズ,18,-,栄 絵里香,3,■,■,■,-,-,1,1,0,100,0.33,0,0,0,-,1,0.33,9,0,1,3,8.3,0,0,0,-
Women,2013_2014,852,Ｖ・チャレンジリーグ女子 2013/14   レギュラーラウンド,12/7/2013,-,柏市沼南体育館,400,0.625,0.675694444,0.050694444,-,服部　篤史,関　秀彰,池畑　羊一,柏エンゼルクロス,デンソーエアリービーズ,3,0,25,13,0.015972222,25,9,0.014583333,25,15,0.015972222,-,-,-,-,-,-,デンソーエアリービーズ,19,-,木島 綾菜,3,■,■,■,-,-,9,7,0,77.8,2.33,0,0,0,-,2,0.67,11,0,1,1,2.3,0,0,0,-
Women,2013_2014,852,Ｖ・チャレンジリーグ女子 2013/14   レギュラーラウンド,12/7/2013,-,柏市沼南体育館,400,0.625,0.675694444,0.050694444,-,服部　篤史,関　秀彰,池畑　羊一,柏エンゼルクロス,デンソーエアリービーズ,3,0,25,13,0.015972222,25,9,0.014583333,25,15,0.015972222,-,-,-,-,-,-,デンソーエアリービーズ,20,L,真柴 咲紀,3,●,●,●,-,-,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,12,10,0,83.3
Women,2013_2014,852,Ｖ・チャレンジリーグ女子 2013/14   レギュラーラウンド,12/7/2013,-,柏市沼南体育館,400,0.625,0.675694444,0.050694444,-,服部　篤史,関　秀彰,池畑　羊一,柏エンゼルクロス,デンソーエアリービーズ,3,0,25,13,0.015972222,25,9,0.014583333,25,15,0.015972222,-,-,-,-,-,-,デンソーエアリービーズ,22,L,江口 友里香,2,-,●,●,-,-,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,2,2,0,100
Women,2013_2014,852,Ｖ・チャレンジリーグ女子 2013/14   レギュラーラウンド,12/7/2013,-,柏市沼南体育館,400,0.625,0.675694444,0.050694444,-,服部　篤史,関　秀彰,池畑　羊一,柏エンゼルクロス,デンソーエアリービーズ,3,0,25,13,0.015972222,25,9,0.014583333,25,15,0.015972222,-,-,-,-,-,-,デンソーエアリービーズ,24,-,石坂 円,1,-,-,□,-,-,10,2,1,20,2,2,1,1,50,0,-,2,0,0,0,0,1,1,0,100
