M/W,Season,Match_No,League,開催日,開催地,会場,入場者数,開始時刻,終了時刻,試合時間,JURY,1stﾚﾌｪﾘｰ,2ndﾚﾌｪﾘｰ,判定員,Team1,Team2,セット:得,セット:失,セット1:得点,セット1:失点,セット1:時間,セット2:得点,セット2:失点,セット2:時間,セット3:得点,セット3:失点,セット3:時間,セット4:得点,セット4:失点,セット4:時間,セット5:得点,セット5:失点,セット5:時間,Team,アタック_打数,アタック_得点,アタック_失点,アタック_決定率,アタック_セット平均,アタック(内バックアタック)_打数,アタック(内バックアタック)_得点,アタック(内バックアタック)_失点,アタック(内バックアタック)_決定率,ブロック_得点,ブロック_セット平均,サーブ_打数,サーブ_得点,サーブ_失点,サーブ_効果,サーブ_効果率,サーブレシーブ_受数,サーブレシーブ_成功・優,サーブレシーブ_成功・良,サーブレシーブ_成功率
Men,2024_2025,1,2024-25 大同生命SV.LEAGUE MEN???レギュラーシーズン?第1節?GAME1,2024/10/11,東京都,東京体育館,6526,19:06,20:31,1:25,富田　満,浅井　唯由,村中　伸,VOLLEYSTATION,サントリーサンバーズ大阪,大阪ブルテオン,0 ,3 ,17 ,25 ,0:25,19 ,25 ,0:25,21 ,25 ,0:28,-,-,-,-,-,-,サントリーサンバーズ大阪,83,52,3,62.7,17.33,17,11,1,64.7,6,2,73,1,12,30,7.5,49,12,15,39.8
Men,2024_2025,1,2024-25 大同生命SV.LEAGUE MEN???レギュラーシーズン?第1節?GAME1,2024/10/11,東京都,東京体育館,6526,19:06,20:31,1:25,富田　満,浅井　唯由,村中　伸,VOLLEYSTATION,サントリーサンバーズ大阪,大阪ブルテオン,3 ,0 ,25 ,17 ,0:25,25 ,19 ,0:25,25 ,21 ,0:28,-,-,-,-,-,-,大阪ブルテオン,80,34,5,42.5,11.33,20,9,2,45,5,1.67,59,2,10,20,7.6,61,6,24,29.5
Men,2024_2025,331,2024-25 大同生命SV.LEAGUE MEN???レギュラーシーズン?第1節?GAME1,2024/10/12,東京都渋谷区,東京体育館,6459,16:05,18:25,2:20,印藤　智一,村中　伸,竹澤　拓人,VOLLEYSTATION,東京グレートベアーズ,ウルフドッグス名古屋,1 ,3 ,22 ,25 ,0:31,21 ,25 ,0:32,25 ,23 ,0:31,20 ,25 ,0:25,-,-,-,東京グレートベアーズ,98,49,2,50,12.25,22,10,0,45.5,12,3,97,7,19,26,9,64,18,12,37.5
Men,2024_2025,331,2024-25 大同生命SV.LEAGUE MEN???レギュラーシーズン?第1節?GAME1,2024/10/12,東京都渋谷区,東京体育館,6459,16:05,18:25,2:20,印藤　智一,村中　伸,竹澤　拓人,VOLLEYSTATION,東京グレートベアーズ,ウルフドッグス名古屋,3 ,1 ,25 ,22 ,0:31,25 ,21 ,0:32,23 ,25 ,0:31,25 ,20 ,0:25,-,-,-,ウルフドッグス名古屋,113,49,5,43.4,12.25,23,11,2,47.8,10,2.5,89,4,23,30,6.5,77,19,25,40.9
Men,2024_2025,332,2024-25 大同生命SV.LEAGUE MEN???レギュラーシーズン?第1節?GAME1,2024/10/12,愛知県,岡崎中央総合公園総合体育館,3505,14:05,16:18,2:13,酒出　修,戸川　太輔,小松　剛,VOLLEYSTATION,ジェイテクトSTINGS愛知,VC長野トライデンツ,3 ,1 ,25 ,17 ,0:30,25 ,11 ,0:21,22 ,25 ,0:42,25 ,22 ,0:29,-,-,-,ジェイテクトSTINGS愛知,98,44,6,44.9,11,24,14,3,58.3,4,1,76,2,17,23,4.6,78,24,26,47.4
Men,2024_2025,332,2024-25 大同生命SV.LEAGUE MEN???レギュラーシーズン?第1節?GAME1,2024/10/12,愛知県,岡崎中央総合公園総合体育館,3505,14:05,16:18,2:13,酒出　修,戸川　太輔,小松　剛,VOLLEYSTATION,ジェイテクトSTINGS愛知,VC長野トライデンツ,1 ,3 ,17 ,25 ,0:30,11 ,25 ,0:21,25 ,22 ,0:42,22 ,25 ,0:29,-,-,-,VC長野トライデンツ,95,51,5,53.7,12.75,23,16,1,69.6,12,3,96,10,18,18,10.4,59,11,23,38.1
Men,2024_2025,333,2024-25 大同生命SV.LEAGUE MEN???レギュラーシーズン?第1節?GAME1,2024/10/12,大阪府,大浜だいしんアリーナ,1817,16:05,18:39,2:34,田野　昭彦,原　啓之,正岡　卓,VOLLEYSTATION,日本製鉄堺ブレイザーズ,ヴォレアス北海道,3 ,2 ,18 ,25 ,0:26,17 ,25 ,0:28,25 ,17 ,0:30,25 ,17 ,0:27,15 ,11 ,0:19,日本製鉄堺ブレイザーズ,133,58,8,43.6,11.6,32,11,4,34.4,6,1.2,95,2,23,33,4.7,82,36,12,51.2
Men,2024_2025,333,2024-25 大同生命SV.LEAGUE MEN???レギュラーシーズン?第1節?GAME1,2024/10/12,大阪府,大浜だいしんアリーナ,1817,16:05,18:39,2:34,田野　昭彦,原　啓之,正岡　卓,VOLLEYSTATION,日本製鉄堺ブレイザーズ,ヴォレアス北海道,2 ,3 ,25 ,18 ,0:26,25 ,17 ,0:28,17 ,25 ,0:30,17 ,25 ,0:27,11 ,15 ,0:19,ヴォレアス北海道,123,52,9,42.3,10.4,24,12,3,50,10,2,99,3,17,31,6.6,72,20,17,39.6
Men,2024_2025,334,2024-25 大同生命SV.LEAGUE MEN???レギュラーシーズン?第1節?GAME1,2024/10/12,広島県,広島グリーンアリーナ,2546,13:05,15:44,2:39,石井　洋壮,千代延　靖夫,長畑　裕也,VOLLEYSTATION,広島サンダーズ,東レアローズ静岡,3 ,2 ,20 ,25 ,0:23,19 ,25 ,0:33,25 ,21 ,0:31,30 ,28 ,0:39,15 ,8 ,0:14,広島サンダーズ,140,73,10,52.1,14.6,31,16,3,51.6,8,1.6,109,4,11,36,9.4,97,22,25,35.6
Men,2024_2025,334,2024-25 大同生命SV.LEAGUE MEN???レギュラーシーズン?第1節?GAME1,2024/10/12,広島県,広島グリーンアリーナ,2546,13:05,15:44,2:39,石井　洋壮,千代延　靖夫,長畑　裕也,VOLLEYSTATION,広島サンダーズ,東レアローズ静岡,2 ,3 ,25 ,20 ,0:23,25 ,19 ,0:33,21 ,25 ,0:31,28 ,30 ,0:39,8 ,15 ,0:14,東レアローズ静岡,131,67,10,51.1,13.4,27,13,6,48.1,9,1.8,108,11,11,39,16.7,98,28,30,43.9
