M/W,Season,Match_No,League,開催日,開催地,会場,入場者数,開始時刻,終了時刻,試合時間,JURY,1stﾚﾌｪﾘｰ,2ndﾚﾌｪﾘｰ,判定員,Team1,Team2,セット:得,セット:失,セット1:得点,セット1:失点,セット1:時間,セット2:得点,セット2:失点,セット2:時間,セット3:得点,セット3:失点,セット3:時間,セット4:得点,セット4:失点,セット4:時間,セット5:得点,セット5:失点,セット5:時間,Team,N,L,Name,出場セット,出場セット1,出場セット2,出場セット3,出場セット4,出場セット5,アタック_打数,アタック_得点,アタック_失点,アタック_決定率,アタック_セット平均,アタック(内バックアタック)_打数,アタック(内バックアタック)_得点,アタック(内バックアタック)_失点,アタック(内バックアタック)_決定率,ブロック_得点,ブロック_セット平均,サーブ_打数,サーブ_得点,サーブ_失点,サーブ_効果,サーブ_効果率,サーブレシーブ_受数,サーブレシーブ_成功・優,サーブレシーブ_成功・良,サーブレシーブ_成功率
Women,2007_2008,801,Ｖ・チャレンジリーグ女子 2007/08   レギュラーラウンド,1/19/2008,-,柏市市民体育館,750,0.541666667,0.596527778,0.054861111,-,浅見　靖人,鍋谷　広高,常泉　尚男,柏エンゼルクロス,埼玉上尾メディックス,0,3,12,25,0.013888889,24,26,0.019444444,23,25,0.017361111,-,-,-,-,-,-,柏エンゼルクロス,1,-,増渕 朱里(C),0,-,-,-,-,-,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
Women,2007_2008,801,Ｖ・チャレンジリーグ女子 2007/08   レギュラーラウンド,1/19/2008,-,柏市市民体育館,750,0.541666667,0.596527778,0.054861111,-,浅見　靖人,鍋谷　広高,常泉　尚男,柏エンゼルクロス,埼玉上尾メディックス,0,3,12,25,0.013888889,24,26,0.019444444,23,25,0.017361111,-,-,-,-,-,-,柏エンゼルクロス,2,L,田部井 千夏,3,●,●,●,-,-,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,13,9,0,69.2
Women,2007_2008,801,Ｖ・チャレンジリーグ女子 2007/08   レギュラーラウンド,1/19/2008,-,柏市市民体育館,750,0.541666667,0.596527778,0.054861111,-,浅見　靖人,鍋谷　広高,常泉　尚男,柏エンゼルクロス,埼玉上尾メディックス,0,3,12,25,0.013888889,24,26,0.019444444,23,25,0.017361111,-,-,-,-,-,-,柏エンゼルクロス,4,-,皆川 恵里,2,-,□,□,-,-,0,0,0,-,-,0,0,0,-,0,-,3,0,0,1,8.3,0,0,0,-
Women,2007_2008,801,Ｖ・チャレンジリーグ女子 2007/08   レギュラーラウンド,1/19/2008,-,柏市市民体育館,750,0.541666667,0.596527778,0.054861111,-,浅見　靖人,鍋谷　広高,常泉　尚男,柏エンゼルクロス,埼玉上尾メディックス,0,3,12,25,0.013888889,24,26,0.019444444,23,25,0.017361111,-,-,-,-,-,-,柏エンゼルクロス,5,-,馬場 雅子,0,-,-,-,-,-,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
Women,2007_2008,801,Ｖ・チャレンジリーグ女子 2007/08   レギュラーラウンド,1/19/2008,-,柏市市民体育館,750,0.541666667,0.596527778,0.054861111,-,浅見　靖人,鍋谷　広高,常泉　尚男,柏エンゼルクロス,埼玉上尾メディックス,0,3,12,25,0.013888889,24,26,0.019444444,23,25,0.017361111,-,-,-,-,-,-,柏エンゼルクロス,6,-,岳　 衡,3,■,■,■,-,-,9,4,0,44.4,1.33,0,0,0,-,1,0.33,8,0,0,3,9.4,0,0,0,-
Women,2007_2008,801,Ｖ・チャレンジリーグ女子 2007/08   レギュラーラウンド,1/19/2008,-,柏市市民体育館,750,0.541666667,0.596527778,0.054861111,-,浅見　靖人,鍋谷　広高,常泉　尚男,柏エンゼルクロス,埼玉上尾メディックス,0,3,12,25,0.013888889,24,26,0.019444444,23,25,0.017361111,-,-,-,-,-,-,柏エンゼルクロス,7,-,村上 秀子,3,■,■,■,-,-,22,6,3,27.3,2,0,0,0,-,1,0.33,10,0,1,4,10,15,8,0,53.3
Women,2007_2008,801,Ｖ・チャレンジリーグ女子 2007/08   レギュラーラウンド,1/19/2008,-,柏市市民体育館,750,0.541666667,0.596527778,0.054861111,-,浅見　靖人,鍋谷　広高,常泉　尚男,柏エンゼルクロス,埼玉上尾メディックス,0,3,12,25,0.013888889,24,26,0.019444444,23,25,0.017361111,-,-,-,-,-,-,柏エンゼルクロス,9,-,稲増 優季恵,2,■,■,-,-,-,4,3,0,75,1.5,0,0,0,-,0,-,4,0,2,0,0,8,7,0,87.5
Women,2007_2008,801,Ｖ・チャレンジリーグ女子 2007/08   レギュラーラウンド,1/19/2008,-,柏市市民体育館,750,0.541666667,0.596527778,0.054861111,-,浅見　靖人,鍋谷　広高,常泉　尚男,柏エンゼルクロス,埼玉上尾メディックス,0,3,12,25,0.013888889,24,26,0.019444444,23,25,0.017361111,-,-,-,-,-,-,柏エンゼルクロス,10,-,渋谷 桃子,0,-,-,-,-,-,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
Women,2007_2008,801,Ｖ・チャレンジリーグ女子 2007/08   レギュラーラウンド,1/19/2008,-,柏市市民体育館,750,0.541666667,0.596527778,0.054861111,-,浅見　靖人,鍋谷　広高,常泉　尚男,柏エンゼルクロス,埼玉上尾メディックス,0,3,12,25,0.013888889,24,26,0.019444444,23,25,0.017361111,-,-,-,-,-,-,柏エンゼルクロス,11,-,吉井 希予栄,3,■,■,■,-,-,7,1,1,14.3,0.33,0,0,0,-,0,-,10,0,1,2,5,0,0,0,-
Women,2007_2008,801,Ｖ・チャレンジリーグ女子 2007/08   レギュラーラウンド,1/19/2008,-,柏市市民体育館,750,0.541666667,0.596527778,0.054861111,-,浅見　靖人,鍋谷　広高,常泉　尚男,柏エンゼルクロス,埼玉上尾メディックス,0,3,12,25,0.013888889,24,26,0.019444444,23,25,0.017361111,-,-,-,-,-,-,柏エンゼルクロス,12,-,佐藤 理栄子,2,-,□,■,-,-,9,4,0,44.4,2,0,0,0,-,0,-,8,1,0,4,25,6,5,0,83.3
