M/W,Season,Match_No,League,開催日,開催地,会場,入場者数,開始時刻,終了時刻,試合時間,JURY,1stﾚﾌｪﾘｰ,2ndﾚﾌｪﾘｰ,判定員,Team1,Team2,セット:得,セット:失,セット1:得点,セット1:失点,セット1:時間,セット2:得点,セット2:失点,セット2:時間,セット3:得点,セット3:失点,セット3:時間,セット4:得点,セット4:失点,セット4:時間,セット5:得点,セット5:失点,セット5:時間,Team,アタック_打数,アタック_得点,アタック_失点,アタック_決定率,アタック_セット平均,アタック(内バックアタック)_打数,アタック(内バックアタック)_得点,アタック(内バックアタック)_失点,アタック(内バックアタック)_決定率,ブロック_得点,ブロック_セット平均,サーブ_打数,サーブ_得点,サーブ_失点,サーブ_効果,サーブ_効果率,サーブレシーブ_受数,サーブレシーブ_成功・優,サーブレシーブ_成功・良,サーブレシーブ_成功率
Men,2007_2008,701,Ｖ・チャレンジリーグ男子 2007/08   レギュラーラウンド,1/12/2008,-,大同特殊鋼体育館,180,0.5,0.542361111,0.042361111,-,高橋　弘二,丹羽　敏彰,永崎　重文,ジェイテクトSTINGS,近畿クラブスフィーダ,3,0,25,18,0.013194444,25,18,0.011805556,25,19,0.013194444,-,-,-,-,-,-,ジェイテクトSTINGS,63,35,8,55.6,11.67,3,0,2,0,9,3,74,3,6,22,11.2,45,35,0,77.8
Men,2007_2008,701,Ｖ・チャレンジリーグ男子 2007/08   レギュラーラウンド,1/12/2008,-,大同特殊鋼体育館,180,0.5,0.542361111,0.042361111,-,高橋　弘二,丹羽　敏彰,永崎　重文,ジェイテクトSTINGS,近畿クラブスフィーダ,0,3,18,25,0.013194444,18,25,0.011805556,19,25,0.013194444,-,-,-,-,-,-,近畿クラブスフィーダ,72,33,11,45.8,11,16,7,4,43.8,3,1,56,3,9,8,8.2,65,42,0,64.6
Men,2007_2008,702,Ｖ・チャレンジリーグ男子 2007/08   レギュラーラウンド,1/12/2008,-,大同特殊鋼体育館,380,0.576388889,0.659722222,0.083333333,-,中島　俊昌,浅見　靖人,田中　栄二,つくばユナイテッドSun GAIA,大同特殊鋼レッドスター,3,2,21,25,0.017361111,22,25,0.015972222,25,18,0.015277778,26,24,0.017361111,15,9,0.009027778,つくばユナイテッドSun GAIA,131,69,10,52.7,13.8,8,3,1,37.5,13,2.6,108,0,17,29,6.7,87,64,0,73.6
Men,2007_2008,702,Ｖ・チャレンジリーグ男子 2007/08   レギュラーラウンド,1/12/2008,-,大同特殊鋼体育館,380,0.576388889,0.659722222,0.083333333,-,中島　俊昌,浅見　靖人,田中　栄二,つくばユナイテッドSun GAIA,大同特殊鋼レッドスター,2,3,25,21,0.017361111,25,22,0.015972222,18,25,0.015277778,24,26,0.017361111,9,15,0.009027778,大同特殊鋼レッドスター,125,63,7,50.4,12.6,12,6,1,50,5,1,102,3,13,21,7.7,91,62,0,68.1
Men,2007_2008,703,Ｖ・チャレンジリーグ男子 2007/08   レギュラーラウンド,1/12/2008,-,大同特殊鋼体育館,155,0.695138889,0.778472222,0.083333333,-,柘植　知則,岡谷　仁,岡田　三千雄,警視庁フォートファイターズ,富士通カワサキレッドスピリッツ,3,2,24,26,0.017361111,23,25,0.015972222,25,23,0.017361111,25,15,0.013194444,16,14,0.011111111,警視庁フォートファイターズ,148,65,12,43.9,13,20,6,6,30,9,1.8,113,4,10,41,12.3,89,64,0,71.9
Men,2007_2008,703,Ｖ・チャレンジリーグ男子 2007/08   レギュラーラウンド,1/12/2008,-,大同特殊鋼体育館,155,0.695138889,0.778472222,0.083333333,-,柘植　知則,岡谷　仁,岡田　三千雄,警視庁フォートファイターズ,富士通カワサキレッドスピリッツ,2,3,26,24,0.017361111,25,23,0.015972222,23,25,0.017361111,15,25,0.013194444,14,16,0.011111111,富士通カワサキレッドスピリッツ,132,60,16,45.5,12,12,2,2,16.7,15,3,102,2,12,24,7.6,101,58,0,57.4
Men,2007_2008,704,Ｖ・チャレンジリーグ男子 2007/08   レギュラーラウンド,1/12/2008,-,立川市泉市民体育館,350,0.541666667,0.59375,0.052083333,-,三見　洋子,田中　哲,並木　修一,兵庫デルフィーノ,FC東京,0,3,22,25,0.017361111,18,25,0.015277778,23,25,0.015277778,-,-,-,-,-,-,兵庫デルフィーノ,86,34,9,39.5,11.33,5,0,2,0,3,1,64,0,4,17,6.6,64,34,0,53.1
Men,2007_2008,704,Ｖ・チャレンジリーグ男子 2007/08   レギュラーラウンド,1/12/2008,-,立川市泉市民体育館,350,0.541666667,0.59375,0.052083333,-,三見　洋子,田中　哲,並木　修一,兵庫デルフィーノ,FC東京,3,0,25,22,0.017361111,25,18,0.015277778,25,23,0.015277778,-,-,-,-,-,-,FC東京,89,49,11,55.1,16.33,20,12,4,60,8,2.67,74,3,10,27,12.4,60,43,0,71.7
Men,2007_2008,705,Ｖ・チャレンジリーグ男子 2007/08   レギュラーラウンド,1/12/2008,-,立川市泉市民体育館,250,0.628472222,0.676388889,0.047916667,-,浅井　唯由,古川　浩洋,塚本　健二,東京ヴェルディ,トヨタ自動車サンホークス,3,0,25,17,0.011805556,26,24,0.015972222,29,27,0.015972222,-,-,-,-,-,-,東京ヴェルディ,88,49,10,55.7,16.33,9,4,4,44.4,9,3,78,2,12,25,10.3,59,34,0,57.6
Men,2007_2008,705,Ｖ・チャレンジリーグ男子 2007/08   レギュラーラウンド,1/12/2008,-,立川市泉市民体育館,250,0.628472222,0.676388889,0.047916667,-,浅井　唯由,古川　浩洋,塚本　健二,東京ヴェルディ,トヨタ自動車サンホークス,0,3,17,25,0.011805556,24,26,0.015972222,27,29,0.015972222,-,-,-,-,-,-,トヨタ自動車サンホークス,84,37,8,44,12.33,8,4,2,50,5,1.67,70,3,10,23,11.9,65,39,0,60
Men,2007_2008,706,Ｖ・チャレンジリーグ男子 2007/08   レギュラーラウンド,1/13/2008,-,大同特殊鋼体育館,190,0.458333333,0.53125,0.072916667,-,高橋　弘二,石川　三津春,大津　聡,警視庁フォートファイターズ,つくばユナイテッドSun GAIA,3,1,28,26,0.019444444,25,18,0.013888889,19,25,0.015277778,25,23,0.018055556,-,-,-,警視庁フォートファイターズ,120,67,7,55.8,16.75,13,6,4,46.2,6,1.5,96,0,9,17,4.4,80,53,0,66.2
