M/W,Season,Match_No,League,開催日,開催地,会場,入場者数,開始時刻,終了時刻,試合時間,JURY,1stﾚﾌｪﾘｰ,2ndﾚﾌｪﾘｰ,判定員,Team1,Team2,セット:得,セット:失,セット1:得点,セット1:失点,セット1:時間,セット2:得点,セット2:失点,セット2:時間,セット3:得点,セット3:失点,セット3:時間,セット4:得点,セット4:失点,セット4:時間,セット5:得点,セット5:失点,セット5:時間,Team,N,L,Name,出場セット,出場セット1,出場セット2,出場セット3,出場セット4,出場セット5,アタック_打数,アタック_得点,アタック_失点,アタック_決定率,アタック_セット平均,アタック(内バックアタック)_打数,アタック(内バックアタック)_得点,アタック(内バックアタック)_失点,アタック(内バックアタック)_決定率,ブロック_得点,ブロック_セット平均,サーブ_打数,サーブ_得点,サーブ_失点,サーブ_効果,サーブ_効果率,サーブレシーブ_受数,サーブレシーブ_成功・優,サーブレシーブ_成功・良,サーブレシーブ_成功率
Women,2002_2003,585,第9回Vリーグ女子   ファイナルラウンド,3/7/2003,-,-,1250,0.645833333,0.732638889,0.086805556,-,伊藤　博之,李　在和,四本松　善成,NECレッドロケッツ,武富士バンブー,2,3,25,27,0.019444444,25,20,0.016666667,21,25,0.016666667,25,23,0.016666667,13,15,0.010416667,NECレッドロケッツ,1,-,高橋 みゆき(C),5,■,■,■,■,■,44,12,2,27.3,2.4,0,0,0,-,0,-,21,2,3,4,14.3,19,13,0,68.4
Women,2002_2003,585,第9回Vリーグ女子   ファイナルラウンド,3/7/2003,-,-,1250,0.645833333,0.732638889,0.086805556,-,伊藤　博之,李　在和,四本松　善成,NECレッドロケッツ,武富士バンブー,2,3,25,27,0.019444444,25,20,0.016666667,21,25,0.016666667,25,23,0.016666667,13,15,0.010416667,NECレッドロケッツ,2,L,津雲 博子,5,●,●,●,●,●,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,43,30,0,69.8
Women,2002_2003,585,第9回Vリーグ女子   ファイナルラウンド,3/7/2003,-,-,1250,0.645833333,0.732638889,0.086805556,-,伊藤　博之,李　在和,四本松　善成,NECレッドロケッツ,武富士バンブー,2,3,25,27,0.019444444,25,20,0.016666667,21,25,0.016666667,25,23,0.016666667,13,15,0.010416667,NECレッドロケッツ,3,-,大貫 美奈子,5,■,■,■,■,■,6,2,1,33.3,0.4,0,0,0,-,1,0.2,27,2,2,6,11.5,0,0,0,-
Women,2002_2003,585,第9回Vリーグ女子   ファイナルラウンド,3/7/2003,-,-,1250,0.645833333,0.732638889,0.086805556,-,伊藤　博之,李　在和,四本松　善成,NECレッドロケッツ,武富士バンブー,2,3,25,27,0.019444444,25,20,0.016666667,21,25,0.016666667,25,23,0.016666667,13,15,0.010416667,NECレッドロケッツ,4,-,田中 姿子,4,□,-,□,■,■,12,5,1,41.7,1.25,0,0,0,-,0,-,9,0,1,1,2.8,7,3,0,42.9
Women,2002_2003,585,第9回Vリーグ女子   ファイナルラウンド,3/7/2003,-,-,1250,0.645833333,0.732638889,0.086805556,-,伊藤　博之,李　在和,四本松　善成,NECレッドロケッツ,武富士バンブー,2,3,25,27,0.019444444,25,20,0.016666667,21,25,0.016666667,25,23,0.016666667,13,15,0.010416667,NECレッドロケッツ,5,-,仁木 希,5,■,■,■,■,■,49,21,2,42.9,4.2,0,0,0,-,1,0.2,13,0,0,4,7.7,29,24,0,82.8
Women,2002_2003,585,第9回Vリーグ女子   ファイナルラウンド,3/7/2003,-,-,1250,0.645833333,0.732638889,0.086805556,-,伊藤　博之,李　在和,四本松　善成,NECレッドロケッツ,武富士バンブー,2,3,25,27,0.019444444,25,20,0.016666667,21,25,0.016666667,25,23,0.016666667,13,15,0.010416667,NECレッドロケッツ,6,-,杉山 祥子,5,■,■,■,■,■,26,8,3,30.8,1.6,3,0,0,0,5,1,19,1,1,3,8.2,0,0,0,-
Women,2002_2003,585,第9回Vリーグ女子   ファイナルラウンド,3/7/2003,-,-,1250,0.645833333,0.732638889,0.086805556,-,伊藤　博之,李　在和,四本松　善成,NECレッドロケッツ,武富士バンブー,2,3,25,27,0.019444444,25,20,0.016666667,21,25,0.016666667,25,23,0.016666667,13,15,0.010416667,NECレッドロケッツ,7,-,濱 芙美子,1,-,□,-,-,-,0,0,0,-,-,0,0,0,-,0,-,1,0,0,0,0,0,0,0,-
Women,2002_2003,585,第9回Vリーグ女子   ファイナルラウンド,3/7/2003,-,-,1250,0.645833333,0.732638889,0.086805556,-,伊藤　博之,李　在和,四本松　善成,NECレッドロケッツ,武富士バンブー,2,3,25,27,0.019444444,25,20,0.016666667,21,25,0.016666667,25,23,0.016666667,13,15,0.010416667,NECレッドロケッツ,8,-,山本 愛,5,■,■,■,■,■,16,10,2,62.5,2,2,1,0,50,3,0.6,12,0,0,5,10.4,2,2,0,100
Women,2002_2003,585,第9回Vリーグ女子   ファイナルラウンド,3/7/2003,-,-,1250,0.645833333,0.732638889,0.086805556,-,伊藤　博之,李　在和,四本松　善成,NECレッドロケッツ,武富士バンブー,2,3,25,27,0.019444444,25,20,0.016666667,21,25,0.016666667,25,23,0.016666667,13,15,0.010416667,NECレッドロケッツ,11,-,松崎 さ代子,5,■,■,■,□,□,17,7,2,41.2,1.4,0,0,0,-,0,-,7,1,0,2,21.4,0,0,0,-
Women,2002_2003,585,第9回Vリーグ女子   ファイナルラウンド,3/7/2003,-,-,1250,0.645833333,0.732638889,0.086805556,-,伊藤　博之,李　在和,四本松　善成,NECレッドロケッツ,武富士バンブー,2,3,25,27,0.019444444,25,20,0.016666667,21,25,0.016666667,25,23,0.016666667,13,15,0.010416667,NECレッドロケッツ,15,-,梅尾 千草,0,-,-,-,-,-,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
