M/W,Season,Match_No,League,開催日,開催地,会場,入場者数,開始時刻,終了時刻,試合時間,JURY,1stﾚﾌｪﾘｰ,2ndﾚﾌｪﾘｰ,判定員,Team1,Team2,セット:得,セット:失,セット1:得点,セット1:失点,セット1:時間,セット2:得点,セット2:失点,セット2:時間,セット3:得点,セット3:失点,セット3:時間,セット4:得点,セット4:失点,セット4:時間,セット5:得点,セット5:失点,セット5:時間,Team,N,L,Name,出場セット,出場セット1,出場セット2,出場セット3,出場セット4,出場セット5,アタック_打数,アタック_得点,アタック_失点,アタック_決定率,アタック_セット平均,アタック(内バックアタック)_打数,アタック(内バックアタック)_得点,アタック(内バックアタック)_失点,アタック(内バックアタック)_決定率,ブロック_得点,ブロック_セット平均,サーブ_打数,サーブ_得点,サーブ_失点,サーブ_効果,サーブ_効果率,サーブレシーブ_受数,サーブレシーブ_成功・優,サーブレシーブ_成功・良,サーブレシーブ_成功率
Women,2014_2015,851,Ｖ・チャレンジリーグ女子 2014/15   レギュラーラウンド,11/15/2014,-,上天草市大矢野総合体育館,923,0.541666667,0.597916667,0.05625,-,須藤　義宏,松永　美志,端田　直也,PFUブルーキャッツ石川かほく,仙台ベルフィーユ,3,0,25,14,0.015277778,25,19,0.018055556,25,16,0.01875,-,-,-,-,-,-,PFUブルーキャッツ石川かほく,1,-,川上 真央,3,■,■,■,-,-,41,12,0,29.3,4,8,1,0,12.5,1,0.33,12,0,0,6,12.5,3,2,0,66.7
Women,2014_2015,851,Ｖ・チャレンジリーグ女子 2014/15   レギュラーラウンド,11/15/2014,-,上天草市大矢野総合体育館,923,0.541666667,0.597916667,0.05625,-,須藤　義宏,松永　美志,端田　直也,PFUブルーキャッツ石川かほく,仙台ベルフィーユ,3,0,25,14,0.015277778,25,19,0.018055556,25,16,0.01875,-,-,-,-,-,-,PFUブルーキャッツ石川かほく,2,-,ジェニファー・ドリス,3,■,■,■,-,-,21,10,2,47.6,3.33,0,0,0,-,4,1.33,6,0,0,3,12.5,0,0,0,-
Women,2014_2015,851,Ｖ・チャレンジリーグ女子 2014/15   レギュラーラウンド,11/15/2014,-,上天草市大矢野総合体育館,923,0.541666667,0.597916667,0.05625,-,須藤　義宏,松永　美志,端田　直也,PFUブルーキャッツ石川かほく,仙台ベルフィーユ,3,0,25,14,0.015277778,25,19,0.018055556,25,16,0.01875,-,-,-,-,-,-,PFUブルーキャッツ石川かほく,3,-,栗田 琴恵,0,-,-,-,-,-,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
Women,2014_2015,851,Ｖ・チャレンジリーグ女子 2014/15   レギュラーラウンド,11/15/2014,-,上天草市大矢野総合体育館,923,0.541666667,0.597916667,0.05625,-,須藤　義宏,松永　美志,端田　直也,PFUブルーキャッツ石川かほく,仙台ベルフィーユ,3,0,25,14,0.015277778,25,19,0.018055556,25,16,0.01875,-,-,-,-,-,-,PFUブルーキャッツ石川かほく,5,-,札場 多恵,0,-,-,-,-,-,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
Women,2014_2015,851,Ｖ・チャレンジリーグ女子 2014/15   レギュラーラウンド,11/15/2014,-,上天草市大矢野総合体育館,923,0.541666667,0.597916667,0.05625,-,須藤　義宏,松永　美志,端田　直也,PFUブルーキャッツ石川かほく,仙台ベルフィーユ,3,0,25,14,0.015277778,25,19,0.018055556,25,16,0.01875,-,-,-,-,-,-,PFUブルーキャッツ石川かほく,6,-,佐々木 夏希,3,□,□,□,-,-,0,0,0,-,-,0,0,0,-,0,-,7,0,0,3,10.7,0,0,0,-
Women,2014_2015,851,Ｖ・チャレンジリーグ女子 2014/15   レギュラーラウンド,11/15/2014,-,上天草市大矢野総合体育館,923,0.541666667,0.597916667,0.05625,-,須藤　義宏,松永　美志,端田　直也,PFUブルーキャッツ石川かほく,仙台ベルフィーユ,3,0,25,14,0.015277778,25,19,0.018055556,25,16,0.01875,-,-,-,-,-,-,PFUブルーキャッツ石川かほく,7,-,彌永 衣利,3,■,■,■,-,-,22,9,0,40.9,3,0,0,0,-,1,0.33,10,0,1,5,12.5,13,5,0,38.5
Women,2014_2015,851,Ｖ・チャレンジリーグ女子 2014/15   レギュラーラウンド,11/15/2014,-,上天草市大矢野総合体育館,923,0.541666667,0.597916667,0.05625,-,須藤　義宏,松永　美志,端田　直也,PFUブルーキャッツ石川かほく,仙台ベルフィーユ,3,0,25,14,0.015277778,25,19,0.018055556,25,16,0.01875,-,-,-,-,-,-,PFUブルーキャッツ石川かほく,8,-,三橋 聡恵,3,■,■,■,-,-,21,4,2,19,1.33,0,0,0,-,2,0.67,10,1,0,3,17.5,15,8,0,53.3
Women,2014_2015,851,Ｖ・チャレンジリーグ女子 2014/15   レギュラーラウンド,11/15/2014,-,上天草市大矢野総合体育館,923,0.541666667,0.597916667,0.05625,-,須藤　義宏,松永　美志,端田　直也,PFUブルーキャッツ石川かほく,仙台ベルフィーユ,3,0,25,14,0.015277778,25,19,0.018055556,25,16,0.01875,-,-,-,-,-,-,PFUブルーキャッツ石川かほく,9,-,松浦 寛子,3,■,■,■,-,-,4,3,0,75,1,0,0,0,-,3,1,18,1,1,6,12.8,0,0,0,-
Women,2014_2015,851,Ｖ・チャレンジリーグ女子 2014/15   レギュラーラウンド,11/15/2014,-,上天草市大矢野総合体育館,923,0.541666667,0.597916667,0.05625,-,須藤　義宏,松永　美志,端田　直也,PFUブルーキャッツ石川かほく,仙台ベルフィーユ,3,0,25,14,0.015277778,25,19,0.018055556,25,16,0.01875,-,-,-,-,-,-,PFUブルーキャッツ石川かほく,10,-,坂下 麻衣子(C),1,-,-,□,-,-,3,2,0,66.7,2,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
Women,2014_2015,851,Ｖ・チャレンジリーグ女子 2014/15   レギュラーラウンド,11/15/2014,-,上天草市大矢野総合体育館,923,0.541666667,0.597916667,0.05625,-,須藤　義宏,松永　美志,端田　直也,PFUブルーキャッツ石川かほく,仙台ベルフィーユ,3,0,25,14,0.015277778,25,19,0.018055556,25,16,0.01875,-,-,-,-,-,-,PFUブルーキャッツ石川かほく,11,-,矢野 美子,3,■,■,■,-,-,10,4,0,40,1.33,0,0,0,-,4,1.33,7,1,1,4,28.6,1,1,0,100
