M/W,Season,Match_No,League,開催日,開催地,会場,入場者数,開始時刻,終了時刻,試合時間,JURY,1stﾚﾌｪﾘｰ,2ndﾚﾌｪﾘｰ,判定員,Team1,Team2,セット:得,セット:失,セット1:得点,セット1:失点,セット1:時間,セット2:得点,セット2:失点,セット2:時間,セット3:得点,セット3:失点,セット3:時間,セット4:得点,セット4:失点,セット4:時間,セット5:得点,セット5:失点,セット5:時間,Team,アタック_打数,アタック_得点,アタック_失点,アタック_決定率,アタック_セット平均,アタック(内バックアタック)_打数,アタック(内バックアタック)_得点,アタック(内バックアタック)_失点,アタック(内バックアタック)_決定率,ブロック_得点,ブロック_セット平均,サーブ_打数,サーブ_得点,サーブ_失点,サーブ_効果,サーブ_効果率,サーブレシーブ_受数,サーブレシーブ_成功・優,サーブレシーブ_成功・良,サーブレシーブ_成功率
Women,2014_2015,851,Ｖ・チャレンジリーグ女子 2014/15   レギュラーラウンド,11/15/2014,-,上天草市大矢野総合体育館,923,0.541666667,0.597916667,0.05625,-,須藤　義宏,松永　美志,端田　直也,PFUブルーキャッツ石川かほく,仙台ベルフィーユ,3,0,25,14,0.015277778,25,19,0.018055556,25,16,0.01875,-,-,-,-,-,-,PFUブルーキャッツ石川かほく,122,44,4,36.1,14.67,8,1,0,12.5,15,5,73,3,3,31,14.5,45,24,0,53.3
Women,2014_2015,851,Ｖ・チャレンジリーグ女子 2014/15   レギュラーラウンド,11/15/2014,-,上天草市大矢野総合体育館,923,0.541666667,0.597916667,0.05625,-,須藤　義宏,松永　美志,端田　直也,PFUブルーキャッツ石川かほく,仙台ベルフィーユ,0,3,14,25,0.015277778,19,25,0.018055556,16,25,0.01875,-,-,-,-,-,-,仙台ベルフィーユ,144,38,4,26.4,12.67,1,0,0,0,0,0,51,3,6,18,13.5,68,36,0,52.9
Women,2014_2015,852,Ｖ・チャレンジリーグ女子 2014/15   レギュラーラウンド,11/15/2014,-,上天草市大矢野総合体育館,1135,0.625,0.673611111,0.048611111,-,前川　清隆,木内　誠二,鳥井　昭宏,フォレストリーヴズ熊本,JTマーヴェラス,0,3,9,25,0.015972222,9,25,0.0125,18,25,0.015972222,-,-,-,-,-,-,フォレストリーヴズ熊本,85,22,10,25.9,7.33,7,2,1,28.6,4,1.33,37,0,3,11,7.4,66,32,0,48.5
Women,2014_2015,852,Ｖ・チャレンジリーグ女子 2014/15   レギュラーラウンド,11/15/2014,-,上天草市大矢野総合体育館,1135,0.625,0.673611111,0.048611111,-,前川　清隆,木内　誠二,鳥井　昭宏,フォレストリーヴズ熊本,JTマーヴェラス,3,0,25,9,0.015972222,25,9,0.0125,25,18,0.015972222,-,-,-,-,-,-,JTマーヴェラス,98,47,5,48,15.67,7,2,1,28.6,8,2.67,74,5,5,30,15.8,34,23,0,67.6
Women,2014_2015,853,Ｖ・チャレンジリーグ女子 2014/15   レギュラーラウンド,11/16/2014,-,宇城市松橋総合体育文化センター,867,0.5,0.579166667,0.079166667,-,須藤　義宏,松永　美志,端田　直也,GSS東京サンビームズ,トヨタ自動車ヴァルキューレ,3,1,25,19,0.01875,17,25,0.016666667,25,20,0.019444444,25,21,0.018055556,-,-,-,GSS東京サンビームズ,180,66,10,36.7,16.5,11,4,1,36.4,3,0.75,91,3,7,26,10.2,80,48,0,60
Women,2014_2015,853,Ｖ・チャレンジリーグ女子 2014/15   レギュラーラウンド,11/16/2014,-,宇城市松橋総合体育文化センター,867,0.5,0.579166667,0.079166667,-,須藤　義宏,松永　美志,端田　直也,GSS東京サンビームズ,トヨタ自動車ヴァルキューレ,1,3,19,25,0.01875,25,17,0.016666667,20,25,0.019444444,21,25,0.018055556,-,-,-,トヨタ自動車ヴァルキューレ,174,56,11,32.2,14,5,2,2,40,7,1.75,86,2,5,31,11.1,82,55,0,67.1
Women,2014_2015,854,Ｖ・チャレンジリーグ女子 2014/15   レギュラーラウンド,11/16/2014,-,宇城市松橋総合体育文化センター,1281,0.604166667,0.661111111,0.056944444,-,木内　誠二,前川　清隆,鳥井　昭宏,仙台ベルフィーユ,フォレストリーヴズ熊本,3,0,25,17,0.015277778,25,20,0.01875,25,23,0.01875,-,-,-,-,-,-,仙台ベルフィーユ,114,51,3,44.7,17,3,0,0,0,8,2.67,73,0,2,25,8.6,56,27,0,48.2
Women,2014_2015,854,Ｖ・チャレンジリーグ女子 2014/15   レギュラーラウンド,11/16/2014,-,宇城市松橋総合体育文化センター,1281,0.604166667,0.661111111,0.056944444,-,木内　誠二,前川　清隆,鳥井　昭宏,仙台ベルフィーユ,フォレストリーヴズ熊本,0,3,17,25,0.015277778,20,25,0.01875,23,25,0.01875,-,-,-,-,-,-,フォレストリーヴズ熊本,138,46,10,33.3,15.33,1,0,0,0,3,1,62,2,5,27,13.5,71,46,0,64.8
Women,2014_2015,855,Ｖ・チャレンジリーグ女子 2014/15   レギュラーラウンド,11/22/2014,-,柏市中央体育館,300,0.541666667,0.627083333,0.085416667,-,伊藤　薫,関　秀彰,長嶋　健二,JAぎふリオレーナ,大野石油広島オイラーズ,1,3,23,25,0.020833333,21,25,0.020833333,25,18,0.016666667,21,25,0.020833333,-,-,-,JAぎふリオレーナ,185,71,3,38.4,17.75,7,2,1,28.6,2,0.5,91,0,4,28,7.7,88,56,0,63.6
Women,2014_2015,855,Ｖ・チャレンジリーグ女子 2014/15   レギュラーラウンド,11/22/2014,-,柏市中央体育館,300,0.541666667,0.627083333,0.085416667,-,伊藤　薫,関　秀彰,長嶋　健二,JAぎふリオレーナ,大野石油広島オイラーズ,3,1,25,23,0.020833333,25,21,0.020833333,18,25,0.016666667,25,21,0.020833333,-,-,-,大野石油広島オイラーズ,178,69,8,38.8,17.25,2,1,0,50,10,2.5,92,5,3,28,12.2,87,59,0,67.8
Women,2014_2015,856,Ｖ・チャレンジリーグ女子 2014/15   レギュラーラウンド,11/22/2014,-,柏市中央体育館,450,0.650694444,0.714583333,0.063888889,-,紙井　ひとみ,中西　幸治,長嶋　健二,柏エンゼルクロス,KUROBEアクアフェアリーズ,0,3,23,25,0.01875,22,25,0.020138889,24,26,0.020833333,-,-,-,-,-,-,柏エンゼルクロス,143,50,8,35,16.67,7,3,1,42.9,2,0.67,70,2,6,17,8.4,70,49,0,70
Women,2014_2015,856,Ｖ・チャレンジリーグ女子 2014/15   レギュラーラウンド,11/22/2014,-,柏市中央体育館,450,0.650694444,0.714583333,0.063888889,-,紙井　ひとみ,中西　幸治,長嶋　健二,柏エンゼルクロス,KUROBEアクアフェアリーズ,3,0,25,23,0.01875,25,22,0.020138889,26,24,0.020833333,-,-,-,-,-,-,KUROBEアクアフェアリーズ,130,53,7,40.8,17.67,4,0,0,0,7,2.33,75,1,5,20,7.7,64,45,0,70.3
Women,2014_2015,857,Ｖ・チャレンジリーグ女子 2014/15   レギュラーラウンド,11/23/2014,-,柏市中央体育館,400,0.5,0.585416667,0.085416667,-,伊藤　薫,関　秀彰,緑川　靖,KUROBEアクアフェアリーズ,JAぎふリオレーナ,3,1,15,25,0.018055556,27,25,0.022222222,25,19,0.020138889,25,21,0.01875,-,-,-,KUROBEアクアフェアリーズ,190,58,16,30.5,14.5,11,1,2,9.1,19,4.75,91,3,5,17,7.5,86,61,0,70.9
Women,2014_2015,857,Ｖ・チャレンジリーグ女子 2014/15   レギュラーラウンド,11/23/2014,-,柏市中央体育館,400,0.5,0.585416667,0.085416667,-,伊藤　薫,関　秀彰,緑川　靖,KUROBEアクアフェアリーズ,JAぎふリオレーナ,1,3,25,15,0.018055556,25,27,0.022222222,19,25,0.020138889,21,25,0.01875,-,-,-,JAぎふリオレーナ,189,61,7,32.3,15.25,7,2,0,28.6,4,1,91,2,5,23,8.1,85,66,0,77.6
