M/W,Season,Match_No,League,開催日,開催地,会場,入場者数,開始時刻,終了時刻,試合時間,JURY,1stﾚﾌｪﾘｰ,2ndﾚﾌｪﾘｰ,判定員,Team1,Team2,セット:得,セット:失,セット1:得点,セット1:失点,セット1:時間,セット2:得点,セット2:失点,セット2:時間,セット3:得点,セット3:失点,セット3:時間,セット4:得点,セット4:失点,セット4:時間,セット5:得点,セット5:失点,セット5:時間,Team,アタック_打数,アタック_得点,アタック_失点,アタック_決定率,アタック_セット平均,アタック(内バックアタック)_打数,アタック(内バックアタック)_得点,アタック(内バックアタック)_失点,アタック(内バックアタック)_決定率,ブロック_得点,ブロック_セット平均,サーブ_打数,サーブ_得点,サーブ_失点,サーブ_効果,サーブ_効果率,サーブレシーブ_受数,サーブレシーブ_成功・優,サーブレシーブ_成功・良,サーブレシーブ_成功率
Women,2021_2022,291,2021-22 V.LEAGUE DIVISION1 WOMEN   V・レギュラーラウンド,10/15/2021,滋賀県,ウカルちゃんアリーナ,767,0.760416667,0.844444444,0.084027778,大塚　達也,北村　友香,西山　尚幸,小口　広之進,東レアローズ,ヴィクトリーナ姫路,3,1,22,25,0.020833333,25,22,0.01875,26,24,0.020833333,25,21,0.017361111,-,-,-,東レアローズ,158,63,16,39.9,15.75,14,4,0,28.6,6,1.5,97,4,5,31,10.8,82,39,16,57.3
Women,2021_2022,291,2021-22 V.LEAGUE DIVISION1 WOMEN   V・レギュラーラウンド,10/15/2021,滋賀県,ウカルちゃんアリーナ,767,0.760416667,0.844444444,0.084027778,大塚　達也,北村　友香,西山　尚幸,小口　広之進,東レアローズ,ヴィクトリーナ姫路,1,3,25,22,0.020833333,22,25,0.01875,24,26,0.020833333,21,25,0.017361111,-,-,-,ヴィクトリーナ姫路,158,56,15,35.4,14,10,1,1,10,10,2.5,93,1,10,27,5.6,91,47,10,57.1
Women,2021_2022,292,2021-22 V.LEAGUE DIVISION1 WOMEN   V・レギュラーラウンド,10/16/2021,神奈川県,とどろきアリーナ,1218,0.541666667,0.598611111,0.056944444,勝又　正,増岡　三佳子,津嶋　由香,渡部　仁志,NECレッドロケッツ,ＫＵＲＯＢＥアクアフェアリーズ,3,0,25,15,0.015277778,25,19,0.017361111,25,12,0.015277778,-,-,-,-,-,-,NECレッドロケッツ,94,52,5,55.3,17.33,11,6,1,54.5,7,2.33,74,5,7,24,12.5,45,17,16,55.6
Women,2021_2022,292,2021-22 V.LEAGUE DIVISION1 WOMEN   V・レギュラーラウンド,10/16/2021,神奈川県,とどろきアリーナ,1218,0.541666667,0.598611111,0.056944444,勝又　正,増岡　三佳子,津嶋　由香,渡部　仁志,NECレッドロケッツ,ＫＵＲＯＢＥアクアフェアリーズ,0,3,15,25,0.015277778,19,25,0.017361111,12,25,0.015277778,-,-,-,-,-,-,ＫＵＲＯＢＥアクアフェアリーズ,100,30,8,30,10,5,2,1,40,2,0.67,47,0,2,12,5.3,65,15,23,40.8
Women,2021_2022,294,2021-22 V.LEAGUE DIVISION1 WOMEN   V・レギュラーラウンド,10/16/2021,愛知県,西尾市総合体育館,660,0.541666667,0.626388889,0.084722222,加治　健男,明井　寿枝,沢田　元,姫野　真行,デンソーエアリービーズ,PFUブルーキャッツ石川かほく,3,1,23,25,0.019444444,25,16,0.017361111,25,21,0.022222222,25,20,0.019444444,-,-,-,デンソーエアリービーズ,168,65,6,38.7,16.25,21,8,2,38.1,10,2.5,97,3,10,23,6.4,75,39,21,66
Women,2021_2022,294,2021-22 V.LEAGUE DIVISION1 WOMEN   V・レギュラーラウンド,10/16/2021,愛知県,西尾市総合体育館,660,0.541666667,0.626388889,0.084722222,加治　健男,明井　寿枝,沢田　元,姫野　真行,デンソーエアリービーズ,PFUブルーキャッツ石川かほく,1,3,25,23,0.019444444,16,25,0.017361111,21,25,0.022222222,20,25,0.019444444,-,-,-,PFUブルーキャッツ石川かほく,167,58,7,34.7,14.5,11,5,1,45.5,4,1,83,3,8,15,5.7,87,37,27,58
Women,2021_2022,295,2021-22 V.LEAGUE DIVISION1 WOMEN   V・レギュラーラウンド,10/16/2021,滋賀県,ウカルちゃんアリーナ,496,0.729166667,0.785416667,0.05625,大塚　達也,森口　豊,西山　尚幸,小口　広之進,東レアローズ,ヴィクトリーナ姫路,3,0,25,20,0.01875,25,17,0.017361111,25,18,0.015972222,-,-,-,-,-,-,東レアローズ,109,53,5,48.6,17.67,8,3,0,37.5,4,1.33,74,3,3,25,11.5,50,31,7,69
Women,2021_2022,295,2021-22 V.LEAGUE DIVISION1 WOMEN   V・レギュラーラウンド,10/16/2021,滋賀県,ウカルちゃんアリーナ,496,0.729166667,0.785416667,0.05625,大塚　達也,森口　豊,西山　尚幸,小口　広之進,東レアローズ,ヴィクトリーナ姫路,0,3,20,25,0.01875,17,25,0.017361111,18,25,0.015972222,-,-,-,-,-,-,ヴィクトリーナ姫路,117,43,10,36.8,14.33,8,3,1,37.5,2,0.67,56,2,5,11,6.2,71,34,9,54.2
Women,2021_2022,296,2021-22 V.LEAGUE DIVISION1 WOMEN   V・レギュラーラウンド,10/16/2021,岡山県,笠岡総合体育館,560,0.583333333,0.684722222,0.101388889,石井　洋壮,冨田　博一,本間　明,金谷　基代,岡山シーガルズ,埼玉上尾メディックス,2,3,30,28,0.022222222,24,26,0.023611111,25,23,0.021527778,13,25,0.015277778,11,15,0.010416667,岡山シーガルズ,211,64,10,30.3,12.8,1,0,1,0,5,1,103,3,1,29,9.7,101,71,11,75.7
Women,2021_2022,296,2021-22 V.LEAGUE DIVISION1 WOMEN   V・レギュラーラウンド,10/16/2021,岡山県,笠岡総合体育館,560,0.583333333,0.684722222,0.101388889,石井　洋壮,冨田　博一,本間　明,金谷　基代,岡山シーガルズ,埼玉上尾メディックス,3,2,28,30,0.022222222,26,24,0.023611111,23,25,0.021527778,25,13,0.015277778,15,11,0.010416667,埼玉上尾メディックス,224,88,11,39.3,17.6,9,2,1,22.2,11,2.2,117,2,15,19,2.6,101,53,20,62.4
