M/W,Season,Match_No,League,開催日,開催地,会場,入場者数,開始時刻,終了時刻,試合時間,JURY,1stﾚﾌｪﾘｰ,2ndﾚﾌｪﾘｰ,判定員,Team1,Team2,セット:得,セット:失,セット1:得点,セット1:失点,セット1:時間,セット2:得点,セット2:失点,セット2:時間,セット3:得点,セット3:失点,セット3:時間,セット4:得点,セット4:失点,セット4:時間,セット5:得点,セット5:失点,セット5:時間,Team,アタック_打数,アタック_得点,アタック_失点,アタック_決定率,アタック_セット平均,アタック(内バックアタック)_打数,アタック(内バックアタック)_得点,アタック(内バックアタック)_失点,アタック(内バックアタック)_決定率,ブロック_得点,ブロック_セット平均,サーブ_打数,サーブ_得点,サーブ_失点,サーブ_効果,サーブ_効果率,サーブレシーブ_受数,サーブレシーブ_成功・優,サーブレシーブ_成功・良,サーブレシーブ_成功率
Men,2021-2022,501,2021-22 V.LEAGUE DIVISION2 MEN   V・レギュラーラウンド,10/30/2021,北海道,道北アークス大雪アリーナ,275,0.4375,0.49375,0.05625,印藤　智一,大塚　健之,藤井　靖香,大友　大輔,警視庁フォートファイターズ,千葉ZELVA,3,0,25,17,0.013888889,25,20,0.018055556,25,17,0.020138889,-,-,-,-,-,-,警視庁フォートファイターズ,98,42,9,42.9,14,10,2,2,20,8,2.67,74,4,5,12,7.8,45,25,14,71.1
Men,2021-2022,501,2021-22 V.LEAGUE DIVISION2 MEN   V・レギュラーラウンド,10/30/2021,北海道,道北アークス大雪アリーナ,275,0.4375,0.49375,0.05625,印藤　智一,大塚　健之,藤井　靖香,大友　大輔,警視庁フォートファイターズ,千葉ZELVA,0,3,17,25,0.013888889,20,25,0.018055556,17,25,0.020138889,-,-,-,-,-,-,千葉ZELVA,102,33,7,32.4,11,14,2,2,14.3,4,1.33,55,1,10,5,-0.5,67,30,23,61.9
Men,2021-2022,503,2021-22 V.LEAGUE DIVISION2 MEN   V・レギュラーラウンド,10/30/2021,北海道,苫小牧市総合体育館,198,0.541666667,0.589583333,0.047916667,大江　憲一,坂本　雅春,小澤　敦,黒澤　研一,トヨタ自動車サンホークス,奈良ドリーマーズ,3,0,25,12,0.011111111,25,23,0.017361111,25,21,0.015277778,-,-,-,-,-,-,トヨタ自動車サンホークス,81,37,11,45.7,12.33,9,6,2,66.7,11,3.67,74,3,8,20,8.1,46,12,14,41.3
Men,2021-2022,503,2021-22 V.LEAGUE DIVISION2 MEN   V・レギュラーラウンド,10/30/2021,北海道,苫小牧市総合体育館,198,0.541666667,0.589583333,0.047916667,大江　憲一,坂本　雅春,小澤　敦,黒澤　研一,トヨタ自動車サンホークス,奈良ドリーマーズ,0,3,12,25,0.011111111,23,25,0.017361111,21,25,0.015277778,-,-,-,-,-,-,奈良ドリーマーズ,91,26,11,28.6,8.67,11,3,3,27.3,6,2,57,2,11,18,6.6,64,24,20,53.1
Men,2021-2022,504,2021-22 V.LEAGUE DIVISION2 MEN   V・レギュラーラウンド,10/30/2021,北海道,苫小牧市総合体育館,360,0.666666667,0.729861111,0.063194444,大江　憲一,川島　秀夫,小瀧　健二,本保　敦理,サフィルヴァ北海道,ヴィアティン三重,0,3,19,25,0.015972222,21,25,0.01875,21,25,0.019444444,-,-,-,-,-,-,サフィルヴァ北海道,66,27,8,40.9,9,8,2,2,25,4,1.33,56,0,11,9,-0.9,49,21,16,59.2
Men,2021-2022,504,2021-22 V.LEAGUE DIVISION2 MEN   V・レギュラーラウンド,10/30/2021,北海道,苫小牧市総合体育館,360,0.666666667,0.729861111,0.063194444,大江　憲一,川島　秀夫,小瀧　健二,本保　敦理,サフィルヴァ北海道,ヴィアティン三重,3,0,25,19,0.015972222,25,21,0.01875,25,21,0.019444444,-,-,-,-,-,-,ヴィアティン三重,80,38,10,47.5,12.67,13,6,1,46.2,7,2.33,73,2,9,16,5.1,50,20,19,59
Men,2021-2022,505,2021-22 V.LEAGUE DIVISION2 MEN   V・レギュラーラウンド,10/31/2021,北海道,道北アークス大雪アリーナ,300,0.4375,0.519444444,0.081944444,印藤　智一,大塚　健之,笹木　宣拓,三船　　誠,埼玉アザレア,千葉ZELVA,3,1,25,23,0.018055556,25,20,0.016666667,21,25,0.022222222,25,22,0.01875,-,-,-,埼玉アザレア,132,67,7,50.8,16.75,14,5,3,35.7,8,2,95,3,6,14,5.3,82,56,19,79.9
Men,2021-2022,505,2021-22 V.LEAGUE DIVISION2 MEN   V・レギュラーラウンド,10/31/2021,北海道,道北アークス大雪アリーナ,300,0.4375,0.519444444,0.081944444,印藤　智一,大塚　健之,笹木　宣拓,三船　　誠,埼玉アザレア,千葉ZELVA,1,3,23,25,0.018055556,20,25,0.016666667,25,21,0.022222222,22,25,0.01875,-,-,-,千葉ZELVA,139,69,8,49.6,17.25,22,12,1,54.5,6,1.5,91,0,9,7,-0.5,89,37,35,61.2
Men,2021-2022,507,2021-22 V.LEAGUE DIVISION2 MEN   V・レギュラーラウンド,10/31/2021,北海道,苫小牧市総合体育館,271,0.416666667,0.500694444,0.084027778,大江　憲一,坂本　雅春,小瀧　健二,今田　萌那,ヴィアティン三重,トヨタ自動車サンホークス,3,2,25,22,0.016666667,21,25,0.015972222,25,16,0.015972222,18,25,0.014583333,16,14,0.0125,ヴィアティン三重,127,64,8,50.4,12.8,22,9,3,40.9,9,1.8,105,4,11,14,4.5,84,48,18,67.9
Men,2021-2022,507,2021-22 V.LEAGUE DIVISION2 MEN   V・レギュラーラウンド,10/31/2021,北海道,苫小牧市総合体育館,271,0.416666667,0.500694444,0.084027778,大江　憲一,坂本　雅春,小瀧　健二,今田　萌那,ヴィアティン三重,トヨタ自動車サンホークス,2,3,22,25,0.016666667,25,21,0.015972222,16,25,0.015972222,25,18,0.014583333,14,16,0.0125,トヨタ自動車サンホークス,136,69,10,50.7,13.8,19,10,2,52.6,9,1.8,102,5,15,16,5.1,92,57,19,72.3
