M/W,Season,Match_No,League,開催日,開催地,会場,入場者数,開始時刻,終了時刻,試合時間,JURY,1stﾚﾌｪﾘｰ,2ndﾚﾌｪﾘｰ,判定員,Team1,Team2,セット:得,セット:失,セット1:得点,セット1:失点,セット1:時間,セット2:得点,セット2:失点,セット2:時間,セット3:得点,セット3:失点,セット3:時間,セット4:得点,セット4:失点,セット4:時間,セット5:得点,セット5:失点,セット5:時間,Team,アタック_打数,アタック_得点,アタック_失点,アタック_決定率,アタック_セット平均,アタック(内バックアタック)_打数,アタック(内バックアタック)_得点,アタック(内バックアタック)_失点,アタック(内バックアタック)_決定率,ブロック_得点,ブロック_セット平均,サーブ_打数,サーブ_得点,サーブ_失点,サーブ_効果,サーブ_効果率,サーブレシーブ_受数,サーブレシーブ_成功・優,サーブレシーブ_成功・良,サーブレシーブ_成功率
Women,2019_2020,301,2018-19 V.LEAGUE DIVISION1 WOMEN   Eastern Conference,11/3/2018,-,駒沢オリンピック公園総合運動場体育館,3100,0.510416667,0.576388889,0.065972222,富田　満,北村　友香,種元　桂子,塚本　健二,デンソーエアリービーズ,NECレッドロケッツ,0,3,18,25,0.016666667,25,27,0.024305556,19,25,0.019444444,-,-,-,-,-,-,デンソーエアリービーズ,129,34,10,26.4,11.33,8,0,2,0,10,3.33,64,5,7,31,17.2,66,18,21,43.2
Women,2019_2020,301,2018-19 V.LEAGUE DIVISION1 WOMEN   Eastern Conference,11/3/2018,-,駒沢オリンピック公園総合運動場体育館,3100,0.510416667,0.576388889,0.065972222,富田　満,北村　友香,種元　桂子,塚本　健二,デンソーエアリービーズ,NECレッドロケッツ,3,0,25,18,0.016666667,27,25,0.024305556,25,19,0.019444444,-,-,-,-,-,-,NECレッドロケッツ,119,39,6,32.8,13,14,2,2,14.3,12,4,75,6,7,27,14.7,55,12,12,32.7
Women,2019_2020,303,2018-19 V.LEAGUE DIVISION1 WOMEN   Eastern Conference,11/3/2018,-,ナイスアリーナ（由利本荘アリーナ）,1200,0.5,0.579861111,0.079861111,遠藤　健三,澤　達大,正岡　卓,金田　成,埼玉上尾メディックス,KUROBEアクアフェアリーズ,3,1,23,25,0.022222222,25,14,0.018055556,25,19,0.016666667,25,16,0.016666667,-,-,-,埼玉上尾メディックス,163,69,4,42.3,17.25,23,5,1,21.7,8,2,97,3,8,24,7.2,73,35,15,58.2
Women,2019_2020,303,2018-19 V.LEAGUE DIVISION1 WOMEN   Eastern Conference,11/3/2018,-,ナイスアリーナ（由利本荘アリーナ）,1200,0.5,0.579861111,0.079861111,遠藤　健三,澤　達大,正岡　卓,金田　成,埼玉上尾メディックス,KUROBEアクアフェアリーズ,1,3,25,23,0.022222222,14,25,0.018055556,19,25,0.016666667,16,25,0.016666667,-,-,-,KUROBEアクアフェアリーズ,177,55,12,31.1,13.75,8,2,1,25,4,1,75,2,2,21,9,87,48,14,63.2
Women,2019_2020,304,2018-19 V.LEAGUE DIVISION1 WOMEN   Eastern Conference,11/3/2018,-,ナイスアリーナ（由利本荘アリーナ）,1600,0.625,0.724305556,0.099305556,遠藤　健三,高橋　宏明,渡部　菜保子,金田　成,日立リヴァーレ,PFUブルーキャッツ石川かほく,3,2,23,25,0.020833333,25,15,0.015972222,20,25,0.018055556,25,22,0.018055556,15,11,0.013194444,日立リヴァーレ,192,64,8,33.3,12.8,21,6,0,28.6,15,3,107,3,7,24,6.8,91,44,19,58.8
Women,2019_2020,304,2018-19 V.LEAGUE DIVISION1 WOMEN   Eastern Conference,11/3/2018,-,ナイスアリーナ（由利本荘アリーナ）,1600,0.625,0.724305556,0.099305556,遠藤　健三,高橋　宏明,渡部　菜保子,金田　成,日立リヴァーレ,PFUブルーキャッツ石川かほく,2,3,25,23,0.020833333,15,25,0.015972222,25,20,0.018055556,22,25,0.018055556,11,15,0.013194444,PFUブルーキャッツ石川かほく,191,65,9,34,13,20,3,3,15,9,1.8,99,3,6,26,8.1,97,52,20,63.9
Women,2019_2020,306,2018-19 V.LEAGUE DIVISION1 WOMEN   Eastern Conference,11/4/2018,-,ナイスアリーナ（由利本荘アリーナ）,1800,0.5,0.55625,0.05625,遠藤　健三,澤　達大,正岡　卓,金田　成,埼玉上尾メディックス,PFUブルーキャッツ石川かほく,3,0,25,15,0.015972222,25,19,0.015972222,26,24,0.020138889,-,-,-,-,-,-,埼玉上尾メディックス,117,43,6,36.8,14.33,14,4,2,28.6,8,2.67,74,8,8,26,16.9,53,31,11,68.9
Women,2019_2020,306,2018-19 V.LEAGUE DIVISION1 WOMEN   Eastern Conference,11/4/2018,-,ナイスアリーナ（由利本荘アリーナ）,1800,0.5,0.55625,0.05625,遠藤　健三,澤　達大,正岡　卓,金田　成,埼玉上尾メディックス,PFUブルーキャッツ石川かほく,0,3,15,25,0.015972222,19,25,0.015972222,24,26,0.020138889,-,-,-,-,-,-,PFUブルーキャッツ石川かほく,107,34,5,31.8,11.33,10,1,3,10,6,2,60,2,7,9,4.2,63,27,5,46.8
Women,2019_2020,307,2018-19 V.LEAGUE DIVISION1 WOMEN   Eastern Conference,11/4/2018,-,ナイスアリーナ（由利本荘アリーナ）,2100,0.625,0.723611111,0.098611111,遠藤　健三,渡部　菜保子,高橋　宏明,金田　成,日立リヴァーレ,KUROBEアクアフェアリーズ,3,2,22,25,0.01875,18,25,0.015972222,25,23,0.01875,25,23,0.018055556,15,10,0.013888889,日立リヴァーレ,204,72,9,35.3,14.4,15,6,0,40,11,2.2,105,2,3,24,6.9,102,54,17,61.3
Women,2019_2020,307,2018-19 V.LEAGUE DIVISION1 WOMEN   Eastern Conference,11/4/2018,-,ナイスアリーナ（由利本荘アリーナ）,2100,0.625,0.723611111,0.098611111,遠藤　健三,渡部　菜保子,高橋　宏明,金田　成,日立リヴァーレ,KUROBEアクアフェアリーズ,2,3,25,22,0.01875,25,18,0.015972222,23,25,0.01875,23,25,0.018055556,10,15,0.013888889,KUROBEアクアフェアリーズ,195,74,11,37.9,14.8,5,1,0,20,10,2,106,2,3,30,8.3,101,59,17,66.8
