M/W,Season,Match_No,League,開催日,開催地,会場,入場者数,開始時刻,終了時刻,試合時間,JURY,1stﾚﾌｪﾘｰ,2ndﾚﾌｪﾘｰ,判定員,Team1,Team2,セット:得,セット:失,セット1:得点,セット1:失点,セット1:時間,セット2:得点,セット2:失点,セット2:時間,セット3:得点,セット3:失点,セット3:時間,セット4:得点,セット4:失点,セット4:時間,セット5:得点,セット5:失点,セット5:時間,Team,N,L,Name,出場セット,出場セット1,出場セット2,出場セット3,出場セット4,出場セット5,アタック_打数,アタック_得点,アタック_失点,アタック_決定率,アタック_セット平均,アタック(内バックアタック)_打数,アタック(内バックアタック)_得点,アタック(内バックアタック)_失点,アタック(内バックアタック)_決定率,ブロック_得点,ブロック_セット平均,サーブ_打数,サーブ_得点,サーブ_失点,サーブ_効果,サーブ_効果率,サーブレシーブ_受数,サーブレシーブ_成功・優,サーブレシーブ_成功・良,サーブレシーブ_成功率
Women,2001_2002,573,第8回Vリーグ女子   ファイナルラウンド,3/8/2002,-,大阪市中央体育館,2600,0.670833333,0.723611111,0.052777778,-,田野　敏彦,印籐　智一,中村　光男,NECレッドロケッツ,東レアローズ,3,0,25,22,0.015277778,25,17,0.016666667,25,22,0.016666667,-,-,-,-,-,-,NECレッドロケッツ,22,-,河村 めぐみ,2,□,-,□,-,-,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
Women,2001_2002,573,第8回Vリーグ女子   ファイナルラウンド,3/8/2002,-,大阪市中央体育館,2600,0.670833333,0.723611111,0.052777778,-,田野　敏彦,印籐　智一,中村　光男,NECレッドロケッツ,東レアローズ,0,3,22,25,0.015277778,17,25,0.016666667,22,25,0.016666667,-,-,-,-,-,-,東レアローズ,1,-,熊前 知加子,3,■,■,■,-,-,27,7,5,25.9,2.33,1,0,0,0,2,0.67,9,0,1,3,8.3,9,6,0,66.7
Women,2001_2002,573,第8回Vリーグ女子   ファイナルラウンド,3/8/2002,-,大阪市中央体育館,2600,0.670833333,0.723611111,0.052777778,-,田野　敏彦,印籐　智一,中村　光男,NECレッドロケッツ,東レアローズ,0,3,22,25,0.015277778,17,25,0.016666667,22,25,0.016666667,-,-,-,-,-,-,東レアローズ,2,-,木村 久美(C),3,■,■,■,-,-,24,9,0,37.5,3,0,0,0,-,3,1,11,0,0,4,9.1,32,22,0,68.8
Women,2001_2002,573,第8回Vリーグ女子   ファイナルラウンド,3/8/2002,-,大阪市中央体育館,2600,0.670833333,0.723611111,0.052777778,-,田野　敏彦,印籐　智一,中村　光男,NECレッドロケッツ,東レアローズ,0,3,22,25,0.015277778,17,25,0.016666667,22,25,0.016666667,-,-,-,-,-,-,東レアローズ,3,-,苧坂 一美,3,■,■,■,-,-,17,8,1,47.1,2.67,0,0,0,-,2,0.67,5,0,1,1,5,0,0,0,-
Women,2001_2002,573,第8回Vリーグ女子   ファイナルラウンド,3/8/2002,-,大阪市中央体育館,2600,0.670833333,0.723611111,0.052777778,-,田野　敏彦,印籐　智一,中村　光男,NECレッドロケッツ,東レアローズ,0,3,22,25,0.015277778,17,25,0.016666667,22,25,0.016666667,-,-,-,-,-,-,東レアローズ,4,-,小玉 佐知子,3,■,■,■,-,-,0,0,0,-,-,0,0,0,-,0,-,12,1,1,1,8.8,0,0,0,-
Women,2001_2002,573,第8回Vリーグ女子   ファイナルラウンド,3/8/2002,-,大阪市中央体育館,2600,0.670833333,0.723611111,0.052777778,-,田野　敏彦,印籐　智一,中村　光男,NECレッドロケッツ,東レアローズ,0,3,22,25,0.015277778,17,25,0.016666667,22,25,0.016666667,-,-,-,-,-,-,東レアローズ,6,-,向井 久子,3,■,■,■,-,-,35,10,2,28.6,3.33,0,0,0,-,0,-,12,0,1,4,8.3,9,5,0,55.6
Women,2001_2002,573,第8回Vリーグ女子   ファイナルラウンド,3/8/2002,-,大阪市中央体育館,2600,0.670833333,0.723611111,0.052777778,-,田野　敏彦,印籐　智一,中村　光男,NECレッドロケッツ,東レアローズ,0,3,22,25,0.015277778,17,25,0.016666667,22,25,0.016666667,-,-,-,-,-,-,東レアローズ,7,-,上田 かおり,1,-,□,-,-,-,2,1,0,50,1,0,0,0,-,0,-,1,0,0,0,0,0,0,0,-
Women,2001_2002,573,第8回Vリーグ女子   ファイナルラウンド,3/8/2002,-,大阪市中央体育館,2600,0.670833333,0.723611111,0.052777778,-,田野　敏彦,印籐　智一,中村　光男,NECレッドロケッツ,東レアローズ,0,3,22,25,0.015277778,17,25,0.016666667,22,25,0.016666667,-,-,-,-,-,-,東レアローズ,10,L,佐野 優子,3,●,●,●,-,-,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,15,13,0,86.7
Women,2001_2002,573,第8回Vリーグ女子   ファイナルラウンド,3/8/2002,-,大阪市中央体育館,2600,0.670833333,0.723611111,0.052777778,-,田野　敏彦,印籐　智一,中村　光男,NECレッドロケッツ,東レアローズ,0,3,22,25,0.015277778,17,25,0.016666667,22,25,0.016666667,-,-,-,-,-,-,東レアローズ,12,-,池田 幸子,1,□,-,-,-,-,0,0,0,-,-,0,0,0,-,0,-,1,0,0,1,25,0,0,0,-
Women,2001_2002,573,第8回Vリーグ女子   ファイナルラウンド,3/8/2002,-,大阪市中央体育館,2600,0.670833333,0.723611111,0.052777778,-,田野　敏彦,印籐　智一,中村　光男,NECレッドロケッツ,東レアローズ,0,3,22,25,0.015277778,17,25,0.016666667,22,25,0.016666667,-,-,-,-,-,-,東レアローズ,13,-,五十川 葉子,0,-,-,-,-,-,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
