M/W,Season,Match_No,League,開催日,開催地,会場,入場者数,開始時刻,終了時刻,試合時間,JURY,1stﾚﾌｪﾘｰ,2ndﾚﾌｪﾘｰ,判定員,Team1,Team2,セット:得,セット:失,セット1:得点,セット1:失点,セット1:時間,セット2:得点,セット2:失点,セット2:時間,セット3:得点,セット3:失点,セット3:時間,セット4:得点,セット4:失点,セット4:時間,セット5:得点,セット5:失点,セット5:時間,Team,アタック_打数,アタック_得点,アタック_失点,アタック_決定率,アタック_セット平均,アタック(内バックアタック)_打数,アタック(内バックアタック)_得点,アタック(内バックアタック)_失点,アタック(内バックアタック)_決定率,ブロック_得点,ブロック_セット平均,サーブ_打数,サーブ_得点,サーブ_失点,サーブ_効果,サーブ_効果率,サーブレシーブ_受数,サーブレシーブ_成功・優,サーブレシーブ_成功・良,サーブレシーブ_成功率
Men,2020_2021,283,2020-21 V.LEAGUE DIVISION1 MEN   ファイナル,4/4/2021,千葉県,船橋アリーナ,1700,0.674305556,0.733333333,0.059027778,小柴　滋/利根川　忠史,村中　伸,江下　毅,藤崎　英珠芳,サントリーサンバーズ,パナソニックパンサーズ,3,0,25,21,0.017361111,25,23,0.01875,25,20,0.01875,-,-,-,-,-,-,サントリーサンバーズ,78,48,0,61.5,16,34,25,0,73.5,8,2.67,74,2,18,18,2.7,54,31,8,64.8
Men,2020_2021,283,2020-21 V.LEAGUE DIVISION1 MEN   ファイナル,4/4/2021,千葉県,船橋アリーナ,1700,0.674305556,0.733333333,0.059027778,小柴　滋/利根川　忠史,村中　伸,江下　毅,藤崎　英珠芳,サントリーサンバーズ,パナソニックパンサーズ,0,3,21,25,0.017361111,23,25,0.01875,20,25,0.01875,-,-,-,-,-,-,パナソニックパンサーズ,67,33,6,49.3,11,16,7,3,43.8,6,2,65,4,10,15,8.1,55,27,10,58.2
Men,2020_2021,101,2020-21 V.LEAGUE DIVISION1 MEN   レギュラーラウンド,10/17/2020,大阪府,日本製鉄堺体育館,300,0.541666667,0.638194444,0.096527778,田野　昭彦,高橋　宏明,中西　幸治,和佐田　信行,堺ブレイザーズ,VC長野トライデンツ,3,1,26,24,0.020833333,25,19,0.022222222,23,25,0.022222222,25,20,0.020138889,-,-,-,堺ブレイザーズ,123,55,10,44.7,13.75,31,10,6,32.3,10,2.5,98,4,15,31,8.2,72,28,31,60.4
Men,2020_2021,101,2020-21 V.LEAGUE DIVISION1 MEN   レギュラーラウンド,10/17/2020,大阪府,日本製鉄堺体育館,300,0.541666667,0.638194444,0.096527778,田野　昭彦,高橋　宏明,中西　幸治,和佐田　信行,堺ブレイザーズ,VC長野トライデンツ,1,3,24,26,0.020833333,19,25,0.022222222,25,23,0.022222222,20,25,0.020138889,-,-,-,VC長野トライデンツ,135,53,11,39.3,13.25,35,17,5,48.6,6,1.5,89,1,17,12,-0.3,81,27,20,45.7
Men,2020_2021,102,2020-21 V.LEAGUE DIVISION1 MEN   レギュラーラウンド,10/17/2020,大阪府,パナソニックアリーナ,702,0.583333333,0.663194444,0.079861111,伊藤　博之,澤　達大,千代延　靖夫,加藤　純司,パナソニックパンサーズ,FC東京,3,1,25,22,0.01875,25,19,0.017361111,25,27,0.01875,25,23,0.01875,-,-,-,パナソニックパンサーズ,108,58,5,53.7,14.5,15,7,2,46.7,10,2.5,99,6,8,23,9.8,74,39,12,60.8
Men,2020_2021,102,2020-21 V.LEAGUE DIVISION1 MEN   レギュラーラウンド,10/17/2020,大阪府,パナソニックアリーナ,702,0.583333333,0.663194444,0.079861111,伊藤　博之,澤　達大,千代延　靖夫,加藤　純司,パナソニックパンサーズ,FC東京,1,3,22,25,0.01875,19,25,0.017361111,27,25,0.01875,23,25,0.01875,-,-,-,FC東京,129,68,6,52.7,17,21,10,2,47.6,3,0.75,92,5,17,19,6,91,48,16,61.5
Men,2020_2021,103,2020-21 V.LEAGUE DIVISION1 MEN   レギュラーラウンド,10/17/2020,大阪府,第一総合運動場市民体育館（スカイアリーナ）,530,0.541666667,0.641666667,0.1,大塚　達也,中山　健,岡田　崇,平野　尚宣,サントリーサンバーズ,ウルフドッグス名古屋,3,1,25,19,0.019444444,32,34,0.028472222,25,21,0.019444444,25,21,0.021527778,-,-,-,サントリーサンバーズ,128,59,8,46.1,14.75,34,24,1,70.6,10,2.5,106,7,17,15,6.1,73,32,19,56.8
Men,2020_2021,103,2020-21 V.LEAGUE DIVISION1 MEN   レギュラーラウンド,10/17/2020,大阪府,第一総合運動場市民体育館（スカイアリーナ）,530,0.541666667,0.641666667,0.1,大塚　達也,中山　健,岡田　崇,平野　尚宣,サントリーサンバーズ,ウルフドッグス名古屋,1,3,19,25,0.019444444,34,32,0.028472222,21,25,0.019444444,21,25,0.021527778,-,-,-,ウルフドッグス名古屋,139,54,9,38.8,13.5,28,10,6,35.7,9,2.25,96,6,21,18,5.5,86,43,24,64
Men,2020_2021,104,2020-21 V.LEAGUE DIVISION1 MEN   レギュラーラウンド,10/17/2020,奈良県,ジェイテクトアリーナ奈良,715,0.583333333,0.6625,0.079166667,髙橋　憲太郎,山本　和良,沢田　元,的場　早紀,ジェイテクトSTINGS,東レアローズ,3,1,14,25,0.016666667,25,22,0.01875,26,24,0.020138889,25,19,0.017361111,-,-,-,ジェイテクトSTINGS,121,61,7,50.4,15.25,37,19,4,51.4,13,3.25,89,5,8,19,8.7,83,38,20,57.8
Men,2020_2021,104,2020-21 V.LEAGUE DIVISION1 MEN   レギュラーラウンド,10/17/2020,奈良県,ジェイテクトアリーナ奈良,715,0.583333333,0.6625,0.079166667,髙橋　憲太郎,山本　和良,沢田　元,的場　早紀,ジェイテクトSTINGS,東レアローズ,1,3,25,14,0.016666667,22,25,0.01875,24,26,0.020138889,19,25,0.017361111,-,-,-,東レアローズ,121,55,4,45.5,13.75,25,8,2,32,10,2.5,91,7,6,25,12.9,78,35,24,60.3
