M/W,Season,Match_No,League,開催日,開催地,会場,入場者数,開始時刻,終了時刻,試合時間,JURY,1stﾚﾌｪﾘｰ,2ndﾚﾌｪﾘｰ,判定員,Team1,Team2,セット:得,セット:失,セット1:得点,セット1:失点,セット1:時間,セット2:得点,セット2:失点,セット2:時間,セット3:得点,セット3:失点,セット3:時間,セット4:得点,セット4:失点,セット4:時間,セット5:得点,セット5:失点,セット5:時間,Team,N,L,Name,出場セット,出場セット1,出場セット2,出場セット3,出場セット4,出場セット5,アタック_打数,アタック_得点,アタック_失点,アタック_決定率,アタック_セット平均,アタック(内バックアタック)_打数,アタック(内バックアタック)_得点,アタック(内バックアタック)_失点,アタック(内バックアタック)_決定率,ブロック_得点,ブロック_セット平均,サーブ_打数,サーブ_得点,サーブ_失点,サーブ_効果,サーブ_効果率,サーブレシーブ_受数,サーブレシーブ_成功・優,サーブレシーブ_成功・良,サーブレシーブ_成功率
Men,2020_2021,283,2020-21 V.LEAGUE DIVISION1 MEN   ファイナル,4/4/2021,千葉県,船橋アリーナ,1700,0.674305556,0.733333333,0.059027778,小柴　滋/利根川　忠史,村中　伸,江下　毅,藤崎　英珠芳,サントリーサンバーズ,パナソニックパンサーズ,3,0,25,21,0.017361111,25,23,0.01875,25,20,0.01875,-,-,-,-,-,-,サントリーサンバーズ,1,L,鶴田 大樹,3,●,●,●,-,-,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,11,8,1,77.3
Men,2020_2021,283,2020-21 V.LEAGUE DIVISION1 MEN   ファイナル,4/4/2021,千葉県,船橋アリーナ,1700,0.674305556,0.733333333,0.059027778,小柴　滋/利根川　忠史,村中　伸,江下　毅,藤崎　英珠芳,サントリーサンバーズ,パナソニックパンサーズ,3,0,25,21,0.017361111,25,23,0.01875,25,20,0.01875,-,-,-,-,-,-,サントリーサンバーズ,3,-,小野 遥輝,3,■,■,■,-,-,6,5,0,83.3,1.67,0,0,0,-,1,0.33,11,0,4,1,-6.8,0,0,0,-
Men,2020_2021,283,2020-21 V.LEAGUE DIVISION1 MEN   ファイナル,4/4/2021,千葉県,船橋アリーナ,1700,0.674305556,0.733333333,0.059027778,小柴　滋/利根川　忠史,村中　伸,江下　毅,藤崎　英珠芳,サントリーサンバーズ,パナソニックパンサーズ,3,0,25,21,0.017361111,25,23,0.01875,25,20,0.01875,-,-,-,-,-,-,サントリーサンバーズ,8,-,柳田 将洋,3,■,■,■,-,-,18,10,0,55.6,3.33,7,6,0,85.7,0,-,11,1,3,2,6.8,12,4,4,50
Men,2020_2021,283,2020-21 V.LEAGUE DIVISION1 MEN   ファイナル,4/4/2021,千葉県,船橋アリーナ,1700,0.674305556,0.733333333,0.059027778,小柴　滋/利根川　忠史,村中　伸,江下　毅,藤崎　英珠芳,サントリーサンバーズ,パナソニックパンサーズ,3,0,25,21,0.017361111,25,23,0.01875,25,20,0.01875,-,-,-,-,-,-,サントリーサンバーズ,9,-,大宅 真樹,3,■,■,■,-,-,0,0,0,-,-,0,0,0,-,0,-,13,1,6,4,3.8,1,0,0,0
Men,2020_2021,283,2020-21 V.LEAGUE DIVISION1 MEN   ファイナル,4/4/2021,千葉県,船橋アリーナ,1700,0.674305556,0.733333333,0.059027778,小柴　滋/利根川　忠史,村中　伸,江下　毅,藤崎　英珠芳,サントリーサンバーズ,パナソニックパンサーズ,3,0,25,21,0.017361111,25,23,0.01875,25,20,0.01875,-,-,-,-,-,-,サントリーサンバーズ,10,-,藤中 謙也,3,■,■,■,-,-,6,4,0,66.7,1.33,3,3,0,100,3,1,8,0,1,0,-3.1,28,17,3,66.1
Men,2020_2021,283,2020-21 V.LEAGUE DIVISION1 MEN   ファイナル,4/4/2021,千葉県,船橋アリーナ,1700,0.674305556,0.733333333,0.059027778,小柴　滋/利根川　忠史,村中　伸,江下　毅,藤崎　英珠芳,サントリーサンバーズ,パナソニックパンサーズ,3,0,25,21,0.017361111,25,23,0.01875,25,20,0.01875,-,-,-,-,-,-,サントリーサンバーズ,11,-,秦 耕介,0,-,-,-,-,-,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
Men,2020_2021,283,2020-21 V.LEAGUE DIVISION1 MEN   ファイナル,4/4/2021,千葉県,船橋アリーナ,1700,0.674305556,0.733333333,0.059027778,小柴　滋/利根川　忠史,村中　伸,江下　毅,藤崎　英珠芳,サントリーサンバーズ,パナソニックパンサーズ,3,0,25,21,0.017361111,25,23,0.01875,25,20,0.01875,-,-,-,-,-,-,サントリーサンバーズ,12,-,塩田 達也,3,■,■,■,-,-,9,3,0,33.3,1,0,0,0,-,0,-,14,0,1,4,5.4,2,2,0,100
Men,2020_2021,283,2020-21 V.LEAGUE DIVISION1 MEN   ファイナル,4/4/2021,千葉県,船橋アリーナ,1700,0.674305556,0.733333333,0.059027778,小柴　滋/利根川　忠史,村中　伸,江下　毅,藤崎　英珠芳,サントリーサンバーズ,パナソニックパンサーズ,3,0,25,21,0.017361111,25,23,0.01875,25,20,0.01875,-,-,-,-,-,-,サントリーサンバーズ,13,-,ドミトリー・ムセルスキー,3,■,■,■,-,-,38,25,0,65.8,8.33,24,16,0,66.7,3,1,13,0,3,5,3.8,0,0,0,-
Men,2020_2021,283,2020-21 V.LEAGUE DIVISION1 MEN   ファイナル,4/4/2021,千葉県,船橋アリーナ,1700,0.674305556,0.733333333,0.059027778,小柴　滋/利根川　忠史,村中　伸,江下　毅,藤崎　英珠芳,サントリーサンバーズ,パナソニックパンサーズ,3,0,25,21,0.017361111,25,23,0.01875,25,20,0.01875,-,-,-,-,-,-,サントリーサンバーズ,14,-,加藤 久典,0,-,-,-,-,-,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
Men,2020_2021,283,2020-21 V.LEAGUE DIVISION1 MEN   ファイナル,4/4/2021,千葉県,船橋アリーナ,1700,0.674305556,0.733333333,0.059027778,小柴　滋/利根川　忠史,村中　伸,江下　毅,藤崎　英珠芳,サントリーサンバーズ,パナソニックパンサーズ,3,0,25,21,0.017361111,25,23,0.01875,25,20,0.01875,-,-,-,-,-,-,サントリーサンバーズ,15,-,喜入 祥充,0,-,-,-,-,-,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
