M/W,Season,Match_No,League,開催日,開催地,会場,入場者数,開始時刻,終了時刻,試合時間,JURY,1stﾚﾌｪﾘｰ,2ndﾚﾌｪﾘｰ,判定員,Team1,Team2,セット:得,セット:失,セット1:得点,セット1:失点,セット1:時間,セット2:得点,セット2:失点,セット2:時間,セット3:得点,セット3:失点,セット3:時間,セット4:得点,セット4:失点,セット4:時間,セット5:得点,セット5:失点,セット5:時間,Team,N,L,Name,出場セット,出場セット1,出場セット2,出場セット3,出場セット4,出場セット5,アタック_打数,アタック_得点,アタック_失点,アタック_決定率,アタック_セット平均,アタック(内バックアタック)_打数,アタック(内バックアタック)_得点,アタック(内バックアタック)_失点,アタック(内バックアタック)_決定率,ブロック_得点,ブロック_セット平均,サーブ_打数,サーブ_得点,サーブ_失点,サーブ_効果,サーブ_効果率,サーブレシーブ_受数,サーブレシーブ_成功・優,サーブレシーブ_成功・良,サーブレシーブ_成功率
Women,2009_2010,702,Ｖ・チャレンジリーグ女子 2009/10   レギュラーラウンド,11/28/2009,-,柏市中央体育館,650,0.541666667,0.594444444,0.052777778,-,澤　達大,児玉　泰平,小原　耕一,四国Eighty8Queen,健祥会レッドハーツ,0,3,20,25,0.017361111,19,25,0.015277778,20,25,0.015972222,-,-,-,-,-,-,四国Eighty8Queen,1,-,高橋 潤子,3,■,■,■,-,-,39,13,5,33.3,4.33,5,2,0,40,1,0.33,8,1,3,2,18.8,1,0,0,0
Women,2009_2010,702,Ｖ・チャレンジリーグ女子 2009/10   レギュラーラウンド,11/28/2009,-,柏市中央体育館,650,0.541666667,0.594444444,0.052777778,-,澤　達大,児玉　泰平,小原　耕一,四国Eighty8Queen,健祥会レッドハーツ,0,3,20,25,0.017361111,19,25,0.015277778,20,25,0.015972222,-,-,-,-,-,-,四国Eighty8Queen,2,-,浦辺 真希,3,□,■,■,-,-,8,5,0,62.5,1.67,1,0,0,0,2,0.67,12,2,1,5,23.8,31,12,0,38.7
Women,2009_2010,702,Ｖ・チャレンジリーグ女子 2009/10   レギュラーラウンド,11/28/2009,-,柏市中央体育館,650,0.541666667,0.594444444,0.052777778,-,澤　達大,児玉　泰平,小原　耕一,四国Eighty8Queen,健祥会レッドハーツ,0,3,20,25,0.017361111,19,25,0.015277778,20,25,0.015972222,-,-,-,-,-,-,四国Eighty8Queen,3,L,大槻 めぐみ(C),3,●,●,●,-,-,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,22,9,0,40.9
Women,2009_2010,702,Ｖ・チャレンジリーグ女子 2009/10   レギュラーラウンド,11/28/2009,-,柏市中央体育館,650,0.541666667,0.594444444,0.052777778,-,澤　達大,児玉　泰平,小原　耕一,四国Eighty8Queen,健祥会レッドハーツ,0,3,20,25,0.017361111,19,25,0.015277778,20,25,0.015972222,-,-,-,-,-,-,四国Eighty8Queen,4,-,内藤 絵莉香,3,■,■,■,-,-,0,0,0,-,-,0,0,0,-,0,-,10,0,2,3,7.5,0,0,0,-
Women,2009_2010,702,Ｖ・チャレンジリーグ女子 2009/10   レギュラーラウンド,11/28/2009,-,柏市中央体育館,650,0.541666667,0.594444444,0.052777778,-,澤　達大,児玉　泰平,小原　耕一,四国Eighty8Queen,健祥会レッドハーツ,0,3,20,25,0.017361111,19,25,0.015277778,20,25,0.015972222,-,-,-,-,-,-,四国Eighty8Queen,5,-,彦坂 香奈,1,-,□,-,-,-,0,0,0,-,-,0,0,0,-,0,-,1,0,1,0,0,0,0,0,-
Women,2009_2010,702,Ｖ・チャレンジリーグ女子 2009/10   レギュラーラウンド,11/28/2009,-,柏市中央体育館,650,0.541666667,0.594444444,0.052777778,-,澤　達大,児玉　泰平,小原　耕一,四国Eighty8Queen,健祥会レッドハーツ,0,3,20,25,0.017361111,19,25,0.015277778,20,25,0.015972222,-,-,-,-,-,-,四国Eighty8Queen,6,-,木村 雅世,0,-,-,-,-,-,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
Women,2009_2010,702,Ｖ・チャレンジリーグ女子 2009/10   レギュラーラウンド,11/28/2009,-,柏市中央体育館,650,0.541666667,0.594444444,0.052777778,-,澤　達大,児玉　泰平,小原　耕一,四国Eighty8Queen,健祥会レッドハーツ,0,3,20,25,0.017361111,19,25,0.015277778,20,25,0.015972222,-,-,-,-,-,-,四国Eighty8Queen,7,-,仁里 奈那美,3,□,□,□,-,-,0,0,0,-,-,0,0,0,-,0,-,5,0,0,1,5,3,2,0,66.7
Women,2009_2010,702,Ｖ・チャレンジリーグ女子 2009/10   レギュラーラウンド,11/28/2009,-,柏市中央体育館,650,0.541666667,0.594444444,0.052777778,-,澤　達大,児玉　泰平,小原　耕一,四国Eighty8Queen,健祥会レッドハーツ,0,3,20,25,0.017361111,19,25,0.015277778,20,25,0.015972222,-,-,-,-,-,-,四国Eighty8Queen,8,-,笠松 真梨奈,3,■,■,■,-,-,24,10,0,41.7,3.33,0,0,0,-,1,0.33,6,0,0,5,20.8,4,0,0,0
Women,2009_2010,702,Ｖ・チャレンジリーグ女子 2009/10   レギュラーラウンド,11/28/2009,-,柏市中央体育館,650,0.541666667,0.594444444,0.052777778,-,澤　達大,児玉　泰平,小原　耕一,四国Eighty8Queen,健祥会レッドハーツ,0,3,20,25,0.017361111,19,25,0.015277778,20,25,0.015972222,-,-,-,-,-,-,四国Eighty8Queen,9,-,平山 麻里,3,□,□,□,-,-,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,1,0,0,0
Women,2009_2010,702,Ｖ・チャレンジリーグ女子 2009/10   レギュラーラウンド,11/28/2009,-,柏市中央体育館,650,0.541666667,0.594444444,0.052777778,-,澤　達大,児玉　泰平,小原　耕一,四国Eighty8Queen,健祥会レッドハーツ,0,3,20,25,0.017361111,19,25,0.015277778,20,25,0.015972222,-,-,-,-,-,-,四国Eighty8Queen,10,-,上村 麻衣,3,■,■,■,-,-,12,4,1,33.3,1.33,0,0,0,-,1,0.33,11,0,2,6,13.6,0,0,0,-
