M/W,Season,Match_No,League,開催日,開催地,会場,入場者数,開始時刻,終了時刻,試合時間,JURY,1stﾚﾌｪﾘｰ,2ndﾚﾌｪﾘｰ,判定員,Team1,Team2,セット:得,セット:失,セット1:得点,セット1:失点,セット1:時間,セット2:得点,セット2:失点,セット2:時間,セット3:得点,セット3:失点,セット3:時間,セット4:得点,セット4:失点,セット4:時間,セット5:得点,セット5:失点,セット5:時間,Team,アタック_打数,アタック_得点,アタック_失点,アタック_決定率,アタック_セット平均,アタック(内バックアタック)_打数,アタック(内バックアタック)_得点,アタック(内バックアタック)_失点,アタック(内バックアタック)_決定率,ブロック_得点,ブロック_セット平均,サーブ_打数,サーブ_得点,サーブ_失点,サーブ_効果,サーブ_効果率,サーブレシーブ_受数,サーブレシーブ_成功・優,サーブレシーブ_成功・良,サーブレシーブ_成功率
Women,2009_2010,702,Ｖ・チャレンジリーグ女子 2009/10   レギュラーラウンド,11/28/2009,-,柏市中央体育館,650,0.541666667,0.594444444,0.052777778,-,澤　達大,児玉　泰平,小原　耕一,四国Eighty8Queen,健祥会レッドハーツ,0,3,20,25,0.017361111,19,25,0.015277778,20,25,0.015972222,-,-,-,-,-,-,四国Eighty8Queen,91,33,9,36.3,11,6,2,0,33.3,6,2,61,3,9,26,14.9,67,26,0,38.8
Women,2009_2010,702,Ｖ・チャレンジリーグ女子 2009/10   レギュラーラウンド,11/28/2009,-,柏市中央体育館,650,0.541666667,0.594444444,0.052777778,-,澤　達大,児玉　泰平,小原　耕一,四国Eighty8Queen,健祥会レッドハーツ,3,0,25,20,0.017361111,25,19,0.015277778,25,20,0.015972222,-,-,-,-,-,-,健祥会レッドハーツ,89,41,9,46.1,13.67,1,1,0,100,6,2,73,7,5,35,19.9,51,23,0,45.1
Women,2009_2010,703,Ｖ・チャレンジリーグ女子 2009/10   レギュラーラウンド,11/28/2009,-,柏市中央体育館,800,0.625,0.701388889,0.076388889,-,田代英明,山内大右,藤崎昭義,埼玉上尾メディックス,柏エンゼルクロス,3,1,25,23,0.017361111,23,25,0.019444444,25,19,0.015277778,25,20,0.018055556,-,-,-,埼玉上尾メディックス,166,56,12,33.7,14,5,2,1,40,19,4.75,97,6,2,41,15.5,81,48,0,59.3
Women,2009_2010,703,Ｖ・チャレンジリーグ女子 2009/10   レギュラーラウンド,11/28/2009,-,柏市中央体育館,800,0.625,0.701388889,0.076388889,-,田代英明,山内大右,藤崎昭義,埼玉上尾メディックス,柏エンゼルクロス,1,3,23,25,0.017361111,25,23,0.019444444,19,25,0.015277778,20,25,0.018055556,-,-,-,柏エンゼルクロス,181,58,9,32,14.5,1,0,1,0,8,2,88,5,5,30,13.5,95,48,0,50.5
Women,2009_2010,704,Ｖ・チャレンジリーグ女子 2009/10   レギュラーラウンド,11/28/2009,-,大矢野総合体育館,630,0.458333333,0.5,0.041666667,-,須藤　義宏,原　雄一,梶原　修平,Befcoビービースターズ,日立リヴァーレ,0,3,11,25,0.015277778,10,25,0.013888889,21,25,0.015277778,-,-,-,-,-,-,Befcoビービースターズ,130,23,12,17.7,7.67,1,0,0,0,5,1.67,43,3,4,16,15.8,70,28,0,40
Women,2009_2010,704,Ｖ・チャレンジリーグ女子 2009/10   レギュラーラウンド,11/28/2009,-,大矢野総合体育館,630,0.458333333,0.5,0.041666667,-,須藤　義宏,原　雄一,梶原　修平,Befcoビービースターズ,日立リヴァーレ,3,0,25,11,0.015277778,25,10,0.013888889,25,21,0.015277778,-,-,-,-,-,-,日立リヴァーレ,112,44,5,39.3,14.67,11,1,3,9.1,7,2.33,74,5,3,38,18.5,37,20,0,54.1
Women,2009_2010,705,Ｖ・チャレンジリーグ女子 2009/10   レギュラーラウンド,11/28/2009,-,大矢野総合体育館,1200,0.541666667,0.590277778,0.048611111,-,坂本　紀一,田村　誠,鳥井　昭宏,GSS東京サンビームズ,PFUブルーキャッツ石川かほく,0,3,17,25,0.016666667,12,25,0.013888889,15,25,0.013888889,-,-,-,-,-,-,GSS東京サンビームズ,90,28,3,31.1,9.33,4,0,0,0,3,1,45,2,8,16,12.4,70,33,0,47.1
Women,2009_2010,705,Ｖ・チャレンジリーグ女子 2009/10   レギュラーラウンド,11/28/2009,-,大矢野総合体育館,1200,0.541666667,0.590277778,0.048611111,-,坂本　紀一,田村　誠,鳥井　昭宏,GSS東京サンビームズ,PFUブルーキャッツ石川かほく,3,0,25,17,0.016666667,25,12,0.013888889,25,15,0.013888889,-,-,-,-,-,-,PFUブルーキャッツ石川かほく,90,40,8,44.4,13.33,3,2,0,66.7,8,2.67,73,8,0,32,20.5,37,19,0,51.4
Women,2009_2010,706,Ｖ・チャレンジリーグ女子 2009/10   レギュラーラウンド,11/28/2009,-,大矢野総合体育館,1300,0.625,0.680555556,0.055555556,-,山本　晋五,山田　禎郎,端田　直也,フォレストリーヴズ熊本,三洋電機レッドソア,0,3,16,25,0.016666667,18,25,0.015277778,21,25,0.019444444,-,-,-,-,-,-,フォレストリーヴズ熊本,111,27,3,24.3,9,1,0,0,0,5,1.67,57,4,4,13,11.3,65,34,0,52.3
Women,2009_2010,706,Ｖ・チャレンジリーグ女子 2009/10   レギュラーラウンド,11/28/2009,-,大矢野総合体育館,1300,0.625,0.680555556,0.055555556,-,山本　晋五,山田　禎郎,端田　直也,フォレストリーヴズ熊本,三洋電機レッドソア,3,0,25,16,0.016666667,25,18,0.015277778,25,21,0.019444444,-,-,-,-,-,-,三洋電機レッドソア,117,52,7,44.4,17.33,9,2,4,22.2,10,3.33,73,2,8,29,12.1,53,36,0,67.9
