M/W,Season,Match_No,League,開催日,開催地,会場,入場者数,開始時刻,終了時刻,試合時間,JURY,1stﾚﾌｪﾘｰ,2ndﾚﾌｪﾘｰ,判定員,Team1,Team2,セット:得,セット:失,セット1:得点,セット1:失点,セット1:時間,セット2:得点,セット2:失点,セット2:時間,セット3:得点,セット3:失点,セット3:時間,セット4:得点,セット4:失点,セット4:時間,セット5:得点,セット5:失点,セット5:時間,Team,アタック_打数,アタック_得点,アタック_失点,アタック_決定率,アタック_セット平均,アタック(内バックアタック)_打数,アタック(内バックアタック)_得点,アタック(内バックアタック)_失点,アタック(内バックアタック)_決定率,ブロック_得点,ブロック_セット平均,サーブ_打数,サーブ_得点,サーブ_失点,サーブ_効果,サーブ_効果率,サーブレシーブ_受数,サーブレシーブ_成功・優,サーブレシーブ_成功・良,サーブレシーブ_成功率
WOMEN,2025_2026,1,大同生命SV.LEAGUE WOMEN_レギュラーシーズン_第1節_GAME1,2025/10/10,大阪府,おおきにアリーナ舞洲,2653,19:10,21:16,2:06,田野 昭彦,澤　達大,長崎 有紗,VOLLEYSTATION,大阪マーヴェラス,ヴィクトリーナ姫路,1,3,19,25,0:25,25,21,0:29,21,25,0:32,10,25,0:19,-,-,-,大阪マーヴェラス,174,51,13,29.3,12.75,22,6,3,27.3,5,1.25,76,5,8,28,13.2,86,35,19,51.7
WOMEN,2025_2026,1,大同生命SV.LEAGUE WOMEN_レギュラーシーズン_第1節_GAME1,2025/10/10,大阪府,おおきにアリーナ舞洲,2653,19:10,21:16,2:06,田野 昭彦,澤　達大,長崎 有紗,VOLLEYSTATION,大阪マーヴェラス,ヴィクトリーナ姫路,1,3,19,25,0:25,25,21,0:29,21,25,0:32,10,25,0:19,-,-,-,ヴィクトリーナ姫路,143,56,2,39.2,14,12,3,0,25,11,2.75,95,3,8,29,8.7,68,17,18,38.2
WOMEN,2025_2026,2,大同生命SV.LEAGUE WOMEN_レギュラーシーズン_第1節_GAME1,2025/10/10,富山県,黒部市総合体育センター,1126,19:05,21:26,2:21,勝又　正,森口　豊,山尾　未来,VOLLEYSTATION,ＫＵＲＯＢＥアクアフェアリーズ,岡山シーガルズ,3,1,26,24,0:33,25,20,0:26,22,25,0:34,25,13,0:27,-,-,-,ＫＵＲＯＢＥアクアフェアリーズ,213,75,6,35.2,18.75,6,2,0,33.3,5,1.25,97,1,6,40,9.8,79,13,31,36.1
WOMEN,2025_2026,2,大同生命SV.LEAGUE WOMEN_レギュラーシーズン_第1節_GAME1,2025/10/10,富山県,黒部市総合体育センター,1126,19:05,21:26,2:21,勝又　正,森口　豊,山尾　未来,VOLLEYSTATION,ＫＵＲＯＢＥアクアフェアリーズ,岡山シーガルズ,3,1,26,24,0:33,25,20,0:26,22,25,0:34,25,13,0:27,-,-,-,岡山シーガルズ,204,60,10,29.4,15,5,0,0,0,7,1.75,83,3,4,32,12,91,13,37,34.6
WOMEN,2025_2026,3,大同生命SV.LEAGUE WOMEN_レギュラーシーズン_第1節_GAME1,2025/10/11,山形県,INPEX酒田アリーナ,1033,14:05,16:19,2:14,大塚　達也,高橋　宏明,杉村　友雄,VOLLEYSTATION,アランマーレ山形,Astemoリヴァーレ茨城,1,3,25,22,0:31,18,25,0:30,15,25,0:22,17,25,0:30,-,-,-,アランマーレ山形,167,53,12,31.7,13.25,35,7,6,20,4,1,76,2,6,35,12.2,88,10,28,27.3
WOMEN,2025_2026,3,大同生命SV.LEAGUE WOMEN_レギュラーシーズン_第1節_GAME1,2025/10/11,山形県,INPEX酒田アリーナ,1033,14:05,16:19,2:14,大塚　達也,高橋　宏明,杉村　友雄,VOLLEYSTATION,アランマーレ山形,Astemoリヴァーレ茨城,1,3,25,22,0:31,18,25,0:30,15,25,0:22,17,25,0:30,-,-,-,Astemoリヴァーレ茨城,160,62,7,38.8,15.5,12,5,0,41.7,10,2.5,96,5,8,45,14.8,70,13,20,32.9
WOMEN,2025_2026,4,大同生命SV.LEAGUE WOMEN_レギュラーシーズン_第1節_GAME1,2025/10/11,福島県,宝来屋 ボンズアリーナ,2410,13:05,14:42,1:37,加治　健男,明井　寿枝,酒巻　祐亮,VOLLEYSTATION,デンソーエアリービーズ,東レアローズ滋賀,3,0,25,21,0:28,25,17,0:25,25,22,0:26,-,-,-,-,-,-,デンソーエアリービーズ,119,42,6,35.3,14,12,5,1,41.7,8,2.67,74,5,4,44,20.3,54,16,15,43.5
WOMEN,2025_2026,4,大同生命SV.LEAGUE WOMEN_レギュラーシーズン_第1節_GAME1,2025/10/11,福島県,宝来屋 ボンズアリーナ,2410,13:05,14:42,1:37,加治　健男,明井　寿枝,酒巻　祐亮,VOLLEYSTATION,デンソーエアリービーズ,東レアローズ滋賀,3,0,25,21,0:28,25,17,0:25,25,22,0:26,-,-,-,-,-,-,東レアローズ滋賀,128,39,13,30.5,13,21,5,4,23.8,5,1.67,61,5,7,18,12.7,70,6,15,19.3
WOMEN,2025_2026,5,大同生命SV.LEAGUE WOMEN_レギュラーシーズン_第1節_GAME1,2025/10/11,埼玉県,リプロ武道館,820,13:05,15:39,2:34,北村　友香,浅井　唯由,水間　絵美,VOLLEYSTATION,埼玉上尾メディックス,PFUブルーキャッツ石川かほく,3,2,21,25,0:28,25,21,0:26,21,25,0:26,25,21,0:30,15,11,0:20,埼玉上尾メディックス,190,72,12,37.9,14.4,14,5,0,35.7,4,0.8,107,4,8,48,13.1,94,38,21,51.6
WOMEN,2025_2026,5,大同生命SV.LEAGUE WOMEN_レギュラーシーズン_第1節_GAME1,2025/10/11,埼玉県,リプロ武道館,820,13:05,15:39,2:34,北村　友香,浅井　唯由,水間　絵美,VOLLEYSTATION,埼玉上尾メディックス,PFUブルーキャッツ石川かほく,3,2,21,25,0:28,25,21,0:26,21,25,0:26,25,21,0:30,15,11,0:20,PFUブルーキャッツ石川かほく,188,67,16,35.6,13.4,23,10,3,43.5,13,2.6,103,2,9,33,7.8,99,20,27,33.8
WOMEN,2025_2026,6,大同生命SV.LEAGUE WOMEN_レギュラーシーズン_第1節_GAME1,2025/10/11,神奈川県,東急ドレッセとどろきアリーナ,3562,14:05,15:46,1:41,石井　洋壮,渡部　菜保子,新田　浩幸,VOLLEYSTATION,NECレッドロケッツ川崎,SAGA久光スプリングス,3,0,25,18,0:22,25,22,0:33,25,23,0:28,-,-,-,-,-,-,NECレッドロケッツ川崎,116,51,6,44,17,16,9,3,56.2,5,1.67,73,2,9,29,9.6,59,21,14,47.5
WOMEN,2025_2026,6,大同生命SV.LEAGUE WOMEN_レギュラーシーズン_第1節_GAME1,2025/10/11,神奈川県,東急ドレッセとどろきアリーナ,3562,14:05,15:46,1:41,石井　洋壮,渡部　菜保子,新田　浩幸,VOLLEYSTATION,NECレッドロケッツ川崎,SAGA久光スプリングス,3,0,25,18,0:22,25,22,0:33,25,23,0:28,-,-,-,-,-,-,SAGA久光スプリングス,120,39,11,32.5,13,11,2,3,18.2,5,1.67,65,3,6,21,10.4,64,15,18,37.5
