M/W,Season,Match_No,League,開催日,開催地,会場,入場者数,開始時刻,終了時刻,試合時間,JURY,1stﾚﾌｪﾘｰ,2ndﾚﾌｪﾘｰ,判定員,Team1,Team2,セット:得,セット:失,セット1:得点,セット1:失点,セット1:時間,セット2:得点,セット2:失点,セット2:時間,セット3:得点,セット3:失点,セット3:時間,セット4:得点,セット4:失点,セット4:時間,セット5:得点,セット5:失点,セット5:時間,Team,N,L,Name,出場セット,出場セット1,出場セット2,出場セット3,出場セット4,出場セット5,アタック_打数,アタック_得点,アタック_失点,アタック_決定率,アタック_セット平均,アタック(内バックアタック)_打数,アタック(内バックアタック)_得点,アタック(内バックアタック)_失点,アタック(内バックアタック)_決定率,ブロック_得点,ブロック_セット平均,サーブ_打数,サーブ_得点,サーブ_失点,サーブ_効果,サーブ_効果率,サーブレシーブ_受数,サーブレシーブ_成功・優,サーブレシーブ_成功・良,サーブレシーブ_成功率
Women,2016_2017,601,Ｖ・チャレンジリーグⅠ女子 2016/17   レギュラーラウンド,10/29/2016,-,富谷スポーツセンター,728,0.541666667,0.593055556,0.051388889,佐々木克之,早坂行博,岸名紀彦,渡部隆一,デンソーエアリービーズ,KUROBEアクアフェアリーズ,3,0,25,21,0.017361111,25,17,0.016666667,25,13,0.013194444,-,-,-,-,-,-,デンソーエアリービーズ,1,L,中元 南,0,-,-,-,-,-,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
Women,2016_2017,601,Ｖ・チャレンジリーグⅠ女子 2016/17   レギュラーラウンド,10/29/2016,-,富谷スポーツセンター,728,0.541666667,0.593055556,0.051388889,佐々木克之,早坂行博,岸名紀彦,渡部隆一,デンソーエアリービーズ,KUROBEアクアフェアリーズ,3,0,25,21,0.017361111,25,17,0.016666667,25,13,0.013194444,-,-,-,-,-,-,デンソーエアリービーズ,4,-,工藤 嶺,3,■,■,■,-,-,21,13,2,61.9,4.33,2,1,1,50,0,-,9,0,0,1,2.8,18,8,0,44.4
Women,2016_2017,601,Ｖ・チャレンジリーグⅠ女子 2016/17   レギュラーラウンド,10/29/2016,-,富谷スポーツセンター,728,0.541666667,0.593055556,0.051388889,佐々木克之,早坂行博,岸名紀彦,渡部隆一,デンソーエアリービーズ,KUROBEアクアフェアリーズ,3,0,25,21,0.017361111,25,17,0.016666667,25,13,0.013194444,-,-,-,-,-,-,デンソーエアリービーズ,5,-,石井 里沙,2,■,■,-,-,-,10,5,1,50,2.5,0,0,0,-,1,0.5,10,0,0,3,7.5,0,0,0,-
Women,2016_2017,601,Ｖ・チャレンジリーグⅠ女子 2016/17   レギュラーラウンド,10/29/2016,-,富谷スポーツセンター,728,0.541666667,0.593055556,0.051388889,佐々木克之,早坂行博,岸名紀彦,渡部隆一,デンソーエアリービーズ,KUROBEアクアフェアリーズ,3,0,25,21,0.017361111,25,17,0.016666667,25,13,0.013194444,-,-,-,-,-,-,デンソーエアリービーズ,6,-,鈴木 裕子,2,□,□,-,-,-,0,0,0,-,-,0,0,0,-,0,-,3,0,1,1,8.3,3,2,0,66.7
Women,2016_2017,601,Ｖ・チャレンジリーグⅠ女子 2016/17   レギュラーラウンド,10/29/2016,-,富谷スポーツセンター,728,0.541666667,0.593055556,0.051388889,佐々木克之,早坂行博,岸名紀彦,渡部隆一,デンソーエアリービーズ,KUROBEアクアフェアリーズ,3,0,25,21,0.017361111,25,17,0.016666667,25,13,0.013194444,-,-,-,-,-,-,デンソーエアリービーズ,7,-,中川 千世,2,□,-,□,-,-,4,1,0,25,0.5,0,0,0,-,1,0.5,1,0,1,0,0,4,1,0,25
Women,2016_2017,601,Ｖ・チャレンジリーグⅠ女子 2016/17   レギュラーラウンド,10/29/2016,-,富谷スポーツセンター,728,0.541666667,0.593055556,0.051388889,佐々木克之,早坂行博,岸名紀彦,渡部隆一,デンソーエアリービーズ,KUROBEアクアフェアリーズ,3,0,25,21,0.017361111,25,17,0.016666667,25,13,0.013194444,-,-,-,-,-,-,デンソーエアリービーズ,10,-,森田 麻実子,2,-,□,□,-,-,0,0,0,-,-,0,0,0,-,0,-,5,2,0,1,41,0,0,0,-
Women,2016_2017,601,Ｖ・チャレンジリーグⅠ女子 2016/17   レギュラーラウンド,10/29/2016,-,富谷スポーツセンター,728,0.541666667,0.593055556,0.051388889,佐々木克之,早坂行博,岸名紀彦,渡部隆一,デンソーエアリービーズ,KUROBEアクアフェアリーズ,3,0,25,21,0.017361111,25,17,0.016666667,25,13,0.013194444,-,-,-,-,-,-,デンソーエアリービーズ,12,-,大竹 里歩,1,-,-,■,-,-,3,2,0,66.7,2,0,0,0,-,0,-,2,0,1,0,0,0,0,0,-
Women,2016_2017,601,Ｖ・チャレンジリーグⅠ女子 2016/17   レギュラーラウンド,10/29/2016,-,富谷スポーツセンター,728,0.541666667,0.593055556,0.051388889,佐々木克之,早坂行博,岸名紀彦,渡部隆一,デンソーエアリービーズ,KUROBEアクアフェアリーズ,3,0,25,21,0.017361111,25,17,0.016666667,25,13,0.013194444,-,-,-,-,-,-,デンソーエアリービーズ,13,L,山田 美花,3,●,●,●,-,-,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,6,2,0,33.3
Women,2016_2017,601,Ｖ・チャレンジリーグⅠ女子 2016/17   レギュラーラウンド,10/29/2016,-,富谷スポーツセンター,728,0.541666667,0.593055556,0.051388889,佐々木克之,早坂行博,岸名紀彦,渡部隆一,デンソーエアリービーズ,KUROBEアクアフェアリーズ,3,0,25,21,0.017361111,25,17,0.016666667,25,13,0.013194444,-,-,-,-,-,-,デンソーエアリービーズ,15,-,鍋谷 友理枝,3,■,■,■,-,-,28,13,2,46.4,4.33,0,0,0,-,0,-,7,0,1,3,10.7,13,9,0,69.2
Women,2016_2017,601,Ｖ・チャレンジリーグⅠ女子 2016/17   レギュラーラウンド,10/29/2016,-,富谷スポーツセンター,728,0.541666667,0.593055556,0.051388889,佐々木克之,早坂行博,岸名紀彦,渡部隆一,デンソーエアリービーズ,KUROBEアクアフェアリーズ,3,0,25,21,0.017361111,25,17,0.016666667,25,13,0.013194444,-,-,-,-,-,-,デンソーエアリービーズ,16,-,堀江 彩,3,■,■,■,-,-,23,7,1,30.4,2.33,5,0,0,0,1,0.33,16,1,3,2,9.4,0,0,0,-
