M/W,Season,Match_No,League,開催日,開催地,会場,入場者数,開始時刻,終了時刻,試合時間,JURY,1stﾚﾌｪﾘｰ,2ndﾚﾌｪﾘｰ,判定員,Team1,Team2,セット:得,セット:失,セット1:得点,セット1:失点,セット1:時間,セット2:得点,セット2:失点,セット2:時間,セット3:得点,セット3:失点,セット3:時間,セット4:得点,セット4:失点,セット4:時間,セット5:得点,セット5:失点,セット5:時間,Team,アタック_打数,アタック_得点,アタック_失点,アタック_決定率,アタック_セット平均,アタック(内バックアタック)_打数,アタック(内バックアタック)_得点,アタック(内バックアタック)_失点,アタック(内バックアタック)_決定率,ブロック_得点,ブロック_セット平均,サーブ_打数,サーブ_得点,サーブ_失点,サーブ_効果,サーブ_効果率,サーブレシーブ_受数,サーブレシーブ_成功・優,サーブレシーブ_成功・良,サーブレシーブ_成功率
Women,2004_2005,636,第11回Vリーグ女子   ファイナルラウンド,3/4/2005,-,東京体育館,2000,0.666666667,0.7375,0.070833333,-,利根川　忠史,小柴　滋,成嶋　満,デンソーエアリービーズ,パイオニアレッドウィングス,1,3,22,25,0.017361111,19,25,0.015972222,25,23,0.018055556,13,25,0.013194444,-,-,-,デンソーエアリービーズ,144,46,19,31.9,11.5,6,3,0,50,8,2,80,2,1,20,8.5,89,72,0,80.9
Women,2004_2005,636,第11回Vリーグ女子   ファイナルラウンド,3/4/2005,-,東京体育館,2000,0.666666667,0.7375,0.070833333,-,利根川　忠史,小柴　滋,成嶋　満,デンソーエアリービーズ,パイオニアレッドウィングス,3,1,25,22,0.017361111,25,19,0.015972222,23,25,0.018055556,25,13,0.013194444,-,-,-,パイオニアレッドウィングス,146,59,12,40.4,14.75,7,1,3,14.3,13,3.25,97,2,7,15,5.5,78,57,0,73.1
Women,2004_2005,637,第11回Vリーグ女子   ファイナルラウンド,3/4/2005,-,東京体育館,2900,0.763888889,0.846527778,0.082638889,-,佐々木　克之,石井　洋壮,四本松　善成,NECレッドロケッツ,JTマーヴェラス,2,3,25,16,0.013194444,18,25,0.016666667,25,15,0.015277778,21,25,0.017361111,13,15,0.011805556,NECレッドロケッツ,184,67,13,36.4,13.4,4,2,1,50,7,1.4,102,3,2,30,9.9,86,62,0,72.1
Women,2004_2005,637,第11回Vリーグ女子   ファイナルラウンド,3/4/2005,-,東京体育館,2900,0.763888889,0.846527778,0.082638889,-,佐々木　克之,石井　洋壮,四本松　善成,NECレッドロケッツ,JTマーヴェラス,3,2,16,25,0.013194444,25,18,0.016666667,15,25,0.015277778,25,21,0.017361111,15,13,0.011805556,JTマーヴェラス,179,59,13,33,11.8,11,3,3,27.3,12,2.4,96,3,8,23,8.9,99,67,0,67.7
Women,2004_2005,638,第11回Vリーグ女子   ファイナルラウンド,3/5/2005,-,東京体育館,4500,0.586805556,0.634722222,0.047916667,-,小柴　滋,佐々木　克之,上田　正,JTマーヴェラス,パイオニアレッドウィングス,0,3,17,25,0.014583333,14,25,0.013194444,15,25,0.015972222,-,-,-,-,-,-,JTマーヴェラス,117,30,8,25.6,10,10,3,0,30,2,0.67,47,2,2,12,10.2,70,52,0,74.3
Women,2004_2005,638,第11回Vリーグ女子   ファイナルラウンド,3/5/2005,-,東京体育館,4500,0.586805556,0.634722222,0.047916667,-,小柴　滋,佐々木　克之,上田　正,JTマーヴェラス,パイオニアレッドウィングス,3,0,25,17,0.014583333,25,14,0.013194444,25,15,0.015972222,-,-,-,-,-,-,パイオニアレッドウィングス,112,52,8,46.4,17.33,5,3,0,60,8,2.67,74,1,4,17,6.8,44,31,0,70.5
Women,2004_2005,639,第11回Vリーグ女子   ファイナルラウンド,3/5/2005,-,東京体育館,4500,0.659722222,0.708333333,0.048611111,-,石井　洋壮,利根川　忠史,長谷川　登,NECレッドロケッツ,デンソーエアリービーズ,3,0,25,15,0.014583333,25,21,0.016666667,25,13,0.013194444,-,-,-,-,-,-,NECレッドロケッツ,101,46,7,45.5,15.33,4,2,1,50,9,3,73,3,3,16,9,48,40,0,83.3
Women,2004_2005,639,第11回Vリーグ女子   ファイナルラウンド,3/5/2005,-,東京体育館,4500,0.659722222,0.708333333,0.048611111,-,石井　洋壮,利根川　忠史,長谷川　登,NECレッドロケッツ,デンソーエアリービーズ,0,3,15,25,0.014583333,21,25,0.016666667,13,25,0.013194444,-,-,-,-,-,-,デンソーエアリービーズ,125,32,11,25.6,10.67,5,2,1,40,3,1,51,1,2,8,5.9,69,51,0,73.9
Women,2004_2005,640,第11回Vリーグ女子   ファイナルラウンド,3/6/2005,-,東京体育館,6500,0.586805556,0.660416667,0.073611111,-,利根川　忠史,石井　洋壮,塚本　健二,NECレッドロケッツ,パイオニアレッドウィングス,3,1,25,14,0.013888889,27,25,0.020138889,20,25,0.018055556,25,15,0.015277778,-,-,-,NECレッドロケッツ,163,60,7,36.8,15,2,0,0,0,14,3.5,96,2,7,15,5.8,73,63,0,86.3
Women,2004_2005,640,第11回Vリーグ女子   ファイナルラウンド,3/6/2005,-,東京体育館,6500,0.586805556,0.660416667,0.073611111,-,利根川　忠史,石井　洋壮,塚本　健二,NECレッドロケッツ,パイオニアレッドウィングス,1,3,14,25,0.013888889,25,27,0.020138889,25,20,0.018055556,15,25,0.015277778,-,-,-,パイオニアレッドウィングス,153,55,10,35.9,13.75,8,4,1,50,6,1.5,80,1,6,10,4.4,88,72,0,81.8
