M/W,Season,Match_No,League,開催日,開催地,会場,入場者数,開始時刻,終了時刻,試合時間,JURY,1stﾚﾌｪﾘｰ,2ndﾚﾌｪﾘｰ,判定員,Team1,Team2,セット:得,セット:失,セット1:得点,セット1:失点,セット1:時間,セット2:得点,セット2:失点,セット2:時間,セット3:得点,セット3:失点,セット3:時間,セット4:得点,セット4:失点,セット4:時間,セット5:得点,セット5:失点,セット5:時間,Team,アタック_打数,アタック_得点,アタック_失点,アタック_決定率,アタック_セット平均,アタック(内バックアタック)_打数,アタック(内バックアタック)_得点,アタック(内バックアタック)_失点,アタック(内バックアタック)_決定率,ブロック_得点,ブロック_セット平均,サーブ_打数,サーブ_得点,サーブ_失点,サーブ_効果,サーブ_効果率,サーブレシーブ_受数,サーブレシーブ_成功・優,サーブレシーブ_成功・良,サーブレシーブ_成功率
Men,2008_2009,767,Ｖ・チャレンジリーグ男子 2008/09   ファイナルリーグ,3/7/2009,-,江戸川区スポーツセンター,250,0.416666667,0.483333333,0.066666667,-,須藤　義弘,古川　浩洋,古田　法美,東京ヴェルディ,富士通カワサキレッドスピリッツ,1,3,18,25,0.015277778,19,25,0.015972222,25,19,0.015277778,14,25,0.013888889,-,-,-,東京ヴェルディ,115,47,14,40.9,11.75,23,9,2,39.1,6,1.5,77,1,10,22,8.4,82,53,0,64.6
Men,2008_2009,767,Ｖ・チャレンジリーグ男子 2008/09   ファイナルリーグ,3/7/2009,-,江戸川区スポーツセンター,250,0.416666667,0.483333333,0.066666667,-,須藤　義弘,古川　浩洋,古田　法美,東京ヴェルディ,富士通カワサキレッドスピリッツ,3,1,25,18,0.015277778,25,19,0.015972222,19,25,0.015277778,25,14,0.013888889,-,-,-,富士通カワサキレッドスピリッツ,107,53,10,49.5,13.25,15,7,2,46.7,12,3,93,4,10,26,10.6,66,44,0,66.7
Men,2008_2009,768,Ｖ・チャレンジリーグ男子 2008/09   ファイナルリーグ,3/7/2009,-,江戸川区スポーツセンター,300,0.506944444,0.575694444,0.06875,-,澤　達大,及川　千春,高橋　澄子,ジェイテクトSTINGS,警視庁フォートファイターズ,3,1,25,16,0.013888889,25,18,0.013888889,26,28,0.01875,25,22,0.015972222,-,-,-,ジェイテクトSTINGS,80,41,8,51.2,10.25,3,2,1,66.7,14,3.5,86,4,13,27,11.8,72,48,0,66.7
Men,2008_2009,768,Ｖ・チャレンジリーグ男子 2008/09   ファイナルリーグ,3/7/2009,-,江戸川区スポーツセンター,300,0.506944444,0.575694444,0.06875,-,澤　達大,及川　千春,高橋　澄子,ジェイテクトSTINGS,警視庁フォートファイターズ,1,3,16,25,0.013888889,18,25,0.013888889,28,26,0.01875,22,25,0.015972222,-,-,-,警視庁フォートファイターズ,138,43,8,31.2,10.75,21,7,2,33.3,8,2,85,2,11,23,8.9,83,49,0,59
Men,2008_2009,769,Ｖ・チャレンジリーグ男子 2008/09   ファイナルリーグ,3/7/2009,-,江戸川区スポーツセンター,250,0.600694444,0.655555556,0.054861111,-,山本　晋五,中村　中,長谷川　登,FC東京,大同特殊鋼レッドスター,3,0,25,23,0.015972222,25,20,0.015972222,26,24,0.01875,-,-,-,-,-,-,FC東京,85,49,11,57.6,16.33,15,7,5,46.7,9,3,74,2,6,19,9.1,61,44,0,72.1
Men,2008_2009,769,Ｖ・チャレンジリーグ男子 2008/09   ファイナルリーグ,3/7/2009,-,江戸川区スポーツセンター,250,0.600694444,0.655555556,0.054861111,-,山本　晋五,中村　中,長谷川　登,FC東京,大同特殊鋼レッドスター,0,3,23,25,0.015972222,20,25,0.015972222,24,26,0.01875,-,-,-,-,-,-,大同特殊鋼レッドスター,84,39,4,46.4,13,6,3,0,50,8,2.67,69,0,8,17,6.2,66,47,0,71.2
Men,2008_2009,770,Ｖ・チャレンジリーグ男子 2008/09   ファイナルリーグ,3/7/2009,-,江戸川区スポーツセンター,150,0.68125,0.727777778,0.046527778,-,水間　尚,森山　真理子,金廣　美喜夫,近畿クラブスフィーダ,つくばユナイテッドSun GAIA,0,3,12,25,0.013888889,13,25,0.0125,21,25,0.015972222,-,-,-,-,-,-,近畿クラブスフィーダ,86,28,12,32.6,9.33,13,3,3,23.1,2,0.67,48,1,7,9,6.4,63,38,0,60.3
Men,2008_2009,770,Ｖ・チャレンジリーグ男子 2008/09   ファイナルリーグ,3/7/2009,-,江戸川区スポーツセンター,150,0.68125,0.727777778,0.046527778,-,水間　尚,森山　真理子,金廣　美喜夫,近畿クラブスフィーダ,つくばユナイテッドSun GAIA,3,0,25,12,0.013888889,25,13,0.0125,25,21,0.015972222,-,-,-,-,-,-,つくばユナイテッドSun GAIA,76,42,5,55.3,14,4,2,0,50,11,3.67,73,2,8,25,11.3,41,31,0,75.6
Men,2008_2009,771,Ｖ・チャレンジリーグ男子 2008/09   ファイナルリーグ,3/8/2009,-,江戸川区スポーツセンター,300,0.416666667,0.46875,0.052083333,-,山本　晋吾,中村　中,四本松　善成,警視庁フォートファイターズ,富士通カワサキレッドスピリッツ,0,3,22,25,0.015972222,19,25,0.015972222,18,25,0.015972222,-,-,-,-,-,-,警視庁フォートファイターズ,78,33,12,42.3,11,7,3,3,42.9,5,1.67,60,2,6,24,13,67,54,0,80.6
Men,2008_2009,771,Ｖ・チャレンジリーグ男子 2008/09   ファイナルリーグ,3/8/2009,-,江戸川区スポーツセンター,300,0.416666667,0.46875,0.052083333,-,山本　晋吾,中村　中,四本松　善成,警視庁フォートファイターズ,富士通カワサキレッドスピリッツ,3,0,25,22,0.015972222,25,19,0.015972222,25,18,0.015972222,-,-,-,-,-,-,富士通カワサキレッドスピリッツ,87,48,8,55.2,16,10,3,1,30,6,2,74,1,7,12,5.1,53,28,0,52.8
Men,2008_2009,772,Ｖ・チャレンジリーグ男子 2008/09   ファイナルリーグ,3/8/2009,-,江戸川区スポーツセンター,400,0.5,0.584722222,0.084722222,-,須藤　義宏,水間　尚,高橋　澄子,ジェイテクトSTINGS,東京ヴェルディ,3,2,19,25,0.014583333,26,24,0.018055556,25,19,0.015277778,19,25,0.016666667,15,13,0.011805556,ジェイテクトSTINGS,127,52,11,40.9,10.4,9,3,2,33.3,12,2.4,88,1,10,36,11.1,100,79,0,79
Men,2008_2009,772,Ｖ・チャレンジリーグ男子 2008/09   ファイナルリーグ,3/8/2009,-,江戸川区スポーツセンター,400,0.5,0.584722222,0.084722222,-,須藤　義宏,水間　尚,高橋　澄子,ジェイテクトSTINGS,東京ヴェルディ,2,3,25,19,0.014583333,24,26,0.018055556,19,25,0.015277778,25,19,0.016666667,13,15,0.011805556,東京ヴェルディ,156,64,11,41,12.8,34,13,7,38.2,9,1.8,106,0,6,21,5,91,50,0,54.9
Men,2008_2009,773,Ｖ・チャレンジリーグ男子 2008/09   ファイナルリーグ,3/8/2009,-,江戸川区スポーツセンター,300,0.6125,0.676388889,0.063888889,-,澤　達大,古川　浩洋,横田　雅博,FC東京,近畿クラブスフィーダ,3,1,22,25,0.015972222,25,17,0.013888889,25,21,0.015277778,25,14,0.0125,-,-,-,FC東京,98,51,6,52,12.75,13,8,1,61.5,16,4,96,4,14,27,10.8,68,37,0,54.4
Men,2008_2009,773,Ｖ・チャレンジリーグ男子 2008/09   ファイナルリーグ,3/8/2009,-,江戸川区スポーツセンター,300,0.6125,0.676388889,0.063888889,-,澤　達大,古川　浩洋,横田　雅博,FC東京,近畿クラブスフィーダ,1,3,25,22,0.015972222,17,25,0.013888889,21,25,0.015277778,14,25,0.0125,-,-,-,近畿クラブスフィーダ,104,42,13,40.4,10.5,7,2,2,28.6,8,2,78,4,9,28,13.3,80,51,0,63.7
