M/W,Season,Match_No,League,開催日,開催地,会場,入場者数,開始時刻,終了時刻,試合時間,JURY,1stﾚﾌｪﾘｰ,2ndﾚﾌｪﾘｰ,判定員,Team1,Team2,セット:得,セット:失,セット1:得点,セット1:失点,セット1:時間,セット2:得点,セット2:失点,セット2:時間,セット3:得点,セット3:失点,セット3:時間,セット4:得点,セット4:失点,セット4:時間,セット5:得点,セット5:失点,セット5:時間,Team,アタック_打数,アタック_得点,アタック_失点,アタック_決定率,アタック_セット平均,アタック(内バックアタック)_打数,アタック(内バックアタック)_得点,アタック(内バックアタック)_失点,アタック(内バックアタック)_決定率,ブロック_得点,ブロック_セット平均,サーブ_打数,サーブ_得点,サーブ_失点,サーブ_効果,サーブ_効果率,サーブレシーブ_受数,サーブレシーブ_成功・優,サーブレシーブ_成功・良,サーブレシーブ_成功率
Women,2010_2011,851,Ｖ・チャレンジリーグ女子 2010/11   レギュラーラウンド,11/27/2010,-,羽生市体育館,577,0.459027778,0.504166667,0.045138889,-,澤　達大,中里　明啓,逸見　尚史,日立リヴァーレ,Befcoビービースターズ,3,0,25,16,0.013194444,25,11,0.013194444,25,17,0.014583333,-,-,-,-,-,-,日立リヴァーレ,101,45,5,44.6,15,19,8,2,42.1,6,2,73,5,11,24,14,40,28,0,70
Women,2010_2011,851,Ｖ・チャレンジリーグ女子 2010/11   レギュラーラウンド,11/27/2010,-,羽生市体育館,577,0.459027778,0.504166667,0.045138889,-,澤　達大,中里　明啓,逸見　尚史,日立リヴァーレ,Befcoビービースターズ,0,3,16,25,0.013194444,11,25,0.013194444,17,25,0.014583333,-,-,-,-,-,-,Befcoビービースターズ,88,20,9,22.7,6.67,1,0,0,0,5,1.67,46,0,6,12,6.5,61,33,0,54.1
Women,2010_2011,852,Ｖ・チャレンジリーグ女子 2010/11   レギュラーラウンド,11/27/2010,-,羽生市体育館,421,0.541666667,0.595138889,0.053472222,-,浅井　唯由,久保　昌之,島崎　美晴,三洋電機レッドソア,柏エンゼルクロス,3,0,25,20,0.015972222,25,22,0.016666667,25,20,0.016666667,-,-,-,-,-,-,三洋電機レッドソア,132,53,6,40.2,17.67,19,5,2,26.3,8,2.67,74,1,4,28,10.5,57,47,0,82.5
Women,2010_2011,852,Ｖ・チャレンジリーグ女子 2010/11   レギュラーラウンド,11/27/2010,-,羽生市体育館,421,0.541666667,0.595138889,0.053472222,-,浅井　唯由,久保　昌之,島崎　美晴,三洋電機レッドソア,柏エンゼルクロス,0,3,20,25,0.015972222,22,25,0.016666667,20,25,0.016666667,-,-,-,-,-,-,柏エンゼルクロス,128,39,4,30.5,13,4,1,1,25,8,2.67,63,1,5,10,5.6,70,41,0,58.6
Women,2010_2011,853,Ｖ・チャレンジリーグ女子 2010/11   レギュラーラウンド,11/27/2010,-,羽生市体育館,387,0.625,0.675,0.05,-,高橋　宏明,阿部　孝広,大木　茂男,PFUブルーキャッツ石川かほく,GSS東京サンビームズ,3,0,27,25,0.015972222,25,20,0.014583333,25,17,0.015277778,-,-,-,-,-,-,PFUブルーキャッツ石川かほく,94,43,4,45.7,14.33,11,2,2,18.2,12,4,76,2,3,27,11.2,51,37,0,72.5
Women,2010_2011,853,Ｖ・チャレンジリーグ女子 2010/11   レギュラーラウンド,11/27/2010,-,羽生市体育館,387,0.625,0.675,0.05,-,高橋　宏明,阿部　孝広,大木　茂男,PFUブルーキャッツ石川かほく,GSS東京サンビームズ,0,3,25,27,0.015972222,20,25,0.014583333,17,25,0.015277778,-,-,-,-,-,-,GSS東京サンビームズ,127,43,5,33.9,14.33,16,6,1,37.5,4,1.33,58,2,12,11,7.5,65,39,0,60
Women,2010_2011,854,Ｖ・チャレンジリーグ女子 2010/11   レギュラーラウンド,11/27/2010,-,山鹿市総合体育館,1100,0.458333333,0.509027778,0.050694444,-,山本　晋吾,原　雄一,鳥井　昭宏,埼玉上尾メディックス,大野石油広島オイラーズ,3,0,25,16,0.017361111,25,16,0.015277778,25,12,0.013888889,-,-,-,-,-,-,埼玉上尾メディックス,92,49,2,53.3,16.33,8,4,0,50,7,2.33,73,6,6,33,18.2,38,24,0,63.2
Women,2010_2011,854,Ｖ・チャレンジリーグ女子 2010/11   レギュラーラウンド,11/27/2010,-,山鹿市総合体育館,1100,0.458333333,0.509027778,0.050694444,-,山本　晋吾,原　雄一,鳥井　昭宏,埼玉上尾メディックス,大野石油広島オイラーズ,0,3,16,25,0.017361111,16,25,0.015277778,12,25,0.013888889,-,-,-,-,-,-,大野石油広島オイラーズ,99,33,5,33.3,11,9,2,1,22.2,1,0.33,46,0,8,14,7.6,66,28,0,42.4
Women,2010_2011,855,Ｖ・チャレンジリーグ女子 2010/11   レギュラーラウンド,11/27/2010,-,山鹿市総合体育館,1300,0.541666667,0.635416667,0.09375,-,須藤　義宏,坂本　紀一,森　広一郎,健祥会レッドハーツ,四国Eighty8Queen,2,3,25,22,0.01875,28,30,0.019444444,28,26,0.020833333,22,25,0.017361111,10,15,0.009027778,健祥会レッドハーツ,167,68,7,40.7,13.6,2,0,1,0,12,2.4,114,3,18,55,14.3,106,37,0,34.9
Women,2010_2011,855,Ｖ・チャレンジリーグ女子 2010/11   レギュラーラウンド,11/27/2010,-,山鹿市総合体育館,1300,0.541666667,0.635416667,0.09375,-,須藤　義宏,坂本　紀一,森　広一郎,健祥会レッドハーツ,四国Eighty8Queen,3,2,22,25,0.01875,30,28,0.019444444,26,28,0.020833333,25,22,0.017361111,15,10,0.009027778,四国Eighty8Queen,161,65,10,40.4,13,2,1,1,50,18,3.6,116,6,9,64,18.1,66,35,0,53
Women,2010_2011,856,Ｖ・チャレンジリーグ女子 2010/11   レギュラーラウンド,11/27/2010,-,山鹿市総合体育館,1400,0.659722222,0.716666667,0.056944444,-,種元　桂子,井　昭徳,端田　直也,フォレストリーヴズ熊本,KUROBEアクアフェアリーズ,0,3,17,25,0.017361111,18,25,0.017361111,20,25,0.018055556,-,-,-,-,-,-,フォレストリーヴズ熊本,116,34,8,29.3,11.33,0,0,0,-,2,0.67,57,3,13,16,11.2,62,28,0,45.2
Women,2010_2011,856,Ｖ・チャレンジリーグ女子 2010/11   レギュラーラウンド,11/27/2010,-,山鹿市総合体育館,1400,0.659722222,0.716666667,0.056944444,-,種元　桂子,井　昭徳,端田　直也,フォレストリーヴズ熊本,KUROBEアクアフェアリーズ,3,0,25,17,0.017361111,25,18,0.017361111,25,20,0.018055556,-,-,-,-,-,-,KUROBEアクアフェアリーズ,101,41,5,40.6,13.67,7,2,2,28.6,10,3.33,73,2,11,32,13.2,44,25,0,56.8
