M/W,Season,Match_No,League,開催日,開催地,会場,入場者数,開始時刻,終了時刻,試合時間,JURY,1stﾚﾌｪﾘｰ,2ndﾚﾌｪﾘｰ,判定員,Team1,Team2,セット:得,セット:失,セット1:得点,セット1:失点,セット1:時間,セット2:得点,セット2:失点,セット2:時間,セット3:得点,セット3:失点,セット3:時間,セット4:得点,セット4:失点,セット4:時間,セット5:得点,セット5:失点,セット5:時間,Team,アタック_打数,アタック_得点,アタック_失点,アタック_決定率,アタック_セット平均,アタック(内バックアタック)_打数,アタック(内バックアタック)_得点,アタック(内バックアタック)_失点,アタック(内バックアタック)_決定率,ブロック_得点,ブロック_セット平均,サーブ_打数,サーブ_得点,サーブ_失点,サーブ_効果,サーブ_効果率,サーブレシーブ_受数,サーブレシーブ_成功・優,サーブレシーブ_成功・良,サーブレシーブ_成功率
Women,1999_2000,591,第6回Vリーグ女子   ファイナルラウンド,3/10/2000,-,大阪市中央体育館,2100,0.708333333,0.756944444,0.048611111,-,田野　敏彦,伊藤　博之,田中　仁,NECレッドロケッツ,日立ベルフィーユ,3,0,25,23,0.018055556,25,17,0.013888889,25,16,0.0125,-,-,-,-,-,-,NECレッドロケッツ,119,53,9,44.5,17.67,4,2,1,50,8,2.67,73,2,5,17,8,56,47,0,83.9
Women,1999_2000,591,第6回Vリーグ女子   ファイナルラウンド,3/10/2000,-,大阪市中央体育館,2100,0.708333333,0.756944444,0.048611111,-,田野　敏彦,伊藤　博之,田中　仁,NECレッドロケッツ,日立ベルフィーユ,0,3,23,25,0.018055556,17,25,0.013888889,16,25,0.0125,-,-,-,-,-,-,日立ベルフィーユ,103,34,8,33,11.33,5,2,0,40,4,1.33,58,0,2,9,3.9,68,49,0,72.1
Women,1999_2000,592,第6回Vリーグ女子   ファイナルラウンド,3/10/2000,-,大阪市中央体育館,2200,0.78125,0.840277778,0.059027778,-,酒出　修,田野　昭彦,越村　弘,ユニチカフェニックス,東洋紡オーキス,1,3,25,20,0.013194444,13,25,0.013194444,20,25,0.013888889,15,25,0.0125,-,-,-,ユニチカフェニックス,148,52,8,35.1,13,7,3,0,42.9,5,1.25,74,3,6,10,7.4,88,67,0,76.1
Women,1999_2000,592,第6回Vリーグ女子   ファイナルラウンド,3/10/2000,-,大阪市中央体育館,2200,0.78125,0.840277778,0.059027778,-,酒出　修,田野　昭彦,越村　弘,ユニチカフェニックス,東洋紡オーキス,3,1,20,25,0.013194444,25,13,0.013194444,25,20,0.013888889,25,15,0.0125,-,-,-,東洋紡オーキス,141,66,8,46.8,16.5,3,0,0,0,12,3,94,2,5,20,7.2,65,55,0,84.6
Women,1999_2000,593,第6回Vリーグ女子   ファイナルラウンド,3/11/2000,-,大阪市中央体育館,3400,0.5,0.565277778,0.065277778,-,酒出　修,田野　昭彦,田中　仁,NECレッドロケッツ,ユニチカフェニックス,3,1,25,20,0.014583333,25,22,0.015972222,20,25,0.015277778,25,17,0.013194444,-,-,-,NECレッドロケッツ,149,63,9,42.3,15.75,1,0,1,0,9,2.25,94,4,8,20,9.1,78,57,0,73.1
Women,1999_2000,593,第6回Vリーグ女子   ファイナルラウンド,3/11/2000,-,大阪市中央体育館,3400,0.5,0.565277778,0.065277778,-,酒出　修,田野　昭彦,田中　仁,NECレッドロケッツ,ユニチカフェニックス,1,3,20,25,0.014583333,22,25,0.015972222,25,20,0.015277778,17,25,0.013194444,-,-,-,ユニチカフェニックス,147,57,10,38.8,14.25,4,0,0,0,7,1.75,85,2,7,19,7.5,84,62,0,73.8
Women,1999_2000,594,第6回Vリーグ女子   ファイナルラウンド,3/11/2000,-,大阪市中央体育館,3400,0.590277778,0.665277778,0.075,-,広田　修二,田野　敏彦,中村　光男,日立ベルフィーユ,東洋紡オーキス,2,3,25,22,0.015277778,25,16,0.0125,20,25,0.014583333,22,25,0.016666667,12,15,0.007638889,日立ベルフィーユ,156,60,5,38.5,12,10,5,1,50,18,3.6,104,3,7,27,9.2,94,67,0,71.3
Women,1999_2000,594,第6回Vリーグ女子   ファイナルラウンド,3/11/2000,-,大阪市中央体育館,3400,0.590277778,0.665277778,0.075,-,広田　修二,田野　敏彦,中村　光男,日立ベルフィーユ,東洋紡オーキス,3,2,22,25,0.015277778,16,25,0.0125,25,20,0.014583333,25,22,0.016666667,15,12,0.007638889,東洋紡オーキス,157,68,8,43.3,13.6,6,1,1,16.7,15,3,103,5,8,23,9.7,95,67,0,70.5
Women,1999_2000,595,第6回Vリーグ女子   ファイナルラウンド,3/12/2000,-,大阪市中央体育館,4800,0.458333333,0.526388889,0.068055556,-,酒出　修,田野　敏彦,中村　光男,ユニチカフェニックス,日立ベルフィーユ,3,1,26,24,0.014583333,25,27,0.015972222,28,26,0.017361111,25,20,0.013888889,-,-,-,ユニチカフェニックス,181,71,8,39.2,17.75,7,3,2,42.9,9,2.25,103,5,4,22,9.6,94,77,0,81.9
Women,1999_2000,595,第6回Vリーグ女子   ファイナルラウンド,3/12/2000,-,大阪市中央体育館,4800,0.458333333,0.526388889,0.068055556,-,酒出　修,田野　敏彦,中村　光男,ユニチカフェニックス,日立ベルフィーユ,1,3,24,26,0.014583333,27,25,0.015972222,26,28,0.017361111,20,25,0.013888889,-,-,-,日立ベルフィーユ,171,73,11,42.7,18.25,14,8,2,57.1,10,2.5,98,2,4,15,5.5,97,72,0,74.2
Women,1999_2000,596,第6回Vリーグ女子   ファイナルラウンド,3/12/2000,-,大阪市中央体育館,5450,0.552777778,0.620833333,0.068055556,-,広田　修二,伊藤　博之,深江　泰彦,NECレッドロケッツ,東洋紡オーキス,3,1,25,16,0.013888889,22,25,0.016666667,25,23,0.017361111,25,17,0.013888889,-,-,-,NECレッドロケッツ,155,71,8,45.8,17.75,2,1,1,50,13,3.25,96,2,14,23,8.1,81,69,0,85.2
Women,1999_2000,596,第6回Vリーグ女子   ファイナルラウンド,3/12/2000,-,大阪市中央体育館,5450,0.552777778,0.620833333,0.068055556,-,広田　修二,伊藤　博之,深江　泰彦,NECレッドロケッツ,東洋紡オーキス,1,3,16,25,0.013888889,25,22,0.016666667,23,25,0.017361111,17,25,0.013888889,-,-,-,東洋紡オーキス,133,43,7,32.3,10.75,1,0,1,0,11,2.75,82,2,1,10,5,80,57,0,71.2
Women,1999_2000,501,第6回Vリーグ女子   レギュラーラウンド,12/17/1999,-,-,2500,0.6875,0.764583333,0.077083333,-,小林　朝実,勝又　正,竹内　幹夫,イトーヨーカドープリオール,オレンジアタッカーズ,3,2,25,17,0.014583333,18,25,0.014583333,22,25,0.015972222,25,21,0.015972222,15,6,0.007638889,イトーヨーカドープリオール,149,55,11,36.9,11,1,0,0,0,23,4.6,104,5,13,27,10.3,86,51,0,59.3
Women,1999_2000,501,第6回Vリーグ女子   レギュラーラウンド,12/17/1999,-,-,2500,0.6875,0.764583333,0.077083333,-,小林　朝実,勝又　正,竹内　幹夫,イトーヨーカドープリオール,オレンジアタッカーズ,2,3,17,25,0.014583333,25,18,0.014583333,25,22,0.015972222,21,25,0.015972222,6,15,0.007638889,オレンジアタッカーズ,158,56,9,35.4,11.2,3,2,0,66.7,8,1.6,95,2,9,33,10.4,91,59,0,64.8
Women,1999_2000,502,第6回Vリーグ女子   レギュラーラウンド,12/17/1999,-,-,2803,0.770833333,0.817361111,0.046527778,-,大塚　達也,富田　満,渡部　千穂,日立ベルフィーユ,NECレッドロケッツ,0,3,16,25,0.0125,17,25,0.015277778,17,25,0.014583333,-,-,-,-,-,-,日立ベルフィーユ,82,29,9,35.4,9.67,2,0,0,0,4,1.33,51,2,2,9,7.5,64,38,0,59.4
