M/W,Season,Match_No,League,開催日,開催地,会場,入場者数,開始時刻,終了時刻,試合時間,JURY,1stﾚﾌｪﾘｰ,2ndﾚﾌｪﾘｰ,判定員,Team1,Team2,セット:得,セット:失,セット1:得点,セット1:失点,セット1:時間,セット2:得点,セット2:失点,セット2:時間,セット3:得点,セット3:失点,セット3:時間,セット4:得点,セット4:失点,セット4:時間,セット5:得点,セット5:失点,セット5:時間,Team,アタック_打数,アタック_得点,アタック_失点,アタック_決定率,アタック_セット平均,アタック(内バックアタック)_打数,アタック(内バックアタック)_得点,アタック(内バックアタック)_失点,アタック(内バックアタック)_決定率,ブロック_得点,ブロック_セット平均,サーブ_打数,サーブ_得点,サーブ_失点,サーブ_効果,サーブ_効果率,サーブレシーブ_受数,サーブレシーブ_成功・優,サーブレシーブ_成功・良,サーブレシーブ_成功率
Women,2012_2013,851,Ｖ・チャレンジリーグ女子 2012/13   レギュラーラウンド,11/10/2012,-,松任総合運動公園体育館,320,0.458333333,0.513194444,0.054861111,-,三見　洋子,奥野　俊雄,内藤　正康,日立リヴァーレ,仙台ベルフィーユ,3,0,25,18,0.017361111,25,15,0.015277778,25,21,0.018055556,-,-,-,-,-,-,日立リヴァーレ,113,51,7,45.1,17,11,6,0,54.5,7,2.33,74,3,7,27,12.6,49,30,0,61.2
Women,2012_2013,851,Ｖ・チャレンジリーグ女子 2012/13   レギュラーラウンド,11/10/2012,-,松任総合運動公園体育館,320,0.458333333,0.513194444,0.054861111,-,三見　洋子,奥野　俊雄,内藤　正康,日立リヴァーレ,仙台ベルフィーユ,0,3,18,25,0.017361111,15,25,0.015277778,21,25,0.018055556,-,-,-,-,-,-,仙台ベルフィーユ,113,34,5,30.1,11.33,21,5,1,23.8,4,1.33,51,1,6,16,9.4,66,37,0,56.1
Women,2012_2013,852,Ｖ・チャレンジリーグ女子 2012/13   レギュラーラウンド,11/10/2012,-,松任総合運動公園体育館,430,0.541666667,0.600694444,0.059027778,-,紙井ひとみ,松谷　俊広,橋場　　薫,GSS東京サンビームズ,大野石油広島オイラーズ,0,3,15,25,0.01875,17,25,0.017361111,17,25,0.01875,-,-,-,-,-,-,GSS東京サンビームズ,128,28,9,21.9,9.33,3,1,1,33.3,2,0.67,51,4,7,15,14,68,35,0,51.5
Women,2012_2013,852,Ｖ・チャレンジリーグ女子 2012/13   レギュラーラウンド,11/10/2012,-,松任総合運動公園体育館,430,0.541666667,0.600694444,0.059027778,-,紙井ひとみ,松谷　俊広,橋場　　薫,GSS東京サンビームズ,大野石油広島オイラーズ,3,0,25,15,0.01875,25,17,0.017361111,25,17,0.01875,-,-,-,-,-,-,大野石油広島オイラーズ,122,49,6,40.2,16.33,7,3,0,42.9,7,2.33,73,0,5,33,11.3,43,25,0,58.1
Women,2012_2013,853,Ｖ・チャレンジリーグ女子 2012/13   レギュラーラウンド,11/10/2012,-,松任総合運動公園体育館,642,0.635416667,0.7125,0.077083333,-,中島　俊昌,奥野　俊雄,宮坂絵理子,PFUブルーキャッツ石川かほく,JAぎふリオレーナ,3,1,25,17,0.014583333,25,22,0.016666667,29,31,0.023611111,25,16,0.015972222,-,-,-,PFUブルーキャッツ石川かほく,160,72,10,45,18,26,10,3,38.5,9,2.25,103,4,6,41,13.6,74,47,0,63.5
Women,2012_2013,853,Ｖ・チャレンジリーグ女子 2012/13   レギュラーラウンド,11/10/2012,-,松任総合運動公園体育館,642,0.635416667,0.7125,0.077083333,-,中島　俊昌,奥野　俊雄,宮坂絵理子,PFUブルーキャッツ石川かほく,JAぎふリオレーナ,1,3,17,25,0.014583333,22,25,0.016666667,31,29,0.023611111,16,25,0.015972222,-,-,-,JAぎふリオレーナ,173,58,4,33.5,14.5,11,3,1,27.3,3,0.75,87,4,10,26,11.8,94,52,0,55.3
Women,2012_2013,854,Ｖ・チャレンジリーグ女子 2012/13   レギュラーラウンド,11/10/2012,-,益城町総合体育館,1200,0.541666667,0.588194444,0.046527778,-,須藤　義宏,松永　美志,鳥井　昭宏,柏エンゼルクロス,埼玉上尾メディックス,0,3,22,25,0.016666667,12,25,0.013888889,10,25,0.011805556,-,-,-,-,-,-,柏エンゼルクロス,103,29,10,28.2,9.67,6,2,1,33.3,2,0.67,45,0,7,18,10,67,25,0,37.3
Women,2012_2013,854,Ｖ・チャレンジリーグ女子 2012/13   レギュラーラウンド,11/10/2012,-,益城町総合体育館,1200,0.541666667,0.588194444,0.046527778,-,須藤　義宏,松永　美志,鳥井　昭宏,柏エンゼルクロス,埼玉上尾メディックス,3,0,25,22,0.016666667,25,12,0.013888889,25,10,0.011805556,-,-,-,-,-,-,埼玉上尾メディックス,90,43,5,47.8,14.33,8,3,2,37.5,7,2.33,74,6,7,36,18.6,38,20,0,52.6
Women,2012_2013,855,Ｖ・チャレンジリーグ女子 2012/13   レギュラーラウンド,11/10/2012,-,益城町総合体育館,1300,0.625,0.70625,0.08125,-,須藤　義宏,坂本　紀一,端田　直也,フォレストリーヴズ熊本,KUROBEアクアフェアリーズ,1,3,25,23,0.017361111,21,25,0.01875,24,26,0.020833333,22,25,0.018055556,-,-,-,フォレストリーヴズ熊本,168,64,7,38.1,16,0,0,0,-,10,2.5,93,3,9,40,13.5,93,43,0,46.2
Women,2012_2013,855,Ｖ・チャレンジリーグ女子 2012/13   レギュラーラウンド,11/10/2012,-,益城町総合体育館,1300,0.625,0.70625,0.08125,-,須藤　義宏,坂本　紀一,端田　直也,フォレストリーヴズ熊本,KUROBEアクアフェアリーズ,3,1,23,25,0.017361111,25,21,0.01875,26,24,0.020833333,25,22,0.018055556,-,-,-,KUROBEアクアフェアリーズ,166,68,8,41,17,0,0,0,-,10,2.5,98,3,4,48,14.9,83,41,0,49.4
Women,2012_2013,856,Ｖ・チャレンジリーグ女子 2012/13   レギュラーラウンド,11/11/2012,-,松任総合運動公園体育館,175,0.5,0.558333333,0.058333333,-,紙井ひとみ,奥野　俊雄,内藤　正康,GSS東京サンビームズ,JAぎふリオレーナ,0,3,16,25,0.015277778,21,25,0.01875,22,25,0.020138889,-,-,-,-,-,-,GSS東京サンビームズ,139,38,9,27.3,12.67,2,1,0,50,2,0.67,61,3,10,18,11.3,63,41,0,65.1
Women,2012_2013,856,Ｖ・チャレンジリーグ女子 2012/13   レギュラーラウンド,11/11/2012,-,松任総合運動公園体育館,175,0.5,0.558333333,0.058333333,-,紙井ひとみ,奥野　俊雄,内藤　正康,GSS東京サンビームズ,JAぎふリオレーナ,3,0,25,16,0.015277778,25,21,0.01875,25,22,0.020138889,-,-,-,-,-,-,JAぎふリオレーナ,122,32,5,26.2,10.67,6,1,0,16.7,7,2.33,73,10,9,13,15.7,51,30,0,58.8
