M/W,Season,Match_No,League,開催日,開催地,会場,入場者数,開始時刻,終了時刻,試合時間,JURY,1stﾚﾌｪﾘｰ,2ndﾚﾌｪﾘｰ,判定員,Team1,Team2,セット:得,セット:失,セット1:得点,セット1:失点,セット1:時間,セット2:得点,セット2:失点,セット2:時間,セット3:得点,セット3:失点,セット3:時間,セット4:得点,セット4:失点,セット4:時間,セット5:得点,セット5:失点,セット5:時間,Team,N,L,Name,出場セット,出場セット1,出場セット2,出場セット3,出場セット4,出場セット5,アタック_打数,アタック_得点,アタック_失点,アタック_決定率,アタック_セット平均,アタック(内バックアタック)_打数,アタック(内バックアタック)_得点,アタック(内バックアタック)_失点,アタック(内バックアタック)_決定率,ブロック_得点,ブロック_セット平均,サーブ_打数,サーブ_得点,サーブ_失点,サーブ_効果,サーブ_効果率,サーブレシーブ_受数,サーブレシーブ_成功・優,サーブレシーブ_成功・良,サーブレシーブ_成功率
Women,2012_2013,851,Ｖ・チャレンジリーグ女子 2012/13   レギュラーラウンド,11/10/2012,-,松任総合運動公園体育館,320,0.458333333,0.513194444,0.054861111,-,三見　洋子,奥野　俊雄,内藤　正康,日立リヴァーレ,仙台ベルフィーユ,3,0,25,18,0.017361111,25,15,0.015277778,25,21,0.018055556,-,-,-,-,-,-,日立リヴァーレ,4,-,江畑 幸子,3,■,■,■,-,-,46,21,2,45.7,7,11,6,0,54.5,0,-,10,1,3,3,17.5,0,0,0,-
Women,2012_2013,851,Ｖ・チャレンジリーグ女子 2012/13   レギュラーラウンド,11/10/2012,-,松任総合運動公園体育館,320,0.458333333,0.513194444,0.054861111,-,三見　洋子,奥野　俊雄,内藤　正康,日立リヴァーレ,仙台ベルフィーユ,3,0,25,18,0.017361111,25,15,0.015277778,25,21,0.018055556,-,-,-,-,-,-,日立リヴァーレ,5,L,佐藤 あり紗,3,●,●,●,-,-,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,9,8,0,88.9
Women,2012_2013,851,Ｖ・チャレンジリーグ女子 2012/13   レギュラーラウンド,11/10/2012,-,松任総合運動公園体育館,320,0.458333333,0.513194444,0.054861111,-,三見　洋子,奥野　俊雄,内藤　正康,日立リヴァーレ,仙台ベルフィーユ,3,0,25,18,0.017361111,25,15,0.015277778,25,21,0.018055556,-,-,-,-,-,-,日立リヴァーレ,6,-,引地 舞,0,-,-,-,-,-,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
Women,2012_2013,851,Ｖ・チャレンジリーグ女子 2012/13   レギュラーラウンド,11/10/2012,-,松任総合運動公園体育館,320,0.458333333,0.513194444,0.054861111,-,三見　洋子,奥野　俊雄,内藤　正康,日立リヴァーレ,仙台ベルフィーユ,3,0,25,18,0.017361111,25,15,0.015277778,25,21,0.018055556,-,-,-,-,-,-,日立リヴァーレ,8,-,佐藤 美弥,3,■,■,■,-,-,3,1,1,33.3,0.33,0,0,0,-,3,1,15,1,1,3,10.3,0,0,0,-
Women,2012_2013,851,Ｖ・チャレンジリーグ女子 2012/13   レギュラーラウンド,11/10/2012,-,松任総合運動公園体育館,320,0.458333333,0.513194444,0.054861111,-,三見　洋子,奥野　俊雄,内藤　正康,日立リヴァーレ,仙台ベルフィーユ,3,0,25,18,0.017361111,25,15,0.015277778,25,21,0.018055556,-,-,-,-,-,-,日立リヴァーレ,9,-,永松 幸乃,1,-,-,□,-,-,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
Women,2012_2013,851,Ｖ・チャレンジリーグ女子 2012/13   レギュラーラウンド,11/10/2012,-,松任総合運動公園体育館,320,0.458333333,0.513194444,0.054861111,-,三見　洋子,奥野　俊雄,内藤　正康,日立リヴァーレ,仙台ベルフィーユ,3,0,25,18,0.017361111,25,15,0.015277778,25,21,0.018055556,-,-,-,-,-,-,日立リヴァーレ,10,-,ジェニファー・ドリス,3,■,■,■,-,-,25,11,2,44,3.67,0,0,0,-,2,0.67,12,0,0,3,6.2,0,0,0,-
Women,2012_2013,851,Ｖ・チャレンジリーグ女子 2012/13   レギュラーラウンド,11/10/2012,-,松任総合運動公園体育館,320,0.458333333,0.513194444,0.054861111,-,三見　洋子,奥野　俊雄,内藤　正康,日立リヴァーレ,仙台ベルフィーユ,3,0,25,18,0.017361111,25,15,0.015277778,25,21,0.018055556,-,-,-,-,-,-,日立リヴァーレ,11,-,高橋 沙織,3,■,■,■,-,-,20,8,1,40,2.67,0,0,0,-,1,0.33,11,1,0,4,16.4,20,9,0,45
Women,2012_2013,851,Ｖ・チャレンジリーグ女子 2012/13   レギュラーラウンド,11/10/2012,-,松任総合運動公園体育館,320,0.458333333,0.513194444,0.054861111,-,三見　洋子,奥野　俊雄,内藤　正康,日立リヴァーレ,仙台ベルフィーユ,3,0,25,18,0.017361111,25,15,0.015277778,25,21,0.018055556,-,-,-,-,-,-,日立リヴァーレ,12,-,遠井 萌仁(C),3,■,■,■,-,-,12,6,0,50,2,0,0,0,-,0,-,17,0,1,10,14.7,18,12,0,66.7
Women,2012_2013,851,Ｖ・チャレンジリーグ女子 2012/13   レギュラーラウンド,11/10/2012,-,松任総合運動公園体育館,320,0.458333333,0.513194444,0.054861111,-,三見　洋子,奥野　俊雄,内藤　正康,日立リヴァーレ,仙台ベルフィーユ,3,0,25,18,0.017361111,25,15,0.015277778,25,21,0.018055556,-,-,-,-,-,-,日立リヴァーレ,13,-,石田 小枝,0,-,-,-,-,-,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
Women,2012_2013,851,Ｖ・チャレンジリーグ女子 2012/13   レギュラーラウンド,11/10/2012,-,松任総合運動公園体育館,320,0.458333333,0.513194444,0.054861111,-,三見　洋子,奥野　俊雄,内藤　正康,日立リヴァーレ,仙台ベルフィーユ,3,0,25,18,0.017361111,25,15,0.015277778,25,21,0.018055556,-,-,-,-,-,-,日立リヴァーレ,14,-,佐々木 美麗,3,□,□,□,-,-,0,0,0,-,-,0,0,0,-,0,-,3,0,0,2,16.7,0,0,0,-
Women,2012_2013,851,Ｖ・チャレンジリーグ女子 2012/13   レギュラーラウンド,11/10/2012,-,松任総合運動公園体育館,320,0.458333333,0.513194444,0.054861111,-,三見　洋子,奥野　俊雄,内藤　正康,日立リヴァーレ,仙台ベルフィーユ,3,0,25,18,0.017361111,25,15,0.015277778,25,21,0.018055556,-,-,-,-,-,-,日立リヴァーレ,16,-,松下 琴美,3,■,■,■,-,-,7,4,1,57.1,1.33,0,0,0,-,1,0.33,6,0,2,2,8.3,1,0,0,0
Women,2012_2013,851,Ｖ・チャレンジリーグ女子 2012/13   レギュラーラウンド,11/10/2012,-,松任総合運動公園体育館,320,0.458333333,0.513194444,0.054861111,-,三見　洋子,奥野　俊雄,内藤　正康,日立リヴァーレ,仙台ベルフィーユ,3,0,25,18,0.017361111,25,15,0.015277778,25,21,0.018055556,-,-,-,-,-,-,日立リヴァーレ,17,L,斎田 杏,0,-,-,-,-,-,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
Women,2012_2013,851,Ｖ・チャレンジリーグ女子 2012/13   レギュラーラウンド,11/10/2012,-,松任総合運動公園体育館,320,0.458333333,0.513194444,0.054861111,-,三見　洋子,奥野　俊雄,内藤　正康,日立リヴァーレ,仙台ベルフィーユ,3,0,25,18,0.017361111,25,15,0.015277778,25,21,0.018055556,-,-,-,-,-,-,日立リヴァーレ,18,-,伊関 悠,3,□,□,□,-,-,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,1,1,0,100
Women,2012_2013,851,Ｖ・チャレンジリーグ女子 2012/13   レギュラーラウンド,11/10/2012,-,松任総合運動公園体育館,320,0.458333333,0.513194444,0.054861111,-,三見　洋子,奥野　俊雄,内藤　正康,日立リヴァーレ,仙台ベルフィーユ,3,0,25,18,0.017361111,25,15,0.015277778,25,21,0.018055556,-,-,-,-,-,-,日立リヴァーレ,19,-,永野 沙也加,0,-,-,-,-,-,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
Women,2012_2013,851,Ｖ・チャレンジリーグ女子 2012/13   レギュラーラウンド,11/10/2012,-,松任総合運動公園体育館,320,0.458333333,0.513194444,0.054861111,-,三見　洋子,奥野　俊雄,内藤　正康,日立リヴァーレ,仙台ベルフィーユ,0,3,18,25,0.017361111,15,25,0.015277778,21,25,0.018055556,-,-,-,-,-,-,仙台ベルフィーユ,2,-,雨堤 みなみ,3,□,□,■,-,-,17,5,0,29.4,1.67,1,0,0,0,0,-,3,0,1,0,0,6,3,0,50
